C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
1172;* z Vel                            ;*  ;138.6020243588900 -43.2274894377300; -24.066 13.306    ;5.3395    ;15.00     ;5.25     
1173;* lam Vel                          ;LP*;136.99899114 -43.43259091          ;   -24.01 13.52    ;5.99      ;17.60     ;2.21     
1174;* g Vel                            ;*  ;132.4484928249000 -45.3078739487900; -12.052 14.247    ;2.5925    ;5.00      ;4.935    
1175;* a Vel                            ;*  ;131.5068496446 -46.0415289517      ;    -12.82 4.23    ;1.76      ;23.20     ;3.91     
1176;* f Vel                            ;EB*;132.6394192625500 -46.5291875852000;   -4.301 3.322    ;1.4174    ;27.17     ;5.11     
1177;* b Vel                            ;V* ;130.1565423796 -46.6487436103      ;     -6.05 4.66    ;0.67      ;25.3      ;3.81     
1178;* n Vel                            ;*  ;130.3047041727100 -47.3171304259400;  -7.808 10.611    ;1.4107    ;17.4      ;4.77     
1179;* B Vel                            ;SB*;125.63205879 -48.49037864          ;     -5.10 7.76    ;1.90      ;27.00     ;4.82     
1180;* Q Car                            ;V* ;113.9155095964200 -52.5338358656900; 22.335 -11.593    ;7.8078    ;62.0      ;4.920    
1181;* del Pic                          ;EB*;092.5746169863 -54.9686426192      ;     -4.90 7.41    ;2.51      ;30.6      ;4.81     
1182;* gam Pic                          ;PM*;087.4569242267 -56.1666613200      ;   81.13 -71.12    ;18.45     ;17.50     ;4.494    
1183;* iot Pic A                        ;PM*;072.7305402349800 -53.4615358653700;-100.273 85.659    ;22.7332   ;8.60      ;5.57     
1184;* gam Dor                          ;gD*;064.0066109270200 -51.4866479762100;100.502 184.180    ;48.9494   ;25.20     ;4.20     
1185;* s Eri                            ;SB*;039.9498970861000 -42.8918108620400; 118.800 -1.521    ;22.5636   ;18.00     ;4.75     
1186;* y Vel                            ;Pe*;144.5060475995200 -43.1909400669000; 27.785 -35.722    ;6.5023    ;5.33      ;5.50     
1187;* c Vel                            ;PM*;136.0386661725 -47.0977374306      ;   -47.45 -9.75    ;10.89     ;24.30     ;3.75     
1188;* D Vel                            ;V* ;130.9178042393400 -49.8228008320000;   -2.816 4.137    ;1.7815    ;28.00     ;5.16     
1189;* C Vel                            ;*  ;128.6816521494800 -49.9442021284000; -13.919 18.036    ;2.6918    ;4.25      ;5.01     
1190;* 47 Vel                           ;a2*;128.9667808140100 -50.9696468361100; -13.361 10.959    ;6.7021    ;23.1      ;5.782    
1191;* F Vel                            ;dS*;126.9024414906100 -53.0884787559800; -67.140 25.445    ;16.4909   ;24.7      ;5.073    
1192;* chi Car                          ;bC*;119.1946670558200 -52.9823454629800; -31.368 23.452    ;5.6857    ;19.4      ;3.431    
1193;* nu. Pic                          ;*  ;095.7326259170700 -56.3699668424500;-42.268 -18.616    ;18.2221   ;6.7       ;5.598    
1194;* 61 Pic                           ;V* ;097.3687422328000 -56.8527668552300; -39.146 32.260    ;10.2438   ;12.9      ;5.197    
1195;* mu. Pic                          ;** ;097.9929587972000 -58.7538364934300;   -1.302 1.637    ;5.3553    ;0.40      ;5.64     
1196;* alf Dor                          ;a2*;068.49907161 -55.04497896          ;    57.75 10.93    ;19.34     ;25.60     ;3.28     
1197;* omi Vel                          ;Pu*;130.0732730500 -52.9218889536      ;   -24.42 34.44    ;6.61      ;17.30     ;3.63     
1198;* H Vel                            ;SB*;134.0802625696500 -52.7234741184800; -16.284 14.567    ;8.2981    ;22.2      ;4.723    
1199;* lam Dor                          ;*  ;081.5802740550300 -58.9125177833600;  -9.792 33.350    ;5.9209    ;10.00     ;5.129    
1200;* kap Eri                          ;*  ;036.7463407279 -47.7038402103      ;    19.32 -5.54    ;6.42      ;25.50     ;4.25     
1201;* q Vel                            ;PM*;153.6839822071 -42.1219425811      ;  -150.09 49.44    ;32.18     ;7.4       ;3.85     
1202;* u Vel                            ;*  ;147.4880858213900 -45.7327369054600; -25.335 10.549    ;3.7394    ;12.00     ;5.084    
1203;* m Vel                            ;SB*;147.9194512924900 -46.5476222502900; -25.119 10.305    ;3.6857    ;10.8      ;4.58     
1204;* M Vel                            ;PM*;144.2064168300 -49.3550244653      ;  -130.55 42.98    ;30.94     ;17.80     ;4.35     
1205;* K Vel                            ;*  ;139.5244634032600 -51.0508566368200; -20.600 15.405    ;6.5299    ;57.00     ;5.254    
1206;* L Vel                            ;*  ;143.5366386087 -51.2552648869      ;     -8.55 7.08    ;3.61      ;35.00     ;5.03     
1207;* f Car                            ;Be*;131.6772886796 -56.7697756133      ;     -9.29 8.85    ;5.39      ;27.00     ;4.49     
1208;* del Vel                          ;EB*;131.17594410 -54.70881925          ;  28.99 -103.35    ;40.49     ;2.20      ;1.95     
1209;* e02 Car                          ;** ;128.8321046548800 -58.0092368554200;  54.775 27.012    ;14.9091   ;25.62     ;4.847    
1210;* e01 Car                          ;** ;128.8148136936300 -58.2247389868500; -21.925 11.574    ;3.98      ;21.00     ;5.234    
1211;* eps Car                          ;** ;125.62848024 -59.50948419          ;   -25.52 22.06    ;5.39      ;11.60     ;1.86     
1212;* alf Pic                          ;PM*;102.04772968 -61.94138912          ;  -66.07 242.97    ;33.78     ;15.30     ;3.30     
1213;* 36 Dor                           ;PM*;088.5252274382408 -63.0897802873511;148.129 550.143    ;36.5981   ;26.33     ;4.66     
1214;* G Dor                            ;SB*;083.2482039237 -64.2275177547      ;    32.88 -1.53    ;14.08     ;9.6       ;5.341    
1215;* bet Dor                          ;cC*;083.4063165541100 -62.4898267938000;  -0.611 12.950    ;2.9308    ;7.20      ;3.76     
1216;V* R Dor                           ;AB*;069.18996364 -62.07716594          ;  -69.36 -75.78    ;18.31     ;26.1      ;5.40     
1217;* iot Ret                          ;PM*;060.3256291978208 -61.0788229238061;  66.672 94.675    ;9.9842    ;60.98     ;4.956    
1218;* eps Ret                          ;PM*;064.1209506126083 -59.3021544142511;-47.785 -167.806   ;54.2286   ;29.03     ;4.44     
1219;* iot Hor                          ;PM*;040.6394444495925 -50.8002930939350;333.716 219.423    ;57.6131   ;16.934    ;5.40     
1220;* phi Phe                          ;SB*;028.5917996467100 -42.4969283725100;-33.476 -30.113    ;10.185    ;5.50      ;5.109    
1221;* I Vel                            ;*  ;141.5748216577400 -53.3789082503500; -20.362 10.937    ;7.8356    ;24.00     ;5.089    
1222;* kap Vel                          ;SB*;140.5284067083 -55.0106671342      ;   -11.40 11.52    ;5.70      ;21.9      ;2.473    
1223;* b01 Car                          ;bC*;134.2434049237900 -59.2293376190000;   -8.651 9.224    ;5.1705    ;26.8      ;4.895    
1224;* b02 Car                          ;PM*;134.8507569791233 -59.0837117739619;-175.405 282.080   ;38.0773   ;13.27     ;5.16     
1225;* d Car                            ;Pu*;130.1542815908 -59.7610018642      ;     -6.63 5.32    ;2.26      ;12.90     ;4.313    
1226;* B Car                            ;SB*;122.2526538201975 -61.3023738607369;-145.711 -301.180  ;36.2472   ;23.12     ;4.742    
1227;* D01 Car                          ;Pu*;120.0831949213 -63.5674561244      ;    -1.89 19.21    ;6.53      ;22.1      ;4.806    
1228;* eta02 Dor                        ;PM*;092.8124235374100 -65.5894180225500;-23.255 119.249    ;4.5312    ;34.50     ;5.01     
1229;* eta01 Dor                        ;*  ;091.5390906984500 -66.0396208977600;  13.575 28.139    ;9.5464    ;17.60     ;5.690    
1230;* eps Dor                          ;V* ;087.4730044458 -66.9011885194      ;   -21.81 17.32    ;5.68      ;15.50     ;5.11     
1231;* alf Ret                          ;PM*;063.6061839087 -62.4738587975      ;    41.97 49.42    ;20.18     ;35.50     ;3.36     
1232;* eta Ret                          ;PM*;065.4721905751400 -63.3863907635700; 85.705 176.113    ;8.3377    ;44.15     ;5.24     
1233;* mu. Hor                          ;PM*;045.9034115831700 -59.7377745910400;-73.668 -63.504    ;23.1077   ;17.3      ;5.122    
1234;* phi Eri                          ;PM*;034.1274401325 -51.5121654203      ;   91.03 -22.23    ;21.22     ;10.40     ;3.57     
1235;* psi Phe                          ;LP*;028.4114209738 -46.3026679986      ;  -93.16 -91.17    ;9.54      ;2.90      ;4.41     
1236;* Q Vel                            ;*  ;152.2343313096 -51.8112607522      ;    -14.96 0.48    ;2.45      ;14.00     ;4.845    
1237;* phi Vel                          ;*  ;149.2155903092 -54.5677886231      ;    -13.08 3.55    ;2.05      ;13.90     ;3.45     
1238;* O Vel                            ;PM*;145.9259770882900 -53.8912817992900; -67.451 33.101    ;9.3549    ;5.40      ;5.544    
1239;* a Car                            ;SB*;137.7420266183 -58.9668936681      ;   -16.64 15.00    ;7.30      ;23.3      ;3.40     
1240;* iot Car                          ;V* ;139.2725285717 -59.2752320292      ;   -18.86 11.98    ;4.26      ;12.00     ;2.26     
1241;* c Car                            ;PM*;133.7617842537 -60.6446110589      ;   -28.18 41.48    ;10.20     ;25.00     ;3.80     
1242;* del Vol                          ;*  ;109.2075994650 -67.9571523228      ;     -4.43 8.38    ;4.42      ;24.62     ;3.99     
1243;* nu. Dor                          ;PM*;092.1844249721 -68.8434110236      ;   -50.84 19.01    ;10.88     ;17.00     ;5.038    
1244;* pi.01 Dor                        ;*  ;095.6594823239400 -69.9840445796600;  26.170 34.330    ;4.9606    ;15.7      ;5.542    
1245;* pi.02 Dor                        ;PM*;096.3692945289900 -69.6903000015900;-12.184 200.786    ;11.7563   ;9.1       ;5.38     
1246;* tet Dor                          ;*  ;078.4393987811100 -67.1852582740000;  18.485 38.123    ;6.0186    ;9.61      ;4.801    
1247;* bet Ret                          ;SB*;056.0499226753121 -64.8069141320769; 311.534 83.557    ;30.4404   ;47.38     ;3.833    
1248;* zet02 Ret                        ;** ;049.5534120100488 -62.5063624197311;1331.027 647.725   ;83.0606   ;11.953    ;5.228    
1249;* zet01 Ret                        ;PM*;049.4423477289542 -62.5753201268456;1337.530 649.840   ;83.0240   ;12.488    ;5.54     
1250;* kap Ret                          ;PM*;052.3444892526912 -62.9375289393375;382.538 373.589    ;45.9103   ;13.33     ;4.71     
1251;* gam Phe                          ;SB*;022.0913636121 -43.3182361592      ; -18.06 -208.63    ;13.96     ;25.8      ;3.41     
1252;* t Vel                            ;** ;158.2369199765300 -47.0033512099800;  -23.880 5.480    ;2.9655    ;7.04      ;5.027    
1253;* p Vel                            ;SB*;159.32558311 -48.22562079          ;  -133.41 -1.82    ;37.26     ;21.20     ;3.84     
1254;* h Car                            ;*  ;143.6110450612 -59.2297519531      ;    -10.74 6.60    ;2.46      ;18.20     ;4.09     
1255;* m Car                            ;V* ;144.8374978492 -61.3280601906      ;   -34.09 18.55    ;14.45     ;20.00     ;4.498    
1256;* i Car                            ;*  ;137.8196703871 -62.3169804167      ;   -37.48 14.59    ;6.01      ;17.5      ;3.943    
1257;* k Car                            ;*  ;140.2367211280800 -62.4046336265300; -13.780 -0.181    ;14.5169   ;51.12     ;4.800    
1258;* alf Vol                          ;** ;135.6116496704 -66.3960757619      ;   -2.00 -95.51    ;26.11     ;7.60      ;3.990    
1259;* bet Vol                          ;PM*;126.4341446692 -66.1368902650      ; -35.74 -152.22    ;30.33     ;27.40     ;3.759    
1260;* eps Vol                          ;SB*;121.9824769914400 -68.6170646360600; -29.781 29.887    ;5.0597    ;9.00      ;4.398    
1261;* gam02 Vol                        ;PM*;107.1869403982900 -70.4989304021000; 23.620 108.653    ;24.4775   ;2.80      ;3.746    
1262;* gam01 Vol                        ;PM*;107.1765427951200 -70.4970907527400; 11.069 107.302    ;22.7501   ;4.50      ;5.623    
1263;* iot Vol                          ;*  ;102.8624381941700 -70.9634103967500;   2.988 25.636    ;5.6082    ;18.5      ;5.395    
1264;* bet Hor                          ;*  ;044.6991515996900 -64.0712871678900;   23.142 4.943    ;10.1567   ;23.6      ;4.969    
1265;* nu. Hor                          ;PM*;042.2561970580600 -62.8065219516000;  94.372 28.564    ;19.2611   ;30.9      ;5.253    
1266;* lam Hor                          ;PM*;036.2246249160200 -60.3119480556700;-71.718 -131.350   ;20.9433   ;28.34     ;5.355    
1267;* q01 Eri                          ;PM*;025.6221438237300 -53.7408309592400;166.041 -105.496   ;57.6409   ;27.662    ;5.52     
1268;* q02 Eri                          ;PM*;026.5260958328200 -53.5220357020800; 126.534 59.909    ;16.0575   ;9.5       ;5.033    
1269;* nu. Phe                          ;PM*;018.7963392843242 -45.5316646057442;665.086 178.070    ;65.5270   ;11.845    ;4.96     
1270;* mu. Vel                          ;** ;161.69241154 -49.42025679          ;   63.22 -54.21    ;27.84     ;6.20      ;2.69     
1271;* Y Vel                            ;PM*;157.8409202971692 -53.7154836076164;-419.935 209.671   ;45.3276   ;21.37     ;4.89     
1272;* J Vel                            ;Be*;155.2283154707600 -56.0432377078300;  -12.192 5.367    ;2.2692    ;10.4      ;4.51     
1273;* l Car                            ;cC*;146.3117134358 -62.5079033039      ;    -12.88 8.19    ;2.09      ;2.5       ;3.40     
1274;* ups Car                          ;*  ;146.77550706 -65.07200742          ;    -11.51 4.71    ;2.27      ;13.60     ;2.99     
1275;* 128 Car                          ;** ;139.3218435767400 -68.6895931281000;-105.204 -39.904   ;29.4612   ;32.3      ;5.39     
1276;* tet Vol                          ;*  ;129.7715060667700 -70.3867438775200; 19.521 -39.238    ;13.2632   ;13.00     ;5.20     
1277;* kap01 Vol                        ;*  ;124.9540178656300 -71.5149087049600; -17.188 36.518    ;7.3981    ;36.00     ;5.318    
1278;* zet Vol                          ;*  ;115.4552541842 -72.6060990725      ;    33.34 14.89    ;23.13     ;49.03     ;3.944    
1279;* alf Men                          ;PM*;092.5603024265300 -74.7530439810600;121.596 -212.411   ;97.9158   ;36.118    ;5.069    
1280;* eta Men                          ;PM*;073.7966752583400 -74.9368531713600;  27.434 61.285    ;4.9581    ;25.8      ;5.449    
1281;* zet Hyi                          ;PM*;041.3859765426400 -67.6166167640800;  66.102 43.764    ;11.0516   ;3.6       ;4.820    
1282;* eps Hyi                          ;PM*;039.8973383717 -68.2669473111      ;     87.30 0.09    ;21.48     ;13.60     ;4.096    
1283;* alf Hyi                          ;PM*;029.6924777913 -61.5698596606      ;   263.66 26.77    ;45.43     ;8.70      ;2.84     
1284;* p Eri B                          ;PM*;024.9481863035517 -56.1964481082975; 309.230 10.815    ;122.0035  ;20.14     ;5.797    
1285;* p Eri A                          ;PM*;024.9492195659500 -56.1933178645500; 262.615 14.961    ;122.1088  ;21.59     ;5.685    
1286;* x Vel                            ;*  ;159.8266380958 -55.6032673175      ;    -18.80 4.85    ;3.88      ;21.00     ;4.267    
1287;* r Car                            ;V* ;158.8970717204 -57.5576342953      ;    -15.93 0.49    ;2.77      ;9.90      ;4.430    
1288;* s Car                            ;V* ;156.9697031883 -58.7394029644      ;    -14.47 2.36    ;2.43      ;9.40      ;3.810    
1289;* t02 Car                          ;*  ;159.6874843781600 -59.1829957501400;  -14.799 0.626    ;2.3038    ;11.00     ;4.87     
1290;* q Car                            ;LP*;154.2707304375 -61.3323023058      ;    -24.73 7.20    ;4.96      ;8.20      ;3.350    
1291;* p Car                            ;Be*;158.0060956996 -61.6853323078      ;   -17.01 11.50    ;6.75      ;26.0      ;3.27     
1292;* E Car                            ;Be*;136.4098972987000 -70.5384983562500;   -3.870 9.088    ;2.4706    ;19.00     ;4.652    
1293;* G Car                            ;SB*;136.2867212204 -72.6027065717      ;    -8.81 -5.26    ;8.14      ;22.50     ;4.467    
1294;* eta Vol                          ;*  ;125.5185481258600 -73.3999793931200; -29.432 29.926    ;8.431     ;20.00     ;5.279    
1295;* gam Men                          ;PM*;082.9702191068167 -76.3409016836322;135.924 266.877    ;30.5956   ;56.24     ;5.20     
1296;* gam Hyi                          ;PM*;056.8097525879 -74.2389635022      ;   50.85 114.74    ;15.24     ;12.76     ;3.26     
1297;* tet Hyi                          ;** ;045.5643701707700 -71.9024552910500;  27.256 16.598    ;6.4996    ;12.30     ;5.499    
1298;* pi.02 Hyi                        ;*  ;033.8692738982800 -67.7463633194800; 42.107 -11.216    ;6.5974    ;17.4      ;5.658    
1299;* pi.01 Hyi                        ;PM*;033.5605867743700 -67.8414401704900;  28.539 52.107    ;4.5668    ;26.3      ;5.559    
1300;* del Hyi                          ;PM*;035.4372598550800 -68.6594185895800;  -50.395 3.214    ;23.2796   ;6.00      ;4.09     
1301;* u Car                            ;PM*;163.3735671312863 -58.8531703698178;  78.169 38.800    ;33.5225   ;8.10      ;3.79     
1302;* w Car                            ;LP?;160.8845422887 -60.5666196556      ;    -14.75 3.10    ;2.86      ;9.10      ;4.545    
1303;* tet Car                          ;SB*;160.7391748642 -64.3944502211      ;   -18.36 12.03    ;7.16      ;20.60     ;2.76     
1304;* L Car                            ;*  ;155.7422752550 -66.9014973061      ;   -22.39 11.48    ;8.12      ;12.00     ;4.99     
1305;* ome Car                          ;Be*;153.4342391408 -70.0379045292      ;    -36.01 7.09    ;9.54      ;10.40     ;3.33     
1306;* H Car                            ;*  ;142.9011296246200 -73.0809130777600;  -24.297 1.409    ;4.4264    ;15.88     ;5.454    
1307;* tet Cha                          ;PM*;125.1605856233 -77.4844770169      ;  -129.05 40.89    ;21.00     ;21.46     ;4.337    
1308;* eta Cha                          ;*  ;130.3313024408100 -78.9633627494600; -29.430 26.831    ;10.1679   ;14.00     ;5.453    
1309;* eps Men                          ;*  ;111.4087447851600 -79.0941910588100;  -29.197 5.181    ;7.1874    ;10.5      ;5.522    
1310;* tet Men                          ;Pu*;104.1436430995900 -79.4201921565600;  -2.270 -1.240    ;8.4632    ;6.00      ;5.449    
1311;* zet Men                          ;PM*;100.0120453122300 -80.8135940230700;  -4.625 53.130    ;8.2827    ;7.00      ;5.606    
1312;* kap Men                          ;PM*;087.5699405824500 -79.3613610877300;  -4.815 66.518    ;11.018    ;9.5       ;5.451    
1313;* pi. Men                          ;PM*;084.2911951861308 -80.4691207092400;310.909 1049.060   ;54.6825   ;10.595    ;5.67     
1314;* iot Hyi                          ;PM*;048.9902738603700 -77.3884540169800; 113.658 62.375    ;34.2638   ;19.4      ;5.506    
1315;* nu. Hyi                          ;*  ;042.6185816466700 -75.0669482597400;-33.506 -26.239    ;9.457     ;3.09      ;4.742    
1316;* kap Hyi                          ;PM*;035.7179553982000 -73.6457924340700; -79.629 11.798    ;9.2133    ;28.03     ;5.987    
1317;* rho Phe                          ;dS*;012.6716098242200 -50.9868172781100;  62.919 44.139    ;13.318    ;22.0      ;5.225    
1318;* mu. Phe                          ;*  ;010.3314678837 -46.0850051083      ;    -28.20 1.80    ;13.27     ;17.41     ;4.59     
1319;* C01 Cen                          ;LP*;173.8053430915100 -47.3725790949400; -88.144 -7.202    ;5.4536    ;21.07     ;5.675    
1320;* x Car                            ;cC*;167.1474583325 -58.9750377058      ;     -4.97 1.67    ;0.52      ;6.00      ;3.83     
1321;* K Car                            ;*  ;157.5838629179 -71.9927945036      ;   27.59 -30.73    ;12.52     ;7.50      ;4.710    
1322;* nu. Cha                          ;PM*;146.5859637101800 -76.7761187699100; 83.013 -56.328    ;17.1643   ;11.42     ;5.440    
1323;* nu. Men                          ;PM*;065.2419671118300 -81.5799219004700; 10.182 125.469    ;18.4754   ;9.10      ;5.764    
1324;* kap Tuc                          ;** ;018.94234275 -68.87592657          ;  412.11 127.74    ;47.72     ;7.70      ;4.25     
1325;* ksi Phe                          ;a2*;010.4433220823000 -56.5013162284000;  90.410 56.986    ;14.7697   ;9.8       ;5.70     
1326;* eta Phe                          ;dS*;010.8384933787 -57.4630575853      ;    -5.07 16.51    ;13.24     ;7.70      ;4.361    
1327;* lam02 Phe                        ;PM*;008.9215644520600 -48.0009069342800;46.542 -101.536    ;28.4456   ;8.97      ;5.510    
1328;* C02 Cen                          ;PM*;173.9816037979800 -47.6416399351900; 33.654 -49.433    ;17.1828   ;5.2       ;5.252    
1329;* A Cen                            ;Be*;173.6902325362 -54.2640922231      ;   -56.17 16.19    ;7.65      ;5.70      ;4.607    
1330;* del02 Cha                        ;*  ;161.4458536404 -80.5401884717      ;    -36.86 5.90    ;9.30      ;22.6      ;4.433    
1331;* mu. Cha                          ;*  ;150.1824738481000 -82.2146701286700; -26.011 31.141    ;8.0957    ;16.00     ;5.520    
1332;* lam Tuc                          ;RG*;013.7512961994900 -69.5270846395300;  6.931 -43.593    ;14.4726   ;5.1       ;5.454    
1333;* rho Tuc                          ;SB*;010.6182161752800 -65.4680296032400;  53.444 41.180    ;23.6721   ;33.93     ;5.381    
1334;* bet01 Tuc                        ;** ;007.8861169750 -62.9582187464      ;   83.64 -54.82    ;24.15     ;14        ;4.289    
1335;* bet02 Tuc                        ;** ;007.8892596025662 -62.9655927541372;105.607 -48.057    ;19.5923   ;9.8       ;4.514    
1336;* bet03 Tuc                        ;** ;008.1829390607100 -63.0315005636000; 86.541 -50.115    ;21.6794   ;7.70      ;5.09     
1337;* B Cen                            ;PM*;177.7862133364200 -45.1734699165900; -72.928 -7.964    ;7.9199    ;2.2       ;4.46     
1338;* j Cen                            ;Be*;177.4211138933800 -63.7884724075000;  -22.022 2.755    ;4.5957    ;29.00     ;4.308    
1339;* 12 Mus                           ;RS*;174.87330698 -65.39776628          ;   -28.20 -7.21    ;6.50      ;9.10      ;5.095    
1340;* lam Mus                          ;PM*;176.4017464929 -66.7287622069      ;  -100.35 33.49    ;25.65     ;15.00     ;3.65     
1341;* mu. Mus                          ;LP*;177.0605629206600 -66.8149096119200; 30.340 -15.710    ;6.8524    ;37.4      ;4.728    
1342;* gam03 Oct                        ;*  ;002.5090520435900 -82.2240470805800;-22.050 -20.218    ;12.3535   ;15.0      ;5.283    
1343;* tet Oct                          ;PM*;000.3987477119846 -77.0657253520472;-56.841 -176.791   ;15.4549   ;22.48     ;4.783    
1344;* bet Hyi                          ;PM*;006.43779316 -77.25424612          ; 2219.54 324.09    ;134.07    ;23.085    ;2.79     
1345;* pi. Tuc                          ;*  ;005.1626759494600 -69.6249187397000;   -4.465 4.861    ;10.0847   ;11.6      ;5.499    
1346;* zet Tuc                          ;PM*;005.0177443062317 -64.8747936639189;1706.747 1164.959  ;116.1826  ;9.280     ;4.23     
1347;* tau Phe                          ;*  ;000.2690953766300 -48.8098743888900; -17.506 -6.325    ;6.6758    ;14.70     ;5.698    
1348;* E Cen                            ;*  ;182.0612693097200 -48.6925114012600; -26.946 -6.772    ;6.0457    ;7.20      ;5.34     
1349;* del Cen                          ;Be*;182.0895734887 -50.7224273928      ;   -49.94 -7.19    ;7.86      ;11.00     ;2.52     
1350;* rho Cen                          ;*  ;182.9129989498800 -52.3684401167400;-38.874 -13.280    ;12.4692   ;15.00     ;3.96     
1351;* del Cru                          ;Pu*;183.7863196854 -58.7489269267      ;  -35.81 -10.36    ;9.45      ;22.2      ;2.752    
1352;* tet02 Cru                        ;SB*;181.0800836534300 -63.1656990736500;  -18.467 0.467    ;4.7314    ;16.30     ;4.716    
1353;* zet Cru                          ;*  ;184.6093419771499 -64.0030853698000; -37.431 -6.576    ;9.2402    ;15.80     ;4.05     
1354;* eta Cru                          ;SB*;181.7204124987 -64.6137289936      ;   33.88 -37.02    ;50.62     ;10.40     ;4.136    
1355;* zet01 Mus                        ;PM*;185.5501205283800 -68.3073359100100; -1.467 -47.437    ;9.1234    ;21.13     ;5.723    
1356;* eps Mus                          ;LP*;184.3928215029 -67.9607357306      ; -231.04 -26.39    ;10.82     ;7.10      ;4.02     
1357;* gam Mus                          ;SB*;188.1167226400 -72.1329888058      ;   -51.34 -5.40    ;10.04     ;2.50      ;3.88     
1358;* bet Cha                          ;V* ;184.5867691208 -79.3122419344      ;   -37.97 11.15    ;10.93     ;23.00     ;4.229    
1359;* chi Oct                          ;PM*;283.6964192507800 -87.6058433139100;-36.555 -135.715   ;12.5114   ;33.60     ;5.278    
1360;* tau Oct                          ;*  ;352.0157729996300 -87.4822129360800;  16.782 11.957    ;6.8009    ;36.75     ;5.49     
1361;* sig Oct                          ;dS*;317.1952648758299 -88.9564995362700;   26.323 4.721    ;11.1005   ;11.9      ;5.42     
1362;* ups Oct                          ;PM*;337.9063131855600 -85.9672529001500; -37.556 61.431    ;9.5042    ;24.20     ;5.752    
1363;* bet Oct                          ;PM*;341.5146290838 -81.3816144403      ;    -54.49 1.16    ;21.85     ;19.00     ;4.128    
1364;* gam01 Oct                        ;PM*;358.0269715943500 -82.0188232186500;-45.670 -15.666    ;12.179    ;15.40     ;5.106    
1365;* gam02 Oct                        ;*  ;359.3869239487500 -82.1698082455700;-22.246 -23.235    ;10.1771   ;27.2      ;5.724    
1366;* eps Tuc                          ;Be*;359.9790733967 -65.5771334350      ;   47.93 -22.95    ;8.74      ;8.80      ;4.47     
1367;* eta Tuc                          ;** ;359.3961610362700 -64.2982298187400; 78.849 -61.755    ;20.4208   ;32.50     ;4.989    
1368;* sig Phe                          ;Pu*;356.8166517569300 -50.2264588840900;  9.526 -23.213    ;5.4931    ;11.00     ;5.166    
1369;* D Cen                            ;** ;183.51123940 -45.72391615          ;    -35.35 5.56    ;5.71      ;6.8       ;5.31     
1370;* G Cen                            ;*  ;186.6323314421 -51.4506360964      ;  -30.66 -10.13    ;7.28      ;5.00      ;4.808    
1371;* gam Cru                          ;PM*;187.79149838 -57.11321346          ;  28.23 -265.08    ;36.83     ;21.00     ;1.64     
1372;* 256 Cru                          ;*  ;186.6286788283600 -63.1222353188700;-39.548 -13.760    ;9.3964    ;27.0      ;4.822    
1373;* alf Mus                          ;** ;189.2959078692 -69.1355647886      ;  -40.20 -12.80    ;10.34     ;13.00     ;2.649    
1374;* del Mus                          ;SB*;195.5677697342 -71.5488542331      ;  264.17 -22.75    ;35.88     ;36.5      ;3.62     
1375;* iot01 Mus                        ;PM*;201.2796620689300 -74.8878194833000;-108.236 -132.718  ;14.4967   ;28.26     ;5.040    
1376;* pi.01 Oct                        ;PM*;225.4616594994900 -83.2276473063600;  18.954 52.520    ;8.419     ;14.72     ;5.641    
1377;* del Oct                          ;PM*;216.7301351771 -83.6678852306      ;  -96.12 -13.27    ;10.91     ;4.60      ;4.304    
1378;* eps Oct                          ;LP*;335.0069987354 -80.4397485361      ;   56.81 -43.47    ;11.22     ;11.70     ;5.177    
1379;* ksi Oct                          ;Pu*;342.5950579206900 -80.1238449567800; 20.003 -12.607    ;6.35      ;22.10     ;5.311    
1380;* psi Oct                          ;*  ;334.4608143113899 -77.5115552041900; -37.392 13.788    ;25.7575   ;17.00     ;5.472    
1381;* tau Cen                          ;PM*;189.4256837492000 -48.5413053592800;-186.081 -6.757    ;24.2953   ;5.50      ;3.86     
1382;* sig Cen                          ;** ;187.0099253271 -50.2306353422      ;  -32.36 -12.51    ;7.92      ;8.00      ;3.91     
1383;* bet Cru                          ;bC*;191.93028656 -59.68877200          ;  -42.97 -16.18    ;11.71     ;10.30     ;1.25     
1384;* iot Cru                          ;PM*;191.4085486185800 -60.9813211880700;112.266 -65.641    ;26.1753   ;7.45      ;4.686    
1385;* 39 Cru                           ;Be*;190.4857049264700 -59.6858206790300; -24.464 -4.226    ;3.8643    ;12.5      ;4.94     
1386;* lam Cru                          ;Be*;193.6632607321 -59.1467007942      ;  -32.92 -14.60    ;8.50      ;12.00     ;4.602    
1387;* 67 Mus                           ;SB*;201.4595881987600 -70.6272525588600;  -55.129 1.026    ;7.9917    ;1.40      ;5.651    
1388;* tet Aps                          ;LP*;211.3328243154 -76.7967556622      ;  -87.54 -32.54    ;8.84      ;10.20     ;5.50     
1389;* eps Aps                          ;Be*;215.5965194554 -80.1089459094      ;   -9.51 -14.34    ;5.06      ;4.50      ;5.052    
1390;* nu. Oct                          ;SB*;325.3689251479717 -77.3900087616200;68.656 -250.044    ;51.5172   ;34.4      ;3.728    
