" coord1 (ICRS,J2000/2000)  "	        pm        	Mag V 
059.68645604 -61.40018537  	    9.80 -14.30   	4.57
303.34944422 +56.56772220  	    61.82 82.18   	4.282
041.03062200 -13.85869806  	    -8.62 -9.07   	4.235
057.36352199 -36.20025113  	  -49.18 -57.01   	4.17
124.63880414 -36.65928864  	 -110.33 100.48   	4.4
003.65068546 +20.20670014  	     90.76 1.24   	4.8
041.23558742 +10.11414136  	  282.70 -32.53   	4.2
303.56924526 +15.19760896  	    55.03 58.14   	4.947
241.35929993 -19.80545278  	   -5.20 -24.04   	2.62
017.43301617 +35.62055765  	 175.90 -112.20   	2.05
296.60666745 +33.72759590  	  23.25 -449.31   	4.99
168.56001859 +15.42957058  	  -60.31 -79.10   	3.35
281.41552377 +20.54631030  	  -8.87 -334.56   	4.19
056.58155768 +23.94835590  	   21.13 -43.65   	4.18
154.994250 +19.840750      	   306.4 -160.8   	4.225
237.39852840 +26.06839070  	  -78.83 -65.28   	4.63
087.25402491 +24.56753388  	    10.44 -8.30   	4.894
189.5682829 -60.7142042    	            ~ ~   	0
197.26362608 -23.11806948  	  -20.08 -39.81   	4.944
276.33766980 -20.54167736  	    8.46 -28.07   	4.87
132.44849428 -45.30787704  	   -11.67 13.53   	4.943
141.16357808 +26.18232361  	  -31.64 -48.20   	4.46
229.25172425 -09.38291441  	  -98.10 -19.65   	2.62
260.49781805 -67.77066866  	   -37.85 -7.91   	4.78
156.96970319 -58.73940296  	    -14.47 2.36   	3.828
193.90086919 +03.39747034  	 -469.99 -52.83   	3.38
045.56988780 +04.08973877  	  -10.41 -76.85   	2.53
341.87111550 +83.15383011  	    24.60 47.08   	4.783
028.98946719 -51.60889791  	  680.92 283.46   	3.7
237.70402593 +04.47773087  	   128.19 62.16   	3.713
250.72402122 +38.92225357  	   35.41 -85.30   	3.5
208.30224803 -31.92760963  	   -12.72 -9.48   	4.73
107.21278443 -39.65565499  	    -10.69 7.71   	4.83
349.35738424 -58.23573020  	   -35.83 81.16   	3.98
017.86341155 +21.03465016  	   39.32 -10.48   	4.666
335.37947961 +12.20518412  	      6.32 4.80   	4.99
142.31133199 -35.95133540  	    -24.69 5.04   	4.51
068.98016279 +16.50930235  	  63.45 -188.94   	0.86
239.71297183 -26.11410794  	  -11.42 -26.83   	2.91
275.18930101 +71.33781941  	    -5.03 37.86   	4.22
047.26674943 +49.61327768  	 1262.41 -91.50   	4.05
099.47258932 -18.23747828  	    -7.32 -8.72   	4.42
189.5953607 -60.6826394    	            ~ ~   	0
044.80304 +21.34042        	            ~ ~   	4.63
226.82527528 +24.86919478  	 185.09 -163.79   	4.93
116.53102956 +18.51004292  	  -75.86 -51.78   	4.87
281.08477455 +39.67012591  	    11.09 61.39   	4.66
284.43249618 -21.10665591  	   31.72 -13.33   	3.51
091.03006433 +23.26334447  	  -1.61 -118.33   	4.15
113.650417 +31.888492      	  -206.3 -148.2   	2.97
041.38597645 -67.61661854  	    66.41 43.38   	4.834
285.42011280 -05.73911485  	  -24.41 -39.66   	4.02
276.74340017 -45.96845827  	  -16.95 -53.09   	3.477
156.09877488 -74.03161210  	  -16.29 -27.67   	4.01
134.08026252 -52.72347479  	   -15.63 14.76   	4.699
309.63057866 +21.20117963  	    74.53 -0.16   	4.82
298.11819895 +01.00565823  	     6.91 -8.21   	3.8
028.38256161 +19.29385527  	   79.20 -97.63   	3.88
064.56090374 +50.29550160  	   45.42 -56.72   	4.598
271.70788800 -43.42522122  	  10.73 -106.59   	4.94
283.62618063 +36.89861482  	     -7.36 4.06   	4.3
240.80374095 -49.22969863  	     42.05 9.14   	4.648
065.38818986 +46.49887650  	   20.06 -35.45   	4.814
262.649900 -21.482286      	            ~ ~   	-3
193.27877594 -48.94331216  	  -79.19 -24.26   	4.33
248.97063689 -28.21601709  	   -9.89 -22.83   	2.81
114.86390974 -38.30802182  	   -21.11 15.81   	4.84
077.42482376 +15.59723360  	   -2.71 -15.75   	4.82
137.59810823 +67.13401784  	   13.13 -90.93   	4.8
076.10167575 -35.48297670  	  126.17 -43.67   	4.55
084.05338894 -01.20191914  	     1.44 -0.78   	1.69
222.71963789 -16.04177652  	 -105.68 -68.40   	2.75
233.70058 +10.53908        	          -74 7   	3.8
078.322837 +02.861256      	            ~ ~   	4.48
135.90636507 +47.15652473  	  -36.19 -55.40   	3.6
264.86619203 +46.00633336  	     -7.48 4.53   	3.8
330.947717 +64.627978      	     213.9 88.6   	4.45
264.13676323 -38.63536804  	 -30.86 -205.72   	4.272
214.55790725 -81.00775833  	  -19.47 -64.51   	4.901
007.94316395 +54.52228492  	   41.20 -16.54   	4.732
090.59581950 +09.64727279  	   10.43 -39.09   	4.13
286.73503735 -27.67042191  	 -50.61 -249.80   	3.31
238.78567527 -63.43072653  	-590.51	2.85
007.889450 -62.965564      	     94.9 -48.6   	4.488
343.131383 -32.875556      	    -35.5 -43.8   	4.51
119.93397115 -03.67958515  	   -54.04 -2.80   	4.942
143.70596913 +52.05147680  	  -65.74 -37.32   	4.479
349.65621622 +68.11144271  	    54.33 10.11   	4.868
177.42108582 -63.78847913  	    -20.76 4.30   	4.313
264.39666596 -15.39855388  	  -42.10 -59.94   	3.539
244.37619567 +75.75533014  	  -90.30 257.66   	4.95
336.96467687 +04.69566681  	  77.57 -306.12   	4.8
248.36284911 -78.89714923  	 -125.51 -78.25   	3.872
240.08335535 -22.62170643  	  -10.21 -35.41   	2.32
281.41410877 -26.99077623  	     50.61 1.22   	3.161
221.24673940 +27.07422497  	   -50.95 21.07   	2.39
308.89521301 -60.58175156  	  69.86 -186.62   	4.759
113.98062377 +26.89574308  	 -34.12 -106.96   	4.06
247.35191542 -26.43200261  	  -12.11 -23.30   	0.91
088.27867089 -33.80136331  	    -4.72 31.32   	4.87
079.37120539 -34.89520677  	  92.67 -336.23   	4.83
062.96641483 -06.83757955  	    10.76 81.92   	4.04
221.31025110 +16.96427994  	  -60.69 -50.56   	4.6
057.29059410 +24.05341675  	   17.70 -44.18   	3.63
347.36165339 -21.17241145  	    55.40 30.49   	3.64
165.931954 +61.751033      	   -136.5 -35.2   	2
143.61104507 -59.22975195  	    -10.74 6.60   	4.09
151.28112034 -13.06462670  	   -39.39 19.65   	4.594
087.45692422 -56.16666132  	   81.13 -71.12   	4.504
130.02559846 -35.30835143  	    9.84 -20.80   	3.972
263.73362272 +12.56003739  	 108.07 -221.57   	2.07
196.79470844 +27.62473847  	   33.68 -69.18   	4.69
114.342117 -34.968522      	     -19.8 12.5   	4.54
076.36527238 -22.37103442  	   21.13 -73.11   	3.18
155.58224902 +41.49951920  	   -81.47 35.34   	3.05
219.90205833 -60.83399269  	-3679.25 473.67   	0.01
008.24996332 +62.93178261  	     3.65 -2.07   	4.16
131.693867 +06.418789      	   -199.4 -53.2   	3.49
044.69915176 -64.07128473  	     22.76 5.18   	4.979
051.79229464 +09.73267621  	   50.58 -39.54   	3.75
114.79138690 +34.58434563  	 -33.42 -118.17   	4.9
079.40161902 -06.84440839  	   -17.61 -9.24   	3.59
122.11435967 +51.50666818  	   -60.95 -3.11   	4.802
037.266500 +67.402417      	     -18.0 11.8   	4.61
024.42852282 -57.23675279  	   87.00 -38.24   	0.46
113.64947164 +31.88828222  	-336.64	1.58
041.27577960 -18.57255971  	   334.20 37.19   	4.46
275.07464502 +21.96129601  	   17.78 -59.59   	4.96
189.5740509 -60.7331512    	            ~ ~   	0
115.09671384 -15.26391763  	   -1.40 -26.98   	4.981
214.04137480 +51.36722965  	  -149.39 88.72   	4.75
259.41772614 +37.29149985  	   -43.05 64.36   	4.65
240.36068701 +29.85106232  	   -38.31 -6.56   	4.975
147.74732084 +59.03873572  	-446.93	3.81
037.26644916 +67.40247693  	   -26.61 38.21   	4.53
081.11923634 -02.39714754  	    -0.71 -3.46   	3.35
191.40855059 -60.98131763  	  112.93 -64.62   	4.693
140.80104579 -28.83387277  	  -128.25 20.70   	4.68
311.85224026 +36.49071491  	    14.71 -8.96   	4.54
107.966083 -00.492767      	      0.79 4.52   	4.15
189.5867909 -60.5384925    	            ~ ~   	0
319.64488470 +62.58557446  	   150.55 49.09   	2.46
022.81293646 -49.07270301  	  138.38 153.89   	3.949
122.3721917 -47.3452853    	       -0.6 9.7   	4.2
285.00344031 +32.14551465  	      6.08 9.96   	4.951
144.61370676 +04.64929058  	 -163.18 -50.88   	4.68
213.37086406 +51.78996822  	    61.03 -9.22   	4.51
037.95456067 +89.26410897  	   44.48 -11.85   	2.02
074.09281715 +13.51447033  	  -74.88 -44.33   	4.06
089.38420657 -35.28328202  	    -3.24 10.21   	4.36
077.28659645 -08.75408079  	     0.25 -1.97   	4.27
289.05433208 +21.39042608  	     0.21 -6.84   	4.77
063.72216868 +40.48367509  	   13.50 -20.50   	4.691
135.15992 +41.78294        	      -440 -248   	4.14
190.415887 -01.449342      	  -616.68 60.66   	3.484
084.72117901 -07.21282883  	  -15.04 -49.50   	4.8
201.30640764 +54.98795966  	  120.21 -16.04   	4.01
333.99240304 +37.74873293  	     8.85 -0.72   	4.15
083.70515849 +09.48957995  	     0.27 -2.26   	4.41
278.80178235 -08.24407024  	 -17.00 -313.52   	3.83
224.39586369 +65.93246026  	   -78.23 32.50   	4.54
206.81559750 +17.45690422  	  -479.53 53.49   	4.49
067.14373348 +15.96218040  	  104.97 -15.14   	3.84
205.18447230 +54.68163587  	  -19.06 -10.56   	4.66
349.29140621 +03.28228833  	   759.82 17.77   	3.7
322.18083625 -21.80718067  	   134.83 -5.73   	4.5
252.54087839 -34.29323159  	-870.83	2.29
189.29590787 -69.13556479  	  -40.20 -12.80   	2.677
089.98374698 +45.93673547  	    -2.44 -7.34   	4.25
183.95154504 -17.54193046  	  -158.61 21.86   	2.58
156.85196310 -57.63880438  	     -6.51 3.82   	4.7
318.23410806 +30.22691546  	    6.51 -68.21   	3.21
293.52230639 +07.37893877  	 213.73 -156.55   	4.45
221.50033327 -25.44317653  	-258.78	4.94
207.85808074 +64.72327019  	     1.34 -5.15   	4.66
256.20563446 -34.12293007  	     1.60 -3.28   	4.87
104.65645315 -28.97208616  	      3.24 1.33   	1.5
216.53426766 -45.22142543  	  -13.09 -14.67   	4.546
099.17098990 -19.25587942  	   62.57 -69.97   	3.91
190.0611522 -60.6334888    	            ~ ~   	0
007.88948582 -62.96556260  	   93.97 -46.32   	4.514
201.29824736 -11.16131949  	  -42.35 -30.67   	0.97
332.09586690 -32.98846901  	   78.81 -29.10   	4.5
142.88211972 +63.06186148  	   107.99 27.15   	3.67
158.86711331 -78.60778669  	   -37.61 11.08   	4.12
340.66687613 -46.88457644  	   135.16 -4.38   	2.11
078.23292366 -16.20546904  	   47.09 -16.39   	3.29
143.21430793 +51.67730032  	-1483.06	3.18
012.27621124 +57.81518773  	1086.59 -559.43   	3.44
266.97316555 +02.70727778  	  -24.64 -74.42   	3.75
193.64843562 -57.17792292  	  -30.69 -13.08   	4.04
135.61164967 -66.39607576  	   -2.00 -95.51   	4.004
163.37356349 -58.85317120  	    79.01 38.47   	3.79
033.24997971 +08.84671067  	  -26.87 -17.23   	4.35
078.63446707 -08.20163836  	      1.31 0.50   	0.13
084.41118926 +21.14254411  	    1.78 -20.07   	3.03
169.16541498 -03.65160473  	 -110.37 -37.16   	4.467
313.70251157 -58.45415606  	   20.79 -25.20   	3.65
209.56777834 -42.10075398  	  -22.77 -20.13   	3.806
125.34594439 -33.05436519  	    -11.11 2.85   	4.8
241.092462 -11.372944      	    -63.2 -27.0   	4.17
308.47577926 +35.25085165  	    -1.58 -5.36   	4.663
201.86318435 -15.97358060  	  -121.74 20.62   	4.758
042.87849045 +35.05973924  	    9.63 -63.68   	4.53
294.17680369 -24.88361911  	   68.30 -21.51   	4.598
011.18132777 +48.28436488  	    18.84 -7.18   	4.5
163.903337 +24.749722      	    -71.5 -12.8   	4.5
331.75277487 +25.34511244  	   296.53 27.29   	3.77
119.41711012 -30.33457007  	     -7.85 6.94   	4.79
313.03198339 +27.09697702  	  -75.44 -62.03   	4.576
111.78767391 +08.28931576  	  -51.76 -38.29   	2.89
270.16131745 +02.93156455  	     1.15 -9.35   	3.93
081.70928871 +03.09567231  	     1.71 -1.94   	4.595
051.08070872 +49.86117930  	   23.75 -26.23   	1.79
142.67499823 -40.46673935  	  -147.98 61.35   	3.6
233.70061506 +10.53886800  	    -71.48 3.64   	3.79
238.40299500 -25.32714131  	  -15.12 -25.18   	4.59
028.66004579 +20.80803147  	  98.74 -110.41   	2.65
298.81540380 -41.86828856  	    22.61 51.40   	4.13
032.35554961 +25.93988855  	   70.46 -34.99   	4.983
078.30782337 -12.94129064  	   -12.29 -0.79   	4.421
130.30471514 -47.31712300  	     -9.90 7.49   	4.77
118.16102761 -38.86281402  	     -8.92 3.34   	4.48
281.79363542 -04.74786864  	   -8.44 -16.37   	4.22
080.98678198 -07.80806478  	  -14.82 -45.02   	4.12
309.90953000 +15.91207326  	     53.82 8.47   	3.8
142.80549547 -57.03437716  	    -32.54 5.87   	3.179
171.15245913 -10.85932196  	   -25.65 24.96   	4.823
109.28565325 -37.09747115  	    -10.05 6.47   	2.7
189.5919042 -60.6338372    	            ~ ~   	0
262.96038137 -49.87614501  	  -33.27 -67.22   	2.95
247.84555417 -34.70436517  	  -12.05 -18.16   	4.23
060.22420250 -62.15928472  	     3.03 34.67   	4.5
307.21506035 -17.81368591  	   -14.98 -7.29   	4.803
092.98498722 +14.20876543  	    0.29 -20.12   	4.48
096.22458869 +49.28789442  	    -0.66 -1.82   	4.75
083.001658 -00.299081      	        1.7 0.6   	2.41
239.22115099 -29.21407255  	  -15.68 -24.88   	3.86
133.76178425 -60.64461106  	   -28.18 41.48   	3.8
154.99312733 +19.84148522  	 304.30 -154.28   	2.37
192.67152370 -33.99930223  	  -30.21 -14.11   	4.907
346.04576060 +50.05208957  	  166.04 166.94   	4.65
082.06134649 -20.75944105  	   -5.02 -86.01   	2.84
017.77567602 +55.14990201  	  226.77 -18.75   	4.33
347.47873899 -22.45761644  	    32.61 -9.76   	4.8
074.24842121 +33.16609957  	    6.79 -14.88   	2.69
326.76018434 -16.12728709  	 261.70 -296.70   	2.83
225.72515818 +02.09130400  	   -54.89 13.34   	4.4
114.70779496 -26.80383873  	   -16.64 21.28   	3.8
131.17124671 +18.15430650  	 -17.67 -229.26   	3.94
308.30321633 +11.30326144  	   11.96 -28.97   	4.03
336.31926188 +01.37739850  	     17.83 2.41   	4.64
189.5987900 -60.6851790    	            ~ ~   	0
123.37298832 -35.89951839  	     -7.30 9.75   	4.77
138.93783361 -37.41314465  	    14.42 -7.56   	4.62
207.46784715 -18.13416794  	  -99.65 -37.74   	4.97
170.28413955 +06.02932527  	  -92.97 -11.48   	4.044
342.39792320 -13.59263240  	  -13.71 -39.03   	3.98
252.45840017 -10.78299375  	   72.33 -78.80   	4.646
242.99995217 -10.06424119  	  -21.98 -23.74   	4.94
246.39632359 -23.44717083  	   -5.53 -21.74   	4.63
159.32558311 -48.22562079  	  -133.41 -1.82   	3.84
054.21826346 +00.40166192  	-714.52	4.3
076.66929028 +51.59772291  	 -30.49 -172.89   	4.98
277.93930368 -45.91481018  	   -3.75 -27.43   	4.916
218.67007081 +29.74512750  	  188.35 131.77   	4.47
217.050575 -02.227953      	    -140.4 -1.0   	4.84
259.33153152 +33.10010086  	    -4.14 -5.43   	4.8
269.94814616 -23.81613545  	   -2.59 -51.07   	4.731
120.87950938 +27.79434007  	  -25.52 -31.89   	4.944
190.416596 -01.449514      	        -616 60   	3.44
314.29341278 +41.16713864  	    9.64 -22.75   	3.94
312.37067351 -46.22682878  	    38.49 26.22   	4.902
233.23242560 +31.35913227  	   -20.15 -9.39   	4.13
112.27799529 +31.78454925  	  159.09 193.29   	4.18
337.82292212 +50.28249116  	   137.51 17.01   	3.77
173.69023254 -54.26409222  	   -56.17 16.19   	4.614
109.67702675 -24.95437258  	     -2.31 5.02   	4.4
131.59390494 -13.54772148  	    16.12 -6.81   	4.32
108.14010406 -46.75930414  	 -136.17 107.12   	4.49
150.05335788 +08.04422311  	  -31.41 -22.15   	4.7
160.88454229 -60.56661966  	    -14.75 3.10   	4.579
263.04403565 +55.18424274  	   147.39 54.31   	4.888
068.46215639 +14.84442312  	  103.20 -26.48   	4.65
169.61973601 +33.09430852  	   -26.84 28.69   	3.49
262.85397556 -23.96264266  	    5.24 -25.72   	4.81
069.17262573 +41.26481147  	   -4.56 -17.84   	4.26
234.51334882 -42.56734566  	  -149.80 57.37   	4.33
270.77049968 -08.18034961  	   15.78 -37.79   	4.78
309.39713645 -61.52992069  	   59.61 -72.69   	4.863
346.974388 +75.387506      	      6.0 -30.9   	4.61
241.62265382 -45.17318106  	    16.19 38.45   	4.726
018.942296 -68.875975      	    404.9 108.3   	4.86
139.71101600 +36.80259252  	 -32.33 -125.64   	3.82
082.43325883 -01.09223861  	    1.16 -25.84   	4.71
117.08400177 -47.07772182  	 -101.85 -78.08   	4.71
303.63347213 +36.80630336  	    69.81 69.14   	4.99
184.60936548 -64.00307021  	  -33.80 -10.15   	4.05
098.76411952 -22.96478820  	    13.95 18.56   	4.5
206.815596 +17.456894      	    -480.8 50.4   	4.54
056.71203413 -23.24972349  	-687.79	4.2
088.71158677 +55.70694678  	    -4.85 17.29   	4.968
006.55084095 -43.67983137  	   106.20 32.15   	3.94
052.65440929 -05.07514552  	     14.23 7.27   	4.727
325.87692107 +58.78004450  	     5.36 -3.51   	4.08
210.95585562 -60.37303516  	  -33.27 -23.16   	0.6
253.64585144 -42.36131686  	-357.16	3.62
024.19934235 +41.40545674  	-555.13	4.1
222.7200 -16.0417          	            ~ ~   	2.8
289.40866415 -18.95290777  	   -9.96 -10.60   	4.889
005.01774979 -64.87479302  	1707.42 1164.30   	4.23
281.19315564 +37.60511585  	    29.04 27.03   	4.36
141.89684460 -08.65859953  	   -15.23 34.37   	1.97
140.23672004 -62.40463342  	   -13.96 -0.19   	4.804
277.69600 +02.61444        	            ~ ~   	4.39
189.42568237 -48.54130276  	  -186.26 -6.01   	3.86
028.382383 +19.296186      	        79 -112   	4.7
238.45640859 -16.72929396  	  100.33 135.02   	4.16
342.42007060 +66.20040656  	 -65.89 -125.17   	3.54
171.22051508 -17.68400833  	    -97.42 3.65   	4.08
190.64771431 -48.81310828  	 -123.84 -30.17   	4.66
346.65340774 +59.41975992  	     6.94 -1.95   	4.84
306.41190437 -56.73508973  	    6.90 -86.02   	1.91
049.99696946 +65.65229172  	   11.25 -14.56   	4.85
068.91357960 +10.16078879  	   43.13 -52.71   	4.251
340.89680445 -18.83037658  	  -31.73 -28.54   	4.69
086.93912017 -09.66960492  	     1.46 -1.28   	2.06
176.46483156 +06.52937258  	 -18.96 -181.56   	4.04
192.92467528 +27.54071539  	    -8.77 -7.72   	4.94
060.78908193 +05.98929977  	     4.72 -3.78   	3.898
207.95667234 -32.99408521  	  -34.54 -28.21   	4.53
190.41518098 -01.44937282  	  -614.76 61.34   	2.74
242.01885336 +17.04697638  	   -35.55 -7.04   	4.994
128.83211195 -58.00922988  	    53.30 26.76   	4.853
159.68005287 +31.97623907  	      0.07 7.79   	4.689
182.91299042 -52.36845646  	  -34.92 -16.81   	3.96
059.46346687 +40.01021532  	   14.06 -23.78   	2.89
009.83197992 +30.86102175  	  114.45 -84.02   	3.28
284.26529034 -05.84631157  	   60.53 -39.92   	4.826
311.93432910 -05.02770055  	    1.68 -40.06   	4.44
290.80473937 -44.79977920  	   93.45 -54.09   	4.281
258.661888 +14.390372      	     -17.0 47.0   	3.35
131.67424952 +28.75989418  	  -21.58 -45.69   	4.028
018.94234275 -68.87592657  	  412.11 127.74   	4.25
311.52388594 -25.27089755  	 -51.96 -156.56   	4.152
068.37730151 -29.76649236  	-386.57	4.51
269.62562122 +30.18927417  	     -0.81 2.18   	4.41
156.47839728 +33.79611971  	  -73.66 -59.21   	4.73
359.66823782 -03.55598275  	  -57.13 -72.08   	4.89
087.73996750 -35.76830978  	   54.77 404.20   	3.12
269.44119046 +29.24787987  	   82.44 -18.73   	3.7
073.13318153 +14.25064486  	   -0.05 -54.81   	4.752
021.00585534 -08.18325590  	 -77.94 -206.53   	3.59
187.46606319 -16.51543126  	-349.23	2.94
244.96009277 -50.15550618  	 -159.71 -52.25   	4.02
326.16139677 +25.64503776  	    48.13 14.29   	4.159
055.59435647 +33.96502482  	     2.71 -5.91   	4.975
083.001708 -00.299136      	        1.7 0.6   	3.76
278.14384313 +57.04559809  	     0.08 -7.45   	4.781
189.6000459 -60.5857550    	            ~ ~   	0
262.60817373 +52.30138871  	   -15.89 12.28   	2.81
002.29452158 +59.14978110  	 523.50 -179.77   	2.27
245.29714880 -25.59279208  	  -10.60 -16.28   	2.89
220.48996116 -37.79349834  	  -29.92 -30.68   	4
014.18838380 +38.49934390  	   153.48 36.49   	3.87
130.15654238 -46.64874361  	     -6.05 4.66   	3.81
233.67195002 +26.71469278  	  120.27 -89.58   	2.24
240.69957352 +46.03670476  	   55.42 -61.29   	4.714
236.61089255 +07.35306802  	 -224.00 -70.64   	4.42
281.36208536 -64.87126105  	  32.40 -149.48   	4.779
182.10340218 -24.72887510  	   99.52 -39.19   	4
091.88180066 -37.25291982  	      0.12 0.41   	4.993
243.36970525 -54.63046846  	   -5.14 -22.86   	4.94
097.96402649 -23.41842169  	     -2.91 6.22   	4.33
222.84741637 +19.10047205  	  154.98 -66.43   	4.593
176.19073394 -18.35067494  	   27.79 -24.86   	4.717
129.68932277 +03.34143614  	  -19.48 -15.92   	4.43
277.20774917 -49.07058673  	 139.10 -228.66   	4.13
079.54404256 +33.37161348  	  31.63 -160.73   	4.552
249.68685863 +48.92834266  	   -47.26 26.84   	4.9
189.6025840 -60.6105210    	            ~ ~   	0
297.64135163 +32.91405824  	  -20.16 -38.34   	4.24
340.16391980 -27.04361546  	    23.22 -0.16   	4.18
343.15364336 -07.57959838  	    17.02 33.03   	3.79
221.24667338 -35.19182626  	     9.17 -2.30   	4.923
106.427112 -38.244286      	          -8 10   	4.1
121.98247583 -68.61706528  	   -29.14 29.26   	4.4
017.91515195 +30.08963635  	   73.88 -38.30   	4.523
234.18009263 -66.31703705  	   24.35 -54.47   	4.113
216.73013518 -83.66788523  	  -96.12 -13.27   	4.317
303.32522325 +46.81567845  	     13.83 3.00   	4.833
129.41096992 -42.98908040  	    -10.75 9.66   	4.14
356.76439513 +58.65198888  	    60.81 56.47   	4.881
069.545104 -14.303983      	   -76.0 -167.2   	3.89
002.81607340 -15.46797939  	 -83.38 -270.17   	4.89
272.18954758 +20.81455774  	    -1.92 -5.89   	4.355
184.976475 -00.666794      	  -57.58 -25.19   	3.9
311.55284318 +33.97025693  	  355.66 330.60   	2.48
246.95078000 -08.37172902  	  -67.49 -11.75   	4.63
189.9845185 -60.5621900    	            ~ ~   	0
229.63342899 -47.87527658  	  -29.59 -35.07   	4.274
250.76940214 -77.51743413  	-637.51	4.24
262.69098801 -37.29581348  	   -2.37 -30.09   	2.7
222.847025 +19.100625      	        139 -99   	4.675
336.833196 -64.966358      	       68.9 7.9   	4.498
206.66407403 -51.43276480  	   10.00 -27.62   	4.642
285.65304266 -29.88006330  	    10.79 21.11   	2.607
044.76531980 +35.18313038  	    -46.22 6.57   	4.93
171.98433231 +02.85626691  	    16.89 -9.81   	4.95
119.19464158 -52.98235277  	   -28.68 19.71   	3.444
031.12266087 -29.29681882  	     12.79 8.48   	4.69
201.00201096 -64.53566913  	   28.90 -21.52   	4.52
319.48451664 -32.17254209  	   54.36 -23.29   	4.721
116.32895777 +28.02619889  	 -626.55 -45.80   	1.14
317.585421 +10.131575      	    51.4 -152.5   	4.7
155.228738 -56.043317      	      -7.5 -4.0   	4.5
061.17381184 +22.08192341  	   90.53 -59.47   	4.37
264.46130452 -08.11877079  	  -11.31 -20.47   	4.62
266.43327520 -64.72387206  	  -11.96 -56.57   	3.597
121.88603676 -24.30432443  	   -83.35 46.23   	2.81
341.40784184 -53.50012091  	    30.59 17.37   	4.859
130.80614580 +03.39866297  	   -19.39 -1.08   	4.3
066.65154553 +14.71378127  	   -9.52 -31.44   	4.69
103.38711328 -20.22425492  	     -5.46 3.58   	4.83
222.90959538 -43.57536015  	  -25.20 -27.13   	4.313
059.50736229 -13.50851938  	  61.57 -113.11   	2.94
260.250921 -21.112433      	            ~ ~   	4.387
084.91225430 -34.07410972  	    1.58 -24.82   	2.65
353.24274574 -37.81826583  	    95.97 38.29   	4.37
185.08742223 +03.31257233  	 -292.95 -63.58   	4.96
283.83375928 +43.94609208  	    21.05 82.06   	4
000.93494934 -17.33599220  	    25.17 -9.16   	4.543
040.825500 +03.236167      	            ~ ~   	3.54
213.91530029 +19.18240916  	-3093.45	-0.05
073.51254332 +66.34267680  	     -0.13 6.89   	4.29
093.71389027 -06.27477445  	   -4.69 -19.30   	3.96
252.44648553 -59.04137708  	   39.73 -24.91   	3.78
207.37615183 -41.68770891  	  -26.77 -20.18   	3.39
326.03574137 +28.74263143  	 260.72 -243.21   	4.5
024.49815413 +48.62821376  	  61.95 -112.15   	3.57
226.11142641 +26.94764996  	  -175.42 -4.06   	4.55
300.27520192 +27.75357330  	     58.17 3.84   	4.663
220.62674826 -64.97513706  	-426.04	3.19
029.00011601 +68.68524062  	   14.96 -10.11   	4.97
088.79293899 +07.40706400  	    27.54 11.30   	0.42
339.34340527 +51.54512176  	 -51.83 -103.80   	4.63
302.222292 +77.711422      	      12.4 24.3   	4.4
115.88494408 -28.41088421  	   -13.73 30.01   	4.59
044.69029106 +39.66272613  	   25.65 -41.62   	4.7
254.65505070 -55.99014453  	  -17.80 -36.67   	3.127
057.149500 -37.620156      	     79.1 -11.8   	4.72
283.54240398 -22.74484020  	     2.59 -8.41   	4.859
163.49475146 +43.18995785  	   42.97 -23.62   	4.668
060.17006549 +12.49034054  	   -8.02 -14.42   	3.41
243.07585374 -27.92637382  	  -10.38 -23.94   	4.567
266.89010133 -27.83078694  	   -4.08 -10.05   	4.54
199.38558721 +40.57260763  	  -125.28 18.47   	4.715
080.11216222 -21.23976432  	   11.39 -10.30   	4.729
283.81636041 -26.29672411  	   15.14 -53.43   	2.058
172.85091980 +69.33107490  	  -40.97 -19.19   	3.85
337.207529 -00.020056      	         191 37   	4.34
207.36134063 -34.45077580  	  -41.68 -59.77   	4.19
040.82516290 +03.23581638  	-292.22	3.47
056.87115231 +24.10513565  	   19.34 -43.67   	2.87
148.02647655 +54.06433229  	    -6.00 19.16   	4.56
337.62191686 +43.12337679  	    -1.98 -5.36   	4.518
211.51153435 -41.17963300  	  -22.90 -21.69   	4.343
240.57371524 +22.80445284  	     4.03 23.60   	4.817
130.91822271 -07.23373120  	   -11.62 -1.36   	4.642
140.12091069 -09.55569595  	  -12.48 -27.37   	4.818
316.65039090 +47.64840251  	     6.53 -1.41   	4.549
219.89609629 -60.83752757  	-3614.39 802.98   	1.33
139.94325984 -11.97485110  	   -27.65 12.76   	4.783
033.30551610 +44.23165405  	  -20.90 -14.46   	4.844
082.98275078 -07.30153810  	    -0.10 -4.87   	4.63
100.24441512 +09.89575637  	    -2.61 -1.61   	4.64
340.75057261 +30.22124505  	   13.16 -25.67   	2.95
293.80411355 -48.09920113  	   -7.51 -37.19   	4.891
202.42825778 -23.28132630  	   -57.68 12.86   	4.97
240.88370590 -57.77507336  	 -120.01 -82.09   	4.63
063.59870424 -10.25628008  	  -7.19 -161.05   	4.86
070.140471 -41.863753      	   -141.1 -74.4   	4.439
076.37773654 -57.47270450  	  -30.97 117.22   	4.72
212.59972259 +25.09167762  	  -23.43 -59.79   	4.83
347.58973980 -45.24671241  	  132.50 -26.66   	3.89
177.26490976 +14.57205806  	-612.35	2.13
200.98141867 +54.92535197  	  119.01 -25.97   	2.27
006.98207790 -33.00716603  	  -20.10 -49.94   	4.81
