C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
1602;* mu. Hor                          ;PM*;045.9034115831700 -59.7377745910400;-73.668 -63.504     ;23.1077   ;17.3       ;5.122    
1603;* zet Hor                          ;SB*;040.1650556146300 -54.5499119187700;   33.395 5.812     ;20.2364   ;-1.1       ;5.21     
1604;* phi Eri                          ;PM*;034.1274401325 -51.5121654203      ;   91.03 -22.23     ;21.22     ;10.40      ;3.57     
1605;* psi Phe                          ;LP*;028.4114209738 -46.3026679986      ;  -93.16 -91.17     ;9.54      ;2.90       ;4.41     
1606;* Q Vel                            ;*  ;152.2343313096 -51.8112607522      ;    -14.96 0.48     ;2.45      ;14.00      ;4.845    
1607;* phi Vel                          ;*  ;149.2155903092 -54.5677886231      ;    -13.08 3.55     ;2.05      ;13.90      ;3.45     
1608;* N Vel                            ;V* ;142.8054954737 -57.0343771611      ;    -32.54 5.87     ;13.65     ;-13.90     ;3.139    
1609;* a Car                            ;SB*;137.7420266183 -58.9668936681      ;   -16.64 15.00     ;7.30      ;23.3       ;3.40     
1610;* iot Car                          ;V* ;139.2725285717 -59.2752320292      ;   -18.86 11.98     ;4.26      ;12.00      ;2.26     
1611;* c Car                            ;PM*;133.7617842537 -60.6446110589      ;   -28.18 41.48     ;10.20     ;25.00      ;3.80     
1612;* del Vol                          ;*  ;109.2075994650 -67.9571523228      ;     -4.43 8.38     ;4.42      ;24.62      ;3.99     
1613;* nu. Dor                          ;PM*;092.1844249721 -68.8434110236      ;   -50.84 19.01     ;10.88     ;17.00      ;5.038    
1614;* tet Dor                          ;*  ;078.4393987811100 -67.1852582740000;  18.485 38.123     ;6.0186    ;9.61       ;4.801    
1615;* bet Ret                          ;SB*;056.0499226753121 -64.8069141320769; 311.534 83.557     ;30.4404   ;47.38      ;3.833    
1616;* zet02 Ret                        ;** ;049.5534120100488 -62.5063624197311;1331.027 647.725    ;83.0606   ;11.953     ;5.228    
1617;* kap Ret                          ;PM*;052.3444892526912 -62.9375289393375;382.538 373.589     ;45.9103   ;13.33      ;4.71     
1618;* chi Eri                          ;PM*;028.9894156935588 -51.6088775905311;680.110 294.318     ;56.8508   ;-6.30      ;3.70     
1619;* gam Phe                          ;SB*;022.0913636121 -43.3182361592      ; -18.06 -208.63     ;13.96     ;25.8       ;3.41     
1620;* t Vel                            ;** ;158.2369199765300 -47.0033512099800;  -23.880 5.480     ;2.9655    ;7.04       ;5.027    
1621;* p Vel                            ;SB*;159.32558311 -48.22562079          ;  -133.41 -1.82     ;37.26     ;21.20      ;3.84     
1622;* h Car                            ;*  ;143.6110450612 -59.2297519531      ;    -10.74 6.60     ;2.46      ;18.20      ;4.09     
1623;* m Car                            ;V* ;144.8374978492 -61.3280601906      ;   -34.09 18.55     ;14.45     ;20.00      ;4.498    
1624;* i Car                            ;*  ;137.8196703871 -62.3169804167      ;   -37.48 14.59     ;6.01      ;17.5       ;3.943    
1625;* k Car                            ;*  ;140.2367211280800 -62.4046336265300; -13.780 -0.181     ;14.5169   ;51.12      ;4.800    
1626;* alf Vol                          ;** ;135.6116496704 -66.3960757619      ;   -2.00 -95.51     ;26.11     ;7.60       ;3.990    
1627;* bet Vol                          ;PM*;126.4341446692 -66.1368902650      ; -35.74 -152.22     ;30.33     ;27.40      ;3.759    
1628;* eps Vol                          ;SB*;121.9824769914400 -68.6170646360600; -29.781 29.887     ;5.0597    ;9.00       ;4.398    
1629;* gam02 Vol                        ;PM*;107.1869403982900 -70.4989304021000; 23.620 108.653     ;24.4775   ;2.80       ;3.746    
1630;* bet Men                          ;*  ;075.6791586172300 -71.3142991719000;  -4.233 10.850     ;4.7883    ;-11.4      ;5.294    
1631;* bet Hor                          ;*  ;044.6991515996900 -64.0712871678900;   23.142 4.943     ;10.1567   ;23.6       ;4.969    
1632;* nu. Hor                          ;PM*;042.2561970580600 -62.8065219516000;  94.372 28.564     ;19.2611   ;30.9       ;5.253    
1633;* q02 Eri                          ;PM*;026.5260958328200 -53.5220357020800; 126.534 59.909     ;16.0575   ;9.5        ;5.033    
1634;* del Phe                          ;PM*;022.8129364571 -49.0727030103      ;  138.38 153.89     ;22.95     ;-7.30      ;3.935    
1635;* nu. Phe                          ;PM*;018.7963392843242 -45.5316646057442;665.086 178.070     ;65.5270   ;11.845     ;4.96     
1636;* mu. Vel                          ;** ;161.69241154 -49.42025679          ;   63.22 -54.21     ;27.84     ;6.20       ;2.69     
1637;* Y Vel                            ;PM*;157.8409202971692 -53.7154836076164;-419.935 209.671    ;45.3276   ;21.37      ;4.89     
1638;* J Vel                            ;Be*;155.2283154707600 -56.0432377078300;  -12.192 5.367     ;2.2692    ;10.4       ;4.51     
1639;* l Car                            ;cC*;146.3117134358 -62.5079033039      ;    -12.88 8.19     ;2.09      ;2.5        ;3.40     
1640;* ups Car                          ;*  ;146.77550706 -65.07200742          ;    -11.51 4.71     ;2.27      ;13.60      ;2.99     
1641;* tet Vol                          ;*  ;129.7715060667700 -70.3867438775200; 19.521 -39.238     ;13.2632   ;13.00      ;5.20     
1642;* zet Vol                          ;*  ;115.4552541842 -72.6060990725      ;    33.34 14.89     ;23.13     ;49.03      ;3.944    
1643;* alf Men                          ;PM*;092.5603024265300 -74.7530439810600;121.596 -212.411    ;97.9158   ;36.118     ;5.069    
1644;* zet Hyi                          ;PM*;041.3859765426400 -67.6166167640800;  66.102 43.764     ;11.0516   ;3.6        ;4.820    
1645;* eps Hyi                          ;PM*;039.8973383717 -68.2669473111      ;     87.30 0.09     ;21.48     ;13.60      ;4.096    
1646;* alf Hyi                          ;PM*;029.6924777913 -61.5698596606      ;   263.66 26.77     ;45.43     ;8.70       ;2.84     
1647;* bet Phe                          ;** ;016.52099799 -46.71841069          ;   -80.81 34.97     ;0.12      ;-1.10      ;3.30     
1648;* x Vel                            ;*  ;159.8266380958 -55.6032673175      ;    -18.80 4.85     ;3.88      ;21.00      ;4.267    
1649;* r Car                            ;V* ;158.8970717204 -57.5576342953      ;    -15.93 0.49     ;2.77      ;9.90       ;4.430    
1650;* s Car                            ;V* ;156.9697031883 -58.7394029644      ;    -14.47 2.36     ;2.43      ;9.40       ;3.810    
1651;* t01 Car                          ;PM*;159.0854975522200 -59.5643938373900;-41.591 -38.694     ;12.9001   ;-10.15     ;5.088    
1652;* t02 Car                          ;*  ;159.6874843781600 -59.1829957501400;  -14.799 0.626     ;2.3038    ;11.00      ;4.87     
1653;* q Car                            ;LP*;154.2707304375 -61.3323023058      ;    -24.73 7.20     ;4.96      ;8.20       ;3.350    
1654;* p Car                            ;Be*;158.0060956996 -61.6853323078      ;   -17.01 11.50     ;6.75      ;26.0       ;3.27     
1655;* E Car                            ;Be*;136.4098972987000 -70.5384983562500;   -3.870 9.088     ;2.4706    ;19.00      ;4.652    
1656;* bet Car                          ;PM*;138.29990608 -69.71720760          ; -156.47 108.95     ;28.82     ;-5.10      ;1.69     
1657;* G Car                            ;SB*;136.2867212204 -72.6027065717      ;    -8.81 -5.26     ;8.14      ;22.50      ;4.467    
1658;* eta Vol                          ;*  ;125.5185481258600 -73.3999793931200; -29.432 29.926     ;8.431     ;20.00      ;5.279    
1659;* gam Men                          ;PM*;082.9702191068167 -76.3409016836322;135.924 266.877     ;30.5956   ;56.24      ;5.20     
1660;* gam Hyi                          ;PM*;056.8097525879 -74.2389635022      ;   50.85 114.74     ;15.24     ;12.76      ;3.26     
1661;* del Hyi                          ;PM*;035.4372598550800 -68.6594185895800;  -50.395 3.214     ;23.2796   ;6.00       ;4.09     
1662;* u Car                            ;PM*;163.3735671312863 -58.8531703698178;  78.169 38.800     ;33.5225   ;8.10       ;3.79     
1663;* w Car                            ;LP?;160.8845422887 -60.5666196556      ;    -14.75 3.10     ;2.86      ;9.10       ;4.545    
1664;* tet Car                          ;SB*;160.7391748642 -64.3944502211      ;   -18.36 12.03     ;7.16      ;20.60      ;2.76     
1665;* L Car                            ;*  ;155.7422752550 -66.9014973061      ;   -22.39 11.48     ;8.12      ;12.00      ;4.99     
1666;* M Car                            ;*  ;153.3776346204800 -66.3728111815900; -34.517 11.575     ;10.3518   ;-15.2      ;5.141    
1667;* ome Car                          ;Be*;153.4342391408 -70.0379045292      ;    -36.01 7.09     ;9.54      ;10.40      ;3.33     
1668;* tet Cha                          ;PM*;125.1605856233 -77.4844770169      ;  -129.05 40.89     ;21.00     ;21.46      ;4.337    
1669;* alf Cha                          ;PM*;124.6314716208 -76.9197212311      ;  111.12 107.49     ;51.12     ;-13.40     ;4.047    
1670;* nu. Hyi                          ;*  ;042.6185816466700 -75.0669482597400;-33.506 -26.239     ;9.457     ;3.09       ;4.742    
1671;* eta02 Hyi                        ;PM*;028.7338810198300 -67.6473031708400;  75.927 73.401     ;14.7444   ;-17.928    ;4.685    
1672;* rho Phe                          ;dS*;012.6716098242200 -50.9868172781100;  62.919 44.139     ;13.318    ;22.0       ;5.225    
1673;* mu. Phe                          ;*  ;010.3314678837 -46.0850051083      ;    -28.20 1.80     ;13.27     ;17.41      ;4.59     
1674;* y Car                            ;sg*;168.1500551389100 -60.3176263012700;   -6.302 2.021     ;0.3932    ;-8.40      ;4.62     
1675;* x Car                            ;cC*;167.1474583325 -58.9750377058      ;     -4.97 1.67     ;0.52      ;6.00       ;3.83     
1676;* z Car                            ;*  ;166.6351103219600 -62.4241140597600;  -37.621 9.269     ;8.5066    ;-1.07      ;4.606    
1677;* z02 Car                          ;s*b;167.1416576161200 -61.9471756991200;   -6.480 1.900     ;0.3851    ;-22.4      ;5.19     
1678;* K Car                            ;*  ;157.5838629179 -71.9927945036      ;   27.59 -30.73     ;12.52     ;7.50       ;4.710    
1679;* I Car                            ;V* ;156.0987748808 -74.0316121050      ;  -16.29 -27.67     ;61.64     ;-4.70      ;4.01     
1680;* mu. Hyi                          ;PM*;037.9188460550800 -79.1094160821400;121.149 -48.414     ;11.3671   ;-15.39     ;5.275    
1681;* kap Tuc                          ;** ;018.94234275 -68.87592657          ;  412.11 127.74     ;47.72     ;7.70       ;4.25     
1682;* eta Phe                          ;dS*;010.8384933787 -57.4630575853      ;    -5.07 16.51     ;13.24     ;7.70       ;4.361    
1683;* lam01 Phe                        ;PM*;007.8540876895200 -48.8035142532600; 140.561 19.647     ;18.4705   ;-2.00      ;4.77     
1684;* C02 Cen                          ;PM*;173.9816037979800 -47.6416399351900; 33.654 -49.433     ;17.1828   ;5.2        ;5.252    
1685;* A Cen                            ;Be*;173.6902325362 -54.2640922231      ;   -56.17 16.19     ;7.65      ;5.70       ;4.607    
1686;* omi01 Cen                        ;LP*;172.9419526200500 -59.4420606918100;   -4.491 1.604     ;0.3254    ;-20.80     ;5.097    
1687;* omi02 Cen                        ;sg*;172.9533314481000 -59.5156471164300;   -6.976 1.118     ;0.4665    ;-16.8      ;5.14     
1688;* lam Cen                          ;*  ;173.9453253782100 -63.0198349936100; -33.863 -7.236     ;8.277     ;-1.10      ;3.14     
1689;* gam Cha                          ;V* ;158.8671133158 -78.6077866911      ;   -37.61 11.08     ;7.81      ;-22.40     ;4.12     
1690;* del02 Cha                        ;*  ;161.4458536404 -80.5401884717      ;    -36.86 5.90     ;9.30      ;22.6       ;4.433    
1691;* zet Cha                          ;V* ;143.4724003637 -80.9412593611      ;   -34.81 14.18     ;5.70      ;-42.00     ;5.059    
1692;* lam Hyi                          ;PM*;012.1475707813900 -74.9234352794500;133.000 -34.192     ;15.042    ;-10.67     ;5.083    
1693;* bet01 Tuc                        ;** ;007.8861169750 -62.9582187464      ;   83.64 -54.82     ;24.15     ;14         ;4.289    
1694;* bet02 Tuc                        ;** ;007.8892596025662 -62.9655927541372;105.607 -48.057     ;19.5923   ;9.8        ;4.514    
1695;* bet03 Tuc                        ;** ;008.1829390607100 -63.0315005636000; 86.541 -50.115     ;21.6794   ;7.70       ;5.09     
1696;* B Cen                            ;PM*;177.7862133364200 -45.1734699165900; -72.928 -7.964     ;7.9199    ;2.2        ;4.46     
1697;* j Cen                            ;Be*;177.4211138933800 -63.7884724075000;  -22.022 2.755     ;4.5957    ;29.00      ;4.308    
1698;* 12 Mus                           ;RS*;174.87330698 -65.39776628          ;   -28.20 -7.21     ;6.50      ;9.10       ;5.095    
1699;* lam Mus                          ;PM*;176.4017464929 -66.7287622069      ;  -100.35 33.49     ;25.65     ;15.00      ;3.65     
1700;* mu. Mus                          ;LP*;177.0605629206600 -66.8149096119200; 30.340 -15.710     ;6.8524    ;37.4       ;4.728    
1701;* gam03 Oct                        ;*  ;002.5090520435900 -82.2240470805800;-22.050 -20.218     ;12.3535   ;15.0       ;5.283    
1702;* tet Oct                          ;PM*;000.3987477119846 -77.0657253520472;-56.841 -176.791    ;15.4549   ;22.48      ;4.783    
1703;* bet Hyi                          ;PM*;006.43779316 -77.25424612          ; 2219.54 324.09     ;134.07    ;23.085     ;2.79     
1704;NGC 104                            ;GlC;006.022329 -72.081444              ;     5.25 -2.53     ;0.1951    ;-17.21     ;4.09     
1705;* zet Tuc                          ;PM*;005.0177443062317 -64.8747936639189;1706.747 1164.959   ;116.1826  ;9.280      ;4.23     
1706;* eps Phe                          ;PM*;002.3526670558200 -45.7474239081600;120.393 -179.597    ;22.6081   ;-9.20      ;3.87     
1707;* del Cen                          ;Be*;182.0895734887 -50.7224273928      ;   -49.94 -7.19     ;7.86      ;11.00      ;2.52     
1708;* rho Cen                          ;*  ;182.9129989498800 -52.3684401167400;-38.874 -13.280     ;12.4692   ;15.00      ;3.96     
1709;* del Cru                          ;Pu*;183.7863196854 -58.7489269267      ;  -35.81 -10.36     ;9.45      ;22.2       ;2.752    
1710;* tet01 Cru                        ;SB*;180.7562554137 -63.3129279561      ;   -152.35 7.00     ;13.88     ;-2.80      ;4.32     
1711;* tet02 Cru                        ;SB*;181.0800836534300 -63.1656990736500;  -18.467 0.467     ;4.7314    ;16.30      ;4.716    
1712;* zet Cru                          ;*  ;184.6093419771499 -64.0030853698000; -37.431 -6.576     ;9.2402    ;15.80      ;4.05     
1713;* eta Cru                          ;SB*;181.7204124987 -64.6137289936      ;   33.88 -37.02     ;50.62     ;10.40      ;4.136    
1714;* zet02 Mus                        ;** ;185.5305793860800 -67.5221035900100; -29.729 -6.647     ;9.9903    ;-17.00     ;5.146    
1715;* eps Mus                          ;LP*;184.3928215029 -67.9607357306      ; -231.04 -26.39     ;10.82     ;7.10       ;4.02     
1716;* gam Mus                          ;SB*;188.1167226400 -72.1329888058      ;   -51.34 -5.40     ;10.04     ;2.50       ;3.88     
1717;* kap Cha                          ;PM*;181.1936284685800 -76.5190624809900; -77.818 45.738     ;6.4916    ;-2.4       ;5.024    
1718;* bet Cha                          ;V* ;184.5867691208 -79.3122419344      ;   -37.97 11.15     ;10.93     ;23.00      ;4.229    
1719;* chi Oct                          ;PM*;283.6964192507800 -87.6058433139100;-36.555 -135.715    ;12.5114   ;33.60      ;5.278    
1720;* bet Oct                          ;PM*;341.5146290838 -81.3816144403      ;    -54.49 1.16     ;21.85     ;19.00      ;4.128    
1721;* gam01 Oct                        ;PM*;358.0269715943500 -82.0188232186500;-45.670 -15.666     ;12.179    ;15.40      ;5.106    
1722;* eps Tuc                          ;Be*;359.9790733967 -65.5771334350      ;   47.93 -22.95     ;8.74      ;8.80       ;4.47     
1723;* eta Tuc                          ;** ;359.3961610362700 -64.2982298187400; 78.849 -61.755     ;20.4208   ;32.50      ;4.989    
1724;* pi. Phe                          ;PM*;359.7324145149800 -52.7458062563400;  58.510 62.022     ;12.0975   ;-13.49     ;5.133    
1725;* sig Phe                          ;Pu*;356.8166517569300 -50.2264588840900;  9.526 -23.213     ;5.4931    ;11.00      ;5.166    
1726;* G Cen                            ;*  ;186.6323314421 -51.4506360964      ;  -30.66 -10.13     ;7.28      ;5.00       ;4.808    
1727;* F Cen                            ;PM*;184.7490069960100 -55.1429804442300;-76.734 -15.551     ;6.8899    ;-7.1       ;5.01     
1728;* gam Cru                          ;PM*;187.79149838 -57.11321346          ;  28.23 -265.08     ;36.83     ;21.00      ;1.64     
1729;* eps Cru                          ;PM*;185.3400390104 -60.4011469639      ;  -170.93 91.67     ;14.19     ;-4.60      ;3.59     
1730;* 256 Cru                          ;*  ;186.6286788283600 -63.1222353188700;-39.548 -13.760     ;9.3964    ;27.0       ;4.822    
1731;* alf Mus                          ;** ;189.2959078692 -69.1355647886      ;  -40.20 -12.80     ;10.34     ;13.00      ;2.649    
1732;* del Mus                          ;SB*;195.5677697342 -71.5488542331      ;  264.17 -22.75     ;35.88     ;36.5       ;3.62     
1733;* iot01 Mus                        ;PM*;201.2796620689300 -74.8878194833000;-108.236 -132.718   ;14.4967   ;28.26      ;5.040    
1734;* eta Aps                          ;PM*;214.5578995825599 -81.0077584983900;-19.981 -65.222     ;22.9229   ;-9.4       ;4.889    
1735;* del Oct                          ;PM*;216.7301351771 -83.6678852306      ;  -96.12 -13.27     ;10.91     ;4.60       ;4.304    
1736;* lam Oct                          ;** ;327.72734813 -82.71890140          ;   68.14 -31.86     ;7.97      ;-10.5      ;5.29     
1737;* eps Oct                          ;LP*;335.0069987354 -80.4397485361      ;   56.81 -43.47     ;11.22     ;11.70      ;5.177    
1738;* tau Cen                          ;PM*;189.4256837492000 -48.5413053592800;-186.081 -6.757     ;24.2953   ;5.50       ;3.86     
1739;* sig Cen                          ;** ;187.0099253271 -50.2306353422      ;  -32.36 -12.51     ;7.92      ;8.00       ;3.91     
1740;* bet Cru                          ;bC*;191.93028656 -59.68877200          ;  -42.97 -16.18     ;11.71     ;10.30      ;1.25     
1741;* iot Cru                          ;PM*;191.4085486185800 -60.9813211880700;112.266 -65.641     ;26.1753   ;7.45       ;4.686    
1742;* 39 Cru                           ;Be*;190.4857049264700 -59.6858206790300; -24.464 -4.226     ;3.8643    ;12.5       ;4.94     
1743;* lam Cru                          ;Be*;193.6632607321 -59.1467007942      ;  -32.92 -14.60     ;8.50      ;12.00      ;4.602    
1744;* eta Mus                          ;SB*;198.81225511 -67.89459100          ;  -36.46 -11.36     ;8.52      ;-8         ;4.780    
1745;* alf Aps                          ;*  ;221.9654667696 -79.0447509014      ;   -4.58 -15.88     ;7.30      ;-0.10      ;3.798    
1746;* eps Aps                          ;Be*;215.5965194554 -80.1089459094      ;   -9.51 -14.34     ;5.06      ;4.50       ;5.052    
1747;* nu. Oct                          ;SB*;325.3689251479717 -77.3900087616200;68.656 -250.044     ;51.5172   ;34.4       ;3.728    
1748;* nu. Ind                          ;** ;336.1536891218721 -72.2554133992961;1303.872 -674.186   ;35.1281   ;32.51      ;5.29     
1749;* gam Tuc                          ;PM*;349.3573185226400 -58.2357013761600; -10.769 74.585     ;44.0808   ;18.40      ;3.98     
1750;* w Cen                            ;PM*;190.6477143104 -48.8131082808      ; -123.84 -30.17     ;17.11     ;-10.86     ;4.66     
1751;* gam Cen                          ;** ;190.37933367 -48.95987152          ;   -185.72 5.79     ;25.06     ;-5.50      ;2.17     
1752;* H Cen                            ;Pu*;194.2681309358800 -51.1987535821000;-30.068 -15.526     ;7.7665    ;25.00      ;5.159    
1753;* mu.01 Cru                        ;V* ;193.6484356196 -57.1779229236      ;  -30.69 -13.08     ;7.87      ;13.90      ;4.04     
1754;* mu.02 Cru                        ;Be*;193.6536839956400 -57.1686649773300;-28.386 -10.447     ;8.2668    ;13.00      ;5.20     
1755;* J Cen                            ;** ;200.6580545899342 -60.9883806005858;-29.518 -21.698     ;8.8824    ;6.00       ;4.509    
1756;* m Cen                            ;*  ;201.0020112015999 -64.5356698585200; 28.959 -21.326     ;12.8919   ;13.26      ;4.52     
1757;* del01 Aps                        ;LP?;245.0866859363 -78.6957469289      ;  -10.23 -37.43     ;4.28      ;-12.0      ;4.68     
1758;* del02 Aps                        ;*  ;245.1119067890100 -78.6674960306600; -1.817 -31.511     ;5.795     ;-10.47     ;5.247    
1759;* gam Aps                          ;PM*;248.3628491125 -78.8971492233      ; -125.51 -78.25     ;20.87     ;5.40       ;3.854    
1760;* alf Oct                          ;EB*;316.1794278189204 -77.0237683555578;12.985 -369.816     ;22.1774   ;85.90      ;5.15     
1761;* nu. Tuc                          ;LP?;338.2502599858 -61.9821219461      ;   40.07 -20.17     ;11.24     ;-3.40      ;4.81     
1762;* zet Gru                          ;PM*;345.2200314824300 -52.7541108578800;-64.223 -17.832     ;19.9108   ;-1.1       ;4.115    
1763;* e Cen                            ;PM*;193.2787763716917 -48.9433128825833;-79.450 -24.729     ;10.3334   ;-2.40      ;4.33     
1764;* ksi02 Cen                        ;SB*;196.7276641554 -49.9062450900      ;  -26.15 -12.03     ;6.98      ;14.3       ;4.27     
1765;* bet Aps                          ;PM*;250.7694107384317 -77.5174331483869;-281.986 -354.837   ;20.9535   ;-30.30     ;4.24     
1766;* omi Pav                          ;V* ;318.3354341918700 -70.1262547099100; 42.561 -21.617     ;2.4875    ;-19.00     ;5.071    
1767;* alf Tuc                          ;SB*;334.6253949308 -60.2595906408      ;  -70.72 -39.44     ;16.33     ;42.2       ;2.82     
1768;* eta Gru                          ;*  ;341.4078414315200 -53.5001198699500;  30.717 17.334     ;7.2136    ;27.8       ;4.846    
1769;* eps Gru                          ;SB*;342.1387419229700 -51.3168648120200;107.195 -62.575     ;25.7902   ;-0.40      ;3.466    
1770;* iot Gru                          ;SB*;347.5897398008 -45.2467124028      ;  132.50 -26.66     ;17.80     ;-4.4       ;3.877    
1771;* f Cen                            ;*  ;196.5696004725 -48.4632905547      ;  -29.85 -15.17     ;8.36      ;6.00       ;4.691    
1772;* bet Cen                          ;bC*;210.95585562 -60.37303516          ;  -33.27 -23.16     ;8.32      ;5.90       ;0.58     
1773;* gam TrA                          ;PM*;229.7274249308 -68.6795459339      ;  -66.58 -32.31     ;17.74     ;-3.60      ;2.89     
1774;* eps Pav                          ;PM*;300.1481482450 -72.9105054942      ;  81.78 -132.16     ;31.04     ;-6.70      ;3.940    
1775;* gam Pav                          ;PM*;321.6108540943637 -65.3661980715336; 80.815 800.573     ;108.0102  ;-30.70     ;4.22     
1776;* K Cen                            ;*  ;202.3552261159900 -51.1651315262100;  -1.823 -7.517     ;7.1201    ;-2.00      ;5.030    
1777;* eps Cen                          ;bC*;204.97190723 -53.46639115          ;  -15.30 -11.72     ;7.63      ;3.0        ;2.30     
1778;* N Cen                            ;*  ;208.0202595995900 -52.8115295391800;-38.997 -26.863     ;10.7449   ;27.00      ;5.257    
1779;* alf Cir                          ;a2*;220.6267482517 -64.9751370697      ;-192.53 -233.51     ;60.35     ;7.099      ;3.19     
1780;* eta Cir                          ;PM*;226.2007815240800 -64.0313511513800;  103.058 8.499     ;11.7561   ;45.10      ;5.168    
1781;* eps TrA                          ;PM*;234.1800926358 -66.3170370553      ;   24.35 -54.47     ;16.17     ;-15.5      ;4.104    
1782;* kap TrA                          ;*  ;238.8733320450700 -68.6030009462900;  -8.966 -6.343     ;2.9495    ;4.77       ;5.097    
1783;* zet TrA                          ;SB*;247.1172594387700 -70.0843958083100;200.742 109.341     ;82.8699   ;8.30       ;4.899    
1784;* zet Pav                          ;PM*;280.7588970037 -71.4281129069      ;   0.81 -158.15     ;14.93     ;-16.30     ;4.003    
1785;* bet Pav                          ;*  ;311.2395582896 -66.2032140989      ;    -42.67 9.94     ;24.14     ;3.70       ;3.408    
1786;* ups Pav                          ;*  ;310.4878188867699 -66.7606807164700;  9.098 -23.224     ;4.1019    ;7.00       ;5.134    
1787;* eps Ind                          ;PM*;330.8402234423433 -56.7859785543650;3966.661 -2536.192  ;274.8431  ;-40.035    ;4.69     
1788;* del Ind                          ;** ;329.4794730621 -54.9925761181      ;    41.94 -3.93     ;17.34     ;9.40       ;4.40     
1789;* bet Gru                          ;LP?;340.66687613 -46.88457644          ;   135.16 -4.38     ;18.43     ;-0.30      ;2.11     
1790;* M Cen                            ;SB*;206.6640740262 -51.4327648006      ;   10.00 -27.62     ;12.42     ;-5.8       ;4.632    
1791;* v Cen                            ;*  ;215.0814275875 -56.3864972089      ;    -9.64 -7.46     ;2.66      ;4.2        ;4.35     
1792;* alf Cen A                        ;SB*;219.90205833 -60.83399269          ;-3679.25 473.67     ;743       ;-21.40     ;0.01     
1793;* alf Cen                          ;** ;219.87383306 -60.83222194          ;      -3608 686     ;742       ;-22.3      ;-0.1     
1794;* alf Cen B                        ;PM*;219.89609629 -60.83752757          ;-3614.39 802.98     ;743       ;-22.586    ;1.33     
1795;* tet Cir                          ;Be*;224.1832807650 -62.7810160892      ;  -11.70 -11.69     ;2.16      ;3.00       ;5.11     
1796;* eps Cir                          ;*  ;229.4120544547400 -63.6104675367800;    3.209 9.344     ;7.5809    ;-4.22      ;4.849    
1797;* alf TrA                          ;*  ;252.16622951 -69.02771185          ;   17.99 -31.58     ;8.35      ;-3.00      ;1.92     
1798;* zet Aps                          ;*  ;260.4978237342700 -67.7706689881500; -37.437 -7.925     ;11.1175   ;11.36      ;4.78     
1799;* kap Pav                          ;WV*;284.2376208063500 -67.2334947809100;  -8.186 16.042     ;5.2451    ;37.80      ;4.40     
1800;* del Pav                          ;PM*;302.1817036316884 -66.1820674358970;1211.761 -1130.237  ;163.9544  ;-21.543    ;3.56     
1801;* del01 Gru                        ;*  ;337.3173950425 -43.4955623686      ;    25.72 -3.32     ;10.54     ;4.90       ;3.97     
1802;* del02 Gru                        ;LP?;337.4393084129 -43.7492213292      ;    -14.08 2.57     ;9.88      ;2.70       ;4.11     
1803;* zet Cen                          ;SB*;208.88494020 -47.28837451          ;  -57.37 -44.55     ;8.54      ;6.5        ;2.55     
1804;* bet Cir                          ;PM*;229.3785423196 -58.8012048108      ; -97.74 -134.15     ;32.73     ;9.6        ;4.057    
1805;* del Cir                          ;SB*;229.2370662914999 -60.9572555772600;  -4.085 -3.758     ;1.4345    ;-17.80     ;5.09     
1806;* bet TrA                          ;PM*;238.7856752650 -63.4307265364      ;-188.66 -401.85     ;80.79     ;0.40       ;2.85     
1807;* del TrA                          ;*  ;243.8594574337 -63.6856803328      ;    2.73 -12.92     ;5.37      ;-4.90      ;3.839    
1808;* iot TrA                          ;gD*;246.9889397732700 -64.0579404215000;  53.428 25.638     ;25.0908   ;-5.1       ;5.27     
1809;* eta Pav                          ;PM*;266.4332751967 -64.7238720531      ;  -11.96 -56.57     ;9.26      ;-7.60      ;3.581    
1810;* phi01 Pav                        ;PM*;308.8952086153799 -60.5817491231900;69.912 -185.861     ;35.6214   ;-20.00     ;4.745    
1811;* rho Pav                          ;dS*;309.3971364533 -61.5299206819      ;   59.61 -72.69     ;17.20     ;10.42      ;4.849    
1812;* phi02 Pav                        ;PM*;310.0109895037307 -60.5488940533919;313.012 -569.473    ;40.5683   ;-32.011    ;5.121    
1813;* bet Ind                          ;*  ;313.7025115787 -58.4541560594      ;   20.79 -25.20     ;5.33      ;-4.90      ;3.65     
1814;* alf Gru                          ;PM*;332.05826970 -46.96097438          ; 126.69 -147.47     ;32.29     ;10.90      ;1.71     
1815;* nu. Cen                          ;SB*;207.3761518283 -41.6877089081      ;  -26.77 -20.18     ;7.47      ;9.0        ;3.386    
1816;* mu. Cen                          ;Be*;207.4041192892 -42.4737304428      ;  -24.25 -18.64     ;6.45      ;9.20       ;3.43     
1817;* ups01 Cen                        ;V* ;209.6697861879 -44.8035858242      ;  -27.51 -22.44     ;7.63      ;4.8        ;3.87     
1818;* ups02 Cen                        ;SB*;210.4312790318800 -45.6034096060400;  4.873 -17.824     ;4.9056    ;-0.5       ;4.33     
1819;* sig Lup                          ;El*;218.1544027875 -50.4571596136      ;  -29.26 -15.72     ;5.67      ;-1.5       ;4.423    
