C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1514;* 24 Lyn                   ;* 24 Lyn                           ;115.7517312754 +58.7103597228      ;  -37.50 -52.29     ;12.22     ;8.7         ;4.947    
1515;* mu. Peg                  ;* mu. Peg                          ;342.5008047942 +24.6015828833      ;  144.70 -41.87     ;30.74     ;13.791      ;3.48     
1516;* tet Eri                  ;* tet Eri                          ;044.5653135567 -40.3046812272      ;   -52.89 21.98     ;20.23     ;11.90       ;     ~   
1517;* 1 Gem                    ;* 1 Gem                            ;091.03006433 +23.26334447          ;  -1.61 -118.33     ;21.03     ;22.39       ;4.15     
1518;* d Ori                    ;* d Ori                            ;084.7211799359400 -07.2128297721500;-15.402 -49.302     ;22.9587   ;-5.30       ;4.80     
1519;* pi. Aur                  ;* pi. Aur                          ;089.9837413585500 +45.9367349160100;  -3.755 -7.785     ;4.5154    ;0.71        ;4.25     
1520;* p Vel                    ;* p Vel                            ;159.32558311 -48.22562079          ;  -133.41 -1.82     ;37.26     ;21.20       ;3.84     
1521;* chi Gem                  ;* chi Gem                          ;120.8795820638200 +27.7943508126400;-32.315 -46.221     ;12.7475   ;-3.83       ;4.937    
1522;* b03 Cyg                  ;* b03 Cyg                          ;303.6334681420099 +36.8063058080900;  68.090 69.404     ;24.5456   ;-17.3       ;4.99     
1523;* 1 Cas                    ;* 1 Cas                            ;346.6534077321 +59.4197599161      ;     6.94 -1.95     ;2.89      ;-9.10       ;4.840    
1524;HD 20336                   ;HD 20336                           ;049.9969555792200 +65.6523015574500; 11.632 -16.962     ;4.0589    ;-3.40       ;4.85     
1525;* nu. Vir                  ;* nu. Vir                          ;176.4648315567 +06.5293725797      ; -18.96 -181.56     ;11.10     ;50.28       ;4.04     
1526;M 6                        ;NGC 6405                           ;265.0690 -32.2420                  ;-1.3662 -5.8063     ;2.1626    ;-9.47       ;     ~   
1527;* alf Boo                  ;* alf Boo                          ;213.91530029 +19.18240916          ;-1093.39 -2000.06   ;88.83     ;-5.229      ;-0.05    
1528;* eta Ara                  ;* eta Ara                          ;252.4464855312 -59.0413770831      ;   39.73 -24.91     ;10.90     ;9.00        ;3.744    
1529;* 26 Hya                   ;* 26 Hya                           ;139.9432568947900 -11.9748527477000; -27.970 12.400     ;9.4514    ;-1.18       ;4.770    
1530;* e Lup                    ;* e Lup                            ;228.2066117654 -44.5004125939      ;  -22.01 -21.75     ;6.47      ;13.5        ;4.806    
1531;HR 2906                    ;HD 60532                           ;113.5132523495700 -22.2960675479000; -40.180 46.791     ;38.1379   ;61.042      ;4.39     
1532;* zet Leo                  ;* zet Leo                          ;154.1725665329 +23.4173116889      ;    18.39 -6.84     ;11.90     ;-21.40      ;3.41     
1533;* iot Car                  ;* iot Car                          ;139.2725285717 -59.2752320292      ;   -18.86 11.98     ;4.26      ;12.00       ;2.26     
1534;* phi02 Lup                ;* phi02 Lup                        ;230.7889585442 -36.8584866800      ;  -18.24 -20.72     ;6.28      ;0.80        ;4.54     
1535;* nu. Sco A                ;* nu. Sco A                        ;242.9988910283900 -19.4606906048900; -7.441 -28.202     ;7.0568    ;~           ;4.349    
1536;* psi Eri                  ;* psi Eri                          ;075.3597749829 -07.1739628342      ;      1.71 6.29     ;4.41      ;20.70       ;4.81     
1537;* phi Hya                  ;* phi Hya                          ;159.6456153068700 -16.8765651864300; -95.499 25.027     ;12.4255   ;16.58       ;4.903    
1538;* del01 Gru                ;* del01 Gru                        ;337.3173950425 -43.4955623686      ;    25.72 -3.32     ;10.54     ;4.90        ;3.97     
1539;* kap Per                  ;* kap Per                          ;047.3741818335442 +44.8574582857297;165.691 -138.559    ;28.7314   ;29.40       ;3.81     
1540;* 25 CVn A                 ;* 25 CVn A                         ;204.3651119200000 +36.2948979487100; -93.584 23.459     ;17.7243   ;~           ;4.953    
1541;* b Sco                    ;* b Sco                            ;237.7447685952999 -25.7512940769400;-14.053 -24.937     ;6.7811    ;-3.00       ;4.635    
1542;CD-43 12272                ;CD-43 12272                        ;271.70788800 -43.42522122          ;  10.73 -106.59     ;23.90     ;-7.80       ;4.95     
1543;* 27 Tau                   ;* 27 Tau                           ;057.2905941050 +24.0534167436      ;   17.70 -44.18     ;8.53      ;8.5         ;3.63     
1544;* alf Cru                  ;* alf Cru                          ;186.64956340 -63.09909286          ;  -35.83 -14.86     ;10.13     ;11.90       ;     ~   
1545;HR 5967                    ;HD 143699                          ;240.8507893758 -38.6025424308      ;  -17.60 -29.10     ;8.16      ;-1.90       ;4.89     
1546;* ups Cet                  ;* ups Cet                          ;030.0012881737 -21.0778318253      ;  134.92 -24.59     ;11.14     ;18.00       ;4.02     
1547;* gam CMi                  ;* gam CMi                          ;112.0408095289700 +08.9255244800600; -62.112 11.141     ;3.134     ;46.80       ;4.30     
1548;* omi Aqr                  ;* omi Aqr                          ;330.8285167883 -02.1553629883      ;   24.66 -11.16     ;7.49      ;11.00       ;4.69     
1549;* gam Mic                  ;* gam Mic                          ;315.3227519696 -32.2577659353      ;     -1.73 0.41     ;14.24     ;17.50       ;4.654    
1550;* b Leo                    ;* b Leo                            ;165.5823990375 +20.1798406972      ;    -8.67 39.07     ;25.73     ;-11.10      ;4.398    
1551;* ksi UMa B                ;* ksi UMa B                        ;169.5451500480855 +31.5291171363650;-339.398 -607.892   ;114.4867  ;-15.9       ;4.77     
1552;* psi Cen                  ;* psi Cen                          ;215.1393011958 -37.8852930944      ;  -63.69 -10.65     ;12.60     ;1.80        ;4.034    
1553;* eps Lup                  ;* eps Lup                          ;230.6702844025 -44.6896151769      ;  -22.86 -18.87     ;6.37      ;7.90        ;3.366    
1554;* ups Sgr                  ;* ups Sgr                          ;290.4317608155338 -15.9550174239706;   0.778 -5.855     ;2.0869    ;8.9         ;4.61     
1555;* 34 Boo                   ;* 34 Boo                           ;220.8556793567 +26.5278517586      ;  -13.57 -16.08     ;4.63      ;5.60        ;4.79     
1556;* eta Ori A                ;* eta Ori A                        ;081.1197125839929 -02.3970309594667;   3.261 -2.365     ;2.2315    ;~           ;3.594    
1557;* tet Ind A                ;* tet Ind A                        ;319.9666227361500 -53.4494260751600;106.988 -66.461     ;33.0546   ;~           ;4.483    
1558;* nu. And                  ;* nu. And                          ;012.4535306883 +41.0789101056      ;   22.77 -18.35     ;5.28      ;-23.9       ;4.53     
1559;HR 6237                    ;HD 151613                          ;251.3244228818400 +56.7818999904600; -10.135 49.321     ;37.3269   ;-3.6        ;4.837    
1560;* tet Oct                  ;* tet Oct                          ;000.3987477119846 -77.0657253520472;-56.841 -176.791    ;15.4549   ;22.48       ;4.783    
1561;* psi Sgr                  ;* psi Sgr                          ;288.8851107329 -25.2566824594      ;   45.50 -31.08     ;10.93     ;-11.43      ;4.86     
1562;* ome Ori                  ;* ome Ori                          ;084.7964429883 +04.1214665208      ;      0.84 0.00     ;2.36      ;21.8        ;4.59     
1563;* 3 Cet                    ;* 3 Cet                            ;001.1254928050 -10.5095235808      ;   -6.85 -12.02     ;1.56      ;-42.10      ;4.924    
1564;* zet Vol                  ;* zet Vol                          ;115.4552541842 -72.6060990725      ;    33.34 14.89     ;23.13     ;49.03       ;3.944    
1565;* mu. Ori A                ;* mu. Ori A                        ;090.595819700 +09.647288306        ;     11.7 -34.1     ;      ~   ;~           ;4.30     
1566;* B Vel                    ;* B Vel                            ;125.63205879 -48.49037864          ;     -5.10 7.76     ;1.90      ;27.00       ;4.82     
1567;* eps Col                  ;* eps Col                          ;082.8031145015800 -35.4705066018300; 27.627 -32.416     ;11.73     ;-4.90       ;3.87     
1568;* zet Gru                  ;* zet Gru                          ;345.2200314824300 -52.7541108578800;-64.223 -17.832     ;19.9108   ;-1.1        ;4.115    
1569;* eps Gru                  ;* eps Gru                          ;342.1387419229700 -51.3168648120200;107.195 -62.575     ;25.7902   ;-0.40       ;3.466    
1570;* lam Aur                  ;* lam Aur                          ;079.7853143746338 +40.0990514113722;520.569 -664.488    ;79.6021   ;66.57       ;4.71     
1571;* 36 Com                   ;* 36 Com                           ;194.7310123782400 +17.4094428590700; -37.705 33.723     ;9.393     ;-1.98       ;5.00     
1572;* lam Peg                  ;* lam Peg                          ;341.6328244225 +23.5656544833      ;   55.75 -10.15     ;8.93      ;-4.15       ;3.93     
1573;* tet Dor                  ;* tet Dor                          ;078.4393987811100 -67.1852582740000;  18.485 38.123     ;6.0186    ;9.61        ;4.801    
1574;* del Ret                  ;* del Ret                          ;059.6864560358 -61.4001853689      ;    9.80 -14.30     ;6.20      ;-1.4        ;4.57     
1575;* kap UMa                  ;* kap UMa                          ;135.90636507 +47.15652473          ;  -36.19 -55.40     ;9.10      ;2.30        ;3.55     
1576;* g UMa                    ;* g UMa                            ;201.3064076387 +54.9879596614      ;  120.21 -16.04     ;39.91     ;-8.9        ;4.010    
1577;* alf Sct                  ;* alf Sct                          ;278.8017798215825 -08.2440705109586;-18.006 -313.989    ;17.6952   ;36.50       ;3.83     
1578;V* RR UMi                  ;V* RR UMi                          ;224.3958636887 +65.9324602656      ;   -78.23 32.50     ;7.10      ;6.21        ;4.54     
1579;* tet01 Tau                ;* tet01 Tau                        ;067.1437334754 +15.9621803978      ;  104.97 -15.14     ;21.13     ;42.193      ;3.840    
1580;* 67 Oph                   ;* 67 Oph                           ;270.1613157887500 +02.9315648341400;   0.935 -8.772     ;1.3731    ;-5.20       ;3.93     
1581;* nu. UMa                  ;* nu. UMa                          ;169.6197360100 +33.0943085269      ;   -26.84 28.69     ;8.17      ;-9.63       ;3.49     
1582;* alf Pav                  ;* alf Pav                          ;306.41190437 -56.73508973          ;    6.90 -86.02     ;18.24     ;2.0         ;1.918    
1583;* 27 Psc                   ;* 27 Psc                           ;359.6682378200 -03.5559827550      ;  -57.13 -72.08     ;13.91     ;-0.20       ;4.886    
1584;* omi Ori                  ;* omi Ori                          ;073.1331766686900 +14.2506420850500;  1.422 -54.863     ;5.8125    ;-8.40       ;4.721    
1585;* lam Ser                  ;* lam Ser                          ;236.6108925506800 +07.3530687163400;-223.952 -69.763    ;83.9214   ;-66.395     ;4.42     
1586;* zet Crt                  ;* zet Crt                          ;176.1907332321900 -18.3506763721000; 27.298 -24.644     ;9.5113    ;-3.64       ;4.706    
1587;* 30 Cyg                   ;* 30 Cyg                           ;303.3252244331900 +46.8156752644300;  13.597 -1.396     ;5.1207    ;-26.00      ;4.819    
1588;* eta Gru                  ;* eta Gru                          ;341.4078414315200 -53.5001198699500;  30.717 17.334     ;7.2136    ;27.8        ;4.846    
1589;* ome UMa                  ;* ome UMa                          ;163.4947538182000 +43.1899575069100; 44.033 -23.714     ;13.291    ;-18.70      ;4.664    
1590;* eps Aql                  ;* eps Aql                          ;284.9056515780500 +15.0682810414600;-51.062 -69.439     ;18.1821   ;-45.90      ;4.02     
1591;* 11 Cep                   ;* 11 Cep                           ;325.4804518808700 +71.3114631855300; 111.840 92.204     ;18.1808   ;-38.47      ;     ~   
1592;* 42 Dra                   ;* 42 Dra                           ;276.4964040005700 +65.5634809288300;105.816 -26.846     ;11.056    ;31.79       ;4.823    
1593;* gam01 And                ;* gam01 And                        ;030.97480121 +42.32972842          ;   42.32 -49.30     ;8.30      ;-11.50      ;2.10     
1594;CCDM J12546-5711AB         ;* mu. Cru                          ;193.6504 -57.1731                  ;            ~ ~     ;      ~   ;~           ;     ~   
1595;* iot UMa A                ;* iot UMa A                        ;134.8018881454904 +48.0418228606861;-439.836 -214.071   ;68.0010   ;9.0         ;3.13     
1596;* ups Cyg                  ;* ups Cyg                          ;319.4795243951700 +34.8968959621000;   5.667 -5.601     ;5.012     ;-0.70       ;4.42     
1597;* alf Cae                  ;* alf Cae                          ;070.14047106 -41.86375207          ; -140.39 -74.82     ;49.59     ;0.00        ;4.45     
1598;* alf Psc                  ;* alf Psc                          ;030.51174881 +02.76376138          ;     32.45 0.04     ;21.66     ;7.50        ;     ~   
1599;* del Cet                  ;* del Cet                          ;039.87064912 +00.32850959          ;    12.85 -2.94     ;5.02      ;13.0        ;4.07     
1600;* lam CMa                  ;* lam CMa                          ;097.0425311337 -32.5800681911      ;   -14.41 25.21     ;7.70      ;41.00       ;4.48     
1601;* 16 Lib                   ;* 16 Lib                           ;224.2958286897800 -04.3464586838200;-98.683 -153.908    ;36.3454   ;26.30       ;4.49     
1602;NOVA Vul 1670              ;V* CK Vul                          ;296.9081572266100 +27.3116090003800;    6.698 1.973     ;0.066     ;~           ;     ~   
1603;IC 2391                    ;IC 2391                            ;130.2920 -52.9910                  ; -24.927 23.256     ;6.597     ;14.59       ;     ~   
1604;* mu. Psc                  ;* mu. Psc                          ;022.5463101529 +06.1438215806      ;  292.00 -45.95     ;10.73     ;34.409      ;4.84     
1605;CCDM J15051-4703AB         ;* pi. Lup                          ;226.2801456763179 -47.0510636022725;-25.175 -17.856     ;6.8600    ;4.50        ;3.89     
1606;* alf Cen A                ;* alf Cen A                        ;219.90205833 -60.83399269          ;-3679.25 473.67     ;743       ;-21.40      ;0.01     
1607;* 63 Aur                   ;* 63 Aur                           ;107.9138605249800 +39.3205503384800;   45.314 2.986     ;7.6144    ;-27.89      ;4.886    
1608;* iot Ser                  ;* iot Ser                          ;235.3877278775 +19.6703994403      ;  -60.86 -43.69     ;17.16     ;-17.2       ;4.505    
1609;* pi. Sgr                  ;* pi. Sgr                          ;287.4409705250 -21.0236139819      ;   -1.36 -36.45     ;6.40      ;-9.80       ;2.88     
1610;* i Sco                    ;* i Sco                            ;247.5519797471 -25.1152234083      ;   -4.45 -26.33     ;7.89      ;0.00        ;4.79     
1611;GES J12381884-6036322      ;Cl* Trumpler 20 PMF 4259           ;189.5785233350400 -60.6089430979000;   -7.188 0.159     ;0.25      ;-39.24      ;     ~   
1612;* kap Gem                  ;* kap Gem                          ;116.1118898717 +24.3979964519      ;  -23.39 -54.57     ;23.07     ;20.15       ;3.57     
1613;* gam Com                  ;* gam Com                          ;186.7344669712 +28.2684225225      ;  -83.95 -81.13     ;19.50     ;3.38        ;4.34     
1614;* 72 Peg                   ;* 72 Peg                           ;353.48828297 +31.32527939          ;   50.81 -17.46     ;5.94      ;-24.71      ;5.008    
1615;* tet01 Mic                ;* tet01 Mic                        ;320.1900809864100 -40.8096167072600;  80.022 24.880     ;20.1687   ;2.3         ;4.82     
1616;SN 1987A                   ;SN 1987A                           ;083.866750 -69.269742              ;            ~ ~     ;      ~   ;270         ;     ~   
1617;* eta Cyg                  ;* eta Cyg                          ;299.0765509262 +35.0834229886      ;  -33.61 -27.87     ;24.17     ;-25.87      ;3.880    
1618;* phi Vir                  ;* phi Vir                          ;217.0505787590600 -02.2279580599600;-138.727 -3.338     ;26.8792   ;-9.88       ;4.840    
1619;* 72 Cyg                   ;* 72 Cyg                           ;323.6941119390900 +38.5340667888800; 112.808 99.499     ;14.0094   ;-68.12      ;4.91     
1620;* gam02 Sgr                ;* gam02 Sgr                        ;271.4520337450 -30.4240898494      ; -53.92 -180.90     ;33.67     ;22.00       ;2.99     
1621;* m Tau                    ;* m Tau                            ;076.8625232011525 +18.6450499357072; 534.674 18.449     ;62.8252   ;20.604      ;     ~   
1622;* pi. Lup A                ;* pi. Lup A                        ;226.279530125 -47.051261539        ;    -21.3 -28.6     ;      ~   ;4.5         ;4.58     
1623;* lam Ara                  ;* lam Ara                          ;265.0992732439900 -49.4155831268100;103.685 -175.956    ;47.7045   ;4.54        ;4.77     
1624;V* ET Vir                  ;V* ET Vir                          ;212.7103627392692 -16.3020307042407;  3.277 -10.804     ;5.8655    ;18.58       ;4.91     
1625;* gam Cam                  ;* gam Cam                          ;057.5896204846 +71.3322634700      ;   18.17 -42.85     ;9.09      ;0.20        ;4.604    
1626;* ksi Hya                  ;* ksi Hya                          ;173.2504793996 -31.8576231803      ; -209.62 -40.84     ;25.16     ;-4.599      ;3.54     
1627;* 30 Psc                   ;* 30 Psc                           ;000.4900811322200 -06.0140705566800; 46.941 -40.471     ;7.8758    ;-11.70      ;4.41     
1628;* g Lup                    ;* g Lup                            ;235.2974033621455 -44.6612060267514;-169.106 -266.391   ;57.4759   ;-7.08       ;4.633    
1629;* eps Her                  ;* eps Her                          ;255.0723907454 +30.9264045803      ;   -47.69 26.90     ;21.04     ;-25.1       ;3.92     
1630;* tet Gru                  ;* tet Gru                          ;346.71971026 -43.52035715          ;  -47.17 -13.49     ;24.73     ;9.6         ;4.332    
1631;HR 5943                    ;HD 143009                          ;239.8761098717 -41.7444360636      ;  -37.76 -16.48     ;7.48      ;-27.0       ;4.984    
1632;* s Car                    ;* s Car                            ;156.9697031883 -58.7394029644      ;    -14.47 2.36     ;2.43      ;9.40        ;3.810    
1633;[SC96] Mis 1358            ;* 21 Sgr                           ;276.3376642925600 -20.5416728352600;  6.108 -26.699     ;6.7833    ;-10.75      ;4.86     
1634;* mu. UMa                  ;* mu. UMa                          ;155.5822490246 +41.4995191958      ;   -81.47 35.34     ;14.16     ;-21.30      ;3.05     
1635;* 1 Lac                    ;* 1 Lac                            ;333.9924030463 +37.7487329283      ;     8.85 -0.72     ;5.25      ;-8.58       ;4.15     
1636;* 83 UMa                   ;* 83 UMa                           ;205.1844722950 +54.6816358714      ;  -19.06 -10.56     ;6.23      ;-18.61      ;4.66     
1637;* gam Psc                  ;* gam Psc                          ;349.2914062129 +03.2822883264      ;   759.82 17.77     ;23.64     ;-14.48      ;3.70     
1638;* eta Cas                  ;* eta Cas                          ;012.2762274762175 +57.8151772888100;1078.609 -551.133   ;168.8322  ;8.404       ;3.44     
1639;* tau CMa                  ;* tau CMa                          ;109.6770267463 -24.9543725831      ;     -2.31 5.02     ;1.09      ;49.40       ;4.40     
1640;* 38 Lyn                   ;* 38 Lyn                           ;139.71101600 +36.80259252          ; -32.33 -125.64     ;26.13     ;4.0         ;3.92     
1641;* kap Her A                ;* kap Her A                        ;242.0188568448200 +17.0469775290900; -34.067 -6.700     ;8.2812    ;-10.50      ;4.994    
1642;* sig Sgr                  ;* sig Sgr                          ;283.81636041 -26.29672411          ;   15.14 -53.43     ;14.32     ;-11.2       ;2.067    
1643;* kap Vir                  ;* kap Vir                          ;213.2239391000 -10.2737038881      ;    7.25 139.88     ;12.80     ;-4.38       ;4.21     
1644;* eps Cas                  ;* eps Cas                          ;028.5988920257000 +63.6701000663300; 29.587 -18.387     ;7.0037    ;-8.30       ;3.37     
1645;* alf Vul                  ;* alf Vul                          ;292.1763748138 +24.6649034597      ;-126.13 -107.44     ;10.97     ;-85.391     ;4.45     
1646;* tau09 Eri                ;* tau09 Eri                        ;059.9811823664000 -24.0162158876300;  11.786 16.740     ;9.9739    ;25.50       ;4.66     
1647;* lam Her                  ;* lam Her                          ;262.6846242540200 +26.1106456122900;  18.782 16.184     ;8.2943    ;-26.51      ;4.41     
1648;* 15 Dra                   ;* 15 Dra                           ;246.9958940211100 +68.7681370862700; -24.299 34.349     ;6.7911    ;-6.7        ;4.949    
1649;* sig Per                  ;* sig Per                          ;052.6436890250900 +47.9952163484000;   3.954 18.968     ;9.506     ;14.36       ;4.36     
1650;* tet Ara                  ;* tet Ara                          ;271.6577970408 -50.0914757008      ;    -8.27 -8.70     ;4.01      ;3.40        ;3.66     
1651;HR 4205                    ;HD 93194                           ;161.0288145496 -63.9610704058      ;   -16.31 12.44     ;6.63      ;25.5        ;4.789    
1652;* c Per                    ;* c Per                            ;062.1653839908 +47.7125119269      ;   21.73 -33.61     ;6.84      ;0.8         ;4.03     
1653;* mu. Phe                  ;* mu. Phe                          ;010.3314678837 -46.0850051083      ;    -28.20 1.80     ;13.27     ;17.41       ;4.59     
1654;* bet CMa                  ;* bet CMa                          ;095.6749389696 -17.9559187089      ;    -3.23 -0.78     ;6.62      ;33.70       ;1.97     
1655;* ups Car A                ;* ups Car                          ;146.77550706 -65.07200742          ;    -11.51 4.71     ;2.27      ;13.60       ;2.99     
1656;GES J12382626-6038053      ;Cl* Trumpler 20 PMF 3569           ;189.6094088024400 -60.6348181751800;   -7.124 0.910     ;0.4329    ;-15.18      ;     ~   
1657;* pi. Cet                  ;* pi. Cet                          ;041.0306220012 -13.8586980586      ;    -8.62 -9.07     ;8.30      ;14.98       ;4.236    
1658;* chi Peg                  ;* chi Peg                          ;003.6506845104187 +20.2067028826844;   91.831 1.152     ;9.4052    ;-46.60      ;4.800    
1659;* alf Cet                  ;* alf Cet                          ;045.56988780 +04.08973877          ;  -10.41 -76.85     ;13.09     ;-26.08      ;2.53     
1660;NGC 104                    ;NGC 104                            ;006.022329 -72.081444              ;     5.25 -2.53     ;0.1951    ;-17.21      ;4.09     
1661;* gam Lyr                  ;* gam Lyr                          ;284.7359267237 +32.6895556375      ;     -3.09 1.11     ;5.26      ;-20.20      ;3.250    
1662;* kap Col                  ;* kap Col                          ;094.1380629987 -35.1405175028      ;    -0.28 87.94     ;17.87     ;23.70       ;4.37     
1663;* iot Phe                  ;* iot Phe                          ;353.7690015235300 -42.6151397988700;   47.072 8.543     ;12.3056   ;19.4        ;4.71     
1664;* tet Car                  ;* tet Car                          ;160.7391748642 -64.3944502211      ;   -18.36 12.03     ;7.16      ;20.60       ;2.76     
1665;* iot Eri                  ;* iot Eri                          ;040.1668125225 -39.8553761503      ;  135.92 -27.53     ;21.65     ;-9.30       ;4.116    
1666;* 104 Aqr                  ;* 104 Aqr                          ;355.4408599010500 -17.8165319464100;   14.332 0.679     ;4.5743    ;6.52        ;4.83     
1667;GES J12390856-6047163      ;Cl* Trumpler 20 PMF 123            ;189.7856987038699 -60.7878492784900;   -7.063 0.004     ;0.2565    ;-39.28      ;     ~   
1668;* bet Hyi                  ;* bet Hyi                          ;006.43779316 -77.25424612          ; 2219.54 324.09     ;134.07    ;23.085      ;2.79     
1669;HR 2209                    ;HD 42818                           ;094.7115679321 +69.3197864003      ;  -2.12 -101.99     ;18.64     ;-7.00       ;4.757    
1670;* 23 Com                   ;* 23 Com                           ;188.7128357462 +22.6292584044      ;   -58.89 28.31     ;10.52     ;-16.00      ;4.773    
1671;HR 7064                    ;HD 173780                          ;281.5186645583100 +26.6621289079300;  17.445 23.833     ;13.386    ;-16.92      ;4.84     
1672;* bet Cha                  ;* bet Cha                          ;184.5867691208 -79.3122419344      ;   -37.97 11.15     ;10.93     ;23.00       ;4.229    
1673;* pi. And                  ;* pi. And                          ;009.2202052354 +33.7193439994      ;    14.75 -3.51     ;5.45      ;8.20        ;4.36     
1674;* 48 Cas                   ;* 48 Cas                           ;030.48937644 +70.90702507          ;   -55.69 -8.71     ;28.36     ;-5.0        ;4.54     
1675;* p Pup                    ;* p Pup                            ;113.8453817505200 -28.3693347863800; -60.256 -7.742     ;13.6185   ;3.30        ;4.63     
1676;* phi Gem                  ;* phi Gem                          ;118.3742006609200 +26.7657814063900;-27.843 -30.555     ;18.038    ;8.0         ;4.963    
1677;HD 162214                  ;V* RS Oph                          ;267.5548297854000 -06.7079113138300;   1.302 -5.970     ;0.3732    ;-39.0       ;10.776   
1678;* bet Pic                  ;* bet Pic                          ;086.8211987087 -51.0665114264      ;     4.65 83.10     ;51.44     ;20.00       ;3.86     
1679;* del Gem                  ;* del Gem                          ;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1         ;3.53     
1680;* alf Com A                ;* alf Com A                        ;197.497022883 +17.529404569        ;   -430.1 137.8     ;      ~   ;~           ;4.80     
1681;* chi UMa                  ;* chi UMa                          ;176.5125586421 +47.7794062925      ;  -138.29 28.57     ;17.76     ;-9.02       ;3.72     
1682;* sig Her                  ;* sig Her                          ;248.5257601102700 +42.4370094863000; -15.384 44.260     ;10.856    ;-10.90      ;4.196    
1683;HR 4499                    ;HD 101570                          ;175.2234741184400 -62.0901015216900;  -15.493 0.981     ;3.0181    ;18.32       ;4.92     
1684;* 15 Lac                   ;* 15 Lac                           ;343.0084743976400 +43.3124171825600; 109.428 23.678     ;9.3012    ;-19.21      ;4.938    
1685;* ups Lib                  ;* ups Lib                          ;234.2560424983 -28.1350812911      ;   -12.82 -4.15     ;14.58     ;-24.90      ;3.589    
1686;* gam Ori                  ;* gam Ori                          ;081.28276356 +06.34970326          ;   -8.11 -12.88     ;12.92     ;18.2        ;1.64     
1687;* 5 Lac                    ;* 5 Lac                            ;337.3825937742 +47.7068868631      ;    -0.37 -3.33     ;1.98      ;-12.93      ;4.37     
1688;* rho Cyg                  ;* rho Cyg                          ;323.4952210208758 +45.5918389042942;-24.341 -93.511     ;25.9359   ;6.88        ;4.02     
1689;* ups Gem                  ;* ups Gem                          ;113.9806250590500 +26.8957444986000;-32.841 -106.002    ;12.8761   ;-21.61      ;4.06     
1690;* h Car                    ;* h Car                            ;143.6110450612 -59.2297519531      ;    -10.74 6.60     ;2.46      ;18.20       ;4.09     
1691;* del Phe                  ;* del Phe                          ;022.8129364571 -49.0727030103      ;  138.38 153.89     ;22.95     ;-7.30       ;3.935    
1692;* gam Vir B                ;* gam Vir B                        ;190.4147607686542 -01.4494021269331;-534.318 -64.270    ;78.5233   ;-19.8       ;3.49     
1693;* alf Mus                  ;* alf Mus                          ;189.2959078692 -69.1355647886      ;  -40.20 -12.80     ;10.34     ;13.00       ;2.649    
1694;* 14 Ari                   ;* 14 Ari                           ;032.3555207688508 +25.9398378657198; 81.194 -24.267     ;18.9736   ;-3.90       ;4.977    
1695;* 4 Sgr                    ;* 4 Sgr                            ;269.9481518982599 -23.8161147127400; -0.900 -51.149     ;7.9879    ;-18.00      ;4.724    
1696;NGC 2264                   ;NGC 2264                           ;100.2170 +09.8770                  ;  -1.690 -3.727     ;1.354     ;21.65       ;     ~   
1697;* ksi Aur                  ;* ksi Aur                          ;088.7115289053300 +55.7069667084600;  -7.049 12.959     ;13.3702   ;-11.8       ;4.960    
1698;* k Car                    ;* k Car                            ;140.2367211280800 -62.4046336265300; -13.780 -0.181     ;14.5169   ;51.12       ;4.800    
1699;* eta Hya                  ;* eta Hya                          ;130.8061458029 +03.3986629753      ;   -19.39 -1.08     ;5.56      ;16.10       ;4.300    
1700;* alf Cam                  ;* alf Cam                          ;073.5125433263 +66.3426767964      ;     -0.13 6.89     ;0.52      ;10          ;4.29     
1701;* c Ori                    ;* c Ori                            ;083.84651779 -04.83835781          ;     4.52 -7.11     ;3.69      ;47.10       ;4.59     
1702;* eta Cru                  ;* eta Cru                          ;181.7204124987 -64.6137289936      ;   33.88 -37.02     ;50.62     ;10.40       ;4.136    
1703;* nu. Pav                  ;* nu. Pav                          ;277.8434378575 -62.2783014758      ;   -1.11 -45.31     ;7.43      ;16.95       ;4.64     
1704;CCDM J10556+2445AB         ;* 54 Leo                           ;163.90331908 +24.74971730          ;  -80.03 -15.36     ;11.37     ;5.40        ;4.32     
1705;* nu. Hya                  ;* nu. Hya                          ;162.4062031038 -16.1936488858      ;   93.35 198.88     ;22.69     ;-1.37       ;3.11     
1706;* eps Psc                  ;* eps Psc                          ;015.7358692738 +07.8901348672      ;   -80.17 25.59     ;17.94     ;7.74        ;4.28     
1707;* omi Vir                  ;* omi Vir                          ;181.3022520350 +08.7329860522      ;  -218.69 57.76     ;19.98     ;-29.578     ;4.12     
1708;* 42 Peg                   ;* 42 Peg                           ;340.3655029900 +10.8313633103      ;   77.22 -11.38     ;15.96     ;6.10        ;3.41     
1709;* tet Lup                  ;* tet Lup                          ;241.6480999284000 -36.8022705296200;-18.145 -32.242     ;7.3685    ;15.2        ;4.201    
1710;* 109 Vir                  ;* 109 Vir                          ;221.5621889996 +01.8928845822      ; -114.03 -22.13     ;24.25     ;-6.1        ;3.73     
1711;* 10 LMi                   ;* 10 LMi                           ;143.5557576867900 +36.3975580620400;  6.989 -22.729     ;17.0738   ;-11.94      ;4.60     
