C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
1307;* c Psc                            ;PM*;000.6237579854 +08.4854631419      ;  -94.10 -47.42     ;27.10     ;9.20       ;5.996    ;5.690    ;     ~   
1308;* 34 Psc                           ;*  ;002.5091791733600 +11.1458158083500;   31.493 2.651     ;11.0592   ;13.40      ;5.456    ;5.530    ;     ~   
1309;NAME Torcular                      ;PM*;026.3484383965500 +09.1577507334200;  71.227 53.727     ;12.5296   ;12.16      ;5.22     ;4.26     ;3.53     
1310;* ksi01 Cet                        ;EB*;033.2500013271500 +08.8467023506500; -26.965 -1.154     ;10.4184   ;-3.93      ;5.23     ;4.35     ;3.68     
1311;* 64 Cet                           ;PM*;032.8378281606800 +08.5698071857800;-141.042 -113.463   ;23.7901   ;-19.017    ;6.189    ;5.623    ;6.81     
1312;* ksi02 Cet                        ;*  ;037.0398210789746 +08.4600602248073;  23.707 -4.787     ;16.5681   ;11.90      ;4.25     ;4.30     ;4.29     
1313;* gam Equ                          ;a2*;317.5854169671500 +10.1315811021600;45.456 -152.116     ;28.2433   ;-16.489    ;4.94     ;4.68     ;4.43     
1314;* del Equ                          ;SB*;318.6200637821 +10.0069794106      ;  42.39 -304.19     ;54.09     ;-15.85     ;4.99     ;4.49     ;4.06     
1315;NAME Enif                          ;LP*;326.0464839142 +09.8750086533      ;     26.92 0.44     ;4.73      ;3.39       ;3.91     ;2.39     ;1.34     
1316;* 17 Peg                           ;*  ;329.2348845456400 +12.0764937330200;-27.948 -13.881     ;7.2169    ;10.30      ;5.580    ;5.533    ;     ~   
1317;* 21 Peg                           ;*  ;330.8293025481199 +11.3865484376500;  17.080 -2.826     ;4.6202    ;-0.384     ;5.762    ;5.822    ;     ~   
1318;* 31 Peg                           ;Be*;335.3794796033 +12.2051841153      ;      6.32 4.80     ;2.01      ;-5.30      ;4.89     ;4.99     ;5.06     
1319;NAME Homam                         ;PM*;340.3655029900 +10.8313633103      ;   77.22 -11.38     ;15.96     ;6.10       ;3.33     ;3.41     ;3.43     
1320;* ksi Peg                          ;PM*;341.6732493926392 +12.1728857944744;233.354 -493.133    ;60.9161   ;-5.853     ;4.69     ;4.20     ;3.73     
1321;* 66 Peg                           ;*  ;350.7690324777800 +12.3139101024800; 21.568 -21.096     ;9.5158    ;-5.82      ;6.406    ;5.081    ;6.62     
1322;* 70 Peg                           ;SB*;352.2887468325500 +12.7605498809300;  60.447 28.353     ;17.1942   ;-16.88     ;5.50     ;4.56     ;3.82     
1323;* 86 Peg                           ;*  ;001.4248400551900 +13.3962681337900;  43.461 -5.924     ;8.526     ;1.90       ;6.439    ;5.537    ;     ~   
1324;* 58 Psc                           ;SB*;011.7560670205200 +11.9738515676700; 56.171 -34.165     ;13.628    ;-2.61      ;6.489    ;5.504    ;     ~   
1325;* pi. Psc                          ;PM*;024.2746924393300 +12.1417829497100;  -72.589 9.676     ;30.3493   ;-4.20      ;5.880    ;5.535    ;     ~   
1326;* 54 Cet                           ;PM*;027.7165525403900 +11.0433783323000;-69.516 -27.520     ;24.0374   ;10.50      ;6.215    ;5.922    ;     ~   
1327;* ksi Ari                          ;SB*;036.2044068129500 +10.6105586500800; 20.979 -15.022     ;4.2483    ;-0.50      ;5.368    ;5.478    ;     ~   
1328;* mu. Cet                          ;dS*;041.2355874263 +10.1141413647      ;  282.70 -32.53     ;38.80     ;30.4       ;4.58     ;     ~   ;4.1      
1329;* lam Cet                          ;*  ;044.9287494646 +08.9073582975      ;    6.01 -17.70     ;5.66      ;10.2       ;4.58     ;4.70     ;4.72     
1330;* 20 Peg                           ;PM*;330.2722958685300 +13.1198380947500; 55.173 -61.043     ;14.4396   ;4.80       ;5.944    ;5.599    ;     ~   
1331;NAME Markab                        ;PM*;346.19022269 +15.20526715          ;   60.40 -41.30     ;24.46     ;-2.70      ;2.44     ;2.48     ;2.47     
1332;NAME Algenib                       ;bC*;003.3089634617 +15.1835935442      ;     1.98 -9.28     ;8.33      ;3.20       ;2.61     ;2.84     ;2.94     
1333;* 53 Psc                           ;bC*;009.1971291682900 +15.2317195369300;   3.918 -9.890     ;3.5167    ;-8.00      ;5.714    ;5.863    ;     ~   
1334;* 57 Psc                           ;LP*;011.6372993748300 +15.4755090182400;-26.456 -49.740     ;4.5662    ;-24.26     ;7.03     ;5.38     ;     ~   
1335;* 72 Psc                           ;SB*;016.2723163971700 +14.9461349613400;   8.735 53.512     ;18.9413   ;4.34       ;6.039    ;5.631    ;     ~   
1336;NAME Alpherg                       ;** ;022.8708760779 +15.3458245944      ;    27.14 -2.64     ;9.33      ;13.78      ;4.600    ;3.620    ;2.90     
1337;* 31 Ari                           ;** ;039.1579955527400 +12.4476317721400;279.471 -85.654     ;28.9026   ;8.60       ;6.14     ;5.64     ;5.3      
1338;* 38 Ari                           ;dS*;041.2399226382400 +12.4457560730700;122.203 -86.328     ;25.2522   ;-1.5       ;     ~   ;     ~   ;5.1      
1339;* 75 Peg                           ;EB*;354.4866762186000 +18.4006661360500;  48.630 17.111     ;13.4192   ;-3.27      ;5.477    ;5.482    ;     ~   
1340;* phi Peg                          ;LP*;358.1220326287100 +19.1202859855300; -7.003 -35.176     ;6.9626    ;-7.75      ;6.68     ;5.08     ;     ~   
1341;* 87 Peg                           ;PM*;002.2601030964700 +18.2119652197100;140.876 -25.250     ;10.8284   ;-20.23     ;6.607    ;5.555    ;     ~   
1342;* 47 Psc                           ;LP*;007.0121448387300 +17.8931270486800; 114.648 20.338     ;6.0025    ;5.31       ;6.71     ;5.06     ;3.32     
1343;* 64 Psc                           ;SB*;012.2446148226700 +16.9406456613900;-2.468 -200.976     ;42.7505   ;3.76       ;5.58     ;     ~   ;4.8      
1344;* 87 Psc                           ;SB*;018.5317840076300 +16.1334762373800;-27.887 -26.077     ;7.6775    ;-16.30     ;5.873    ;5.962    ;     ~   
1345;* 105 Psc                          ;PM*;024.9200764433900 +16.4058551361400; 82.980 -12.383     ;8.6602    ;15.55      ;7.131    ;5.979    ;     ~   
1346;* 4 Ari                            ;PM*;027.0455153663700 +16.9555159733000; 63.473 -29.890     ;12.0473   ;5.70       ;5.809    ;5.841    ;     ~   
1347;* 19 Ari                           ;PM*;033.2637674217900 +15.2798630801500; 97.957 -20.879     ;5.5659    ;22.57      ;7.25     ;5.70     ;4.48     
1348;* 29 Ari                           ;SB*;038.2255912636400 +15.0345355763300; -20.534 49.072     ;34.1525   ;9.10       ;6.541    ;5.988    ;     ~   
1349;* 9 Peg                            ;V* ;326.1278992246 +17.3500158506      ;    8.66 -11.33     ;3.52      ;-22.733    ;5.52     ;4.35     ;3.53     
1350;* 13 Peg                           ;Er*;327.5362496496 +17.2858496883      ;   91.63 -44.04     ;29.92     ;-1.10      ;5.717    ;5.336    ;     ~   
1351;* 40 Peg                           ;PM*;339.7191408085800 +19.5222510716400;-48.713 -93.922     ;7.9475    ;-14.80     ;6.750    ;5.820    ;     ~   
1352;NAME Helvetios                     ;PM*;344.3665853552400 +20.7688325111400; 207.328 61.164     ;64.4048   ;-33.165    ;6.16     ;5.46     ;4.97     
1353;* chi Peg                          ;PM*;003.6506845104187 +20.2067028826844;   91.831 1.152     ;9.4052    ;-46.60     ;6.380    ;4.800    ;3.45     
1354;* 52 Psc                           ;PM*;008.1478533677800 +20.2943176963000;135.640 -47.447     ;11.7438   ;-12.07     ;6.443    ;5.370    ;     ~   
1355;* 55 Psc                           ;*  ;009.9815482378100 +21.4384966779900; 28.050 -28.120     ;7.5057    ;-18.46     ;6.572    ;5.428    ;     ~   
1356;* 54 Psc                           ;PM*;009.8408558033525 +21.2504758054778;-461.948 -369.624   ;90.0248   ;-32.898    ;6.71     ;5.88     ;5.21     
1357;* 66 Psc                           ;** ;013.6467607099654 +19.1884221737897; 12.687 -11.581     ;13.0242   ;8.50       ;5.760    ;5.790    ;     ~   
1358;* 74 Psc A                         ;** ;016.4206469617 +21.4731802431      ;   44.49 -14.82     ;11.86     ;-3.90      ;5.263    ;5.273    ;     ~   
1359;* 74 Psc B                         ;PM*;016.4237962945400 +21.4654477796400; 54.952 -15.938     ;11.3778   ;-7.20      ;5.405    ;5.455    ;     ~   
1360;* psi02 Psc                        ;** ;016.9881832461600 +20.7390695507200; 87.677 -90.069     ;17.9579   ;-15.20     ;5.685    ;5.563    ;     ~   
1361;* psi03 Psc                        ;*  ;017.4550037385200 +19.6584069058700;   -5.971 9.170     ;7.8074    ;-8.0       ;6.263    ;5.562    ;     ~   
1362;* chi Psc                          ;*  ;017.8634115500 +21.0346501558      ;   39.32 -10.48     ;8.50      ;15.48      ;5.679    ;4.658    ;     ~   
1363;* rho Psc                          ;V* ;021.5635933178100 +19.1723473929700; -25.803 11.283     ;38.8391   ;-2.15      ;5.718    ;5.344    ;     ~   
1364;* 94 Psc                           ;PM*;021.6736631405300 +19.2404239130700; 51.289 -57.443     ;10.8298   ;-42.53     ;6.616    ;5.495    ;     ~   
1365;* 107 Psc                          ;PM*;025.6240105213667 +20.2685126826972;-300.737 -673.539   ;130.8234  ;-33.619    ;6.08     ;5.24     ;4.55     
1366;* gam01 Ari                        ;PM*;028.3825800137264 +19.2959529982388;77.845 -106.965     ;18.8809   ;3.7        ;4.558    ;4.589    ;6.71     
1367;* gam02 Ari                        ;PM*;028.3825538685100 +19.2938555497700; 77.138 -97.321     ;19.6268   ;-0.6       ;4.49     ;4.52     ;     ~   
1368;* iot Ari                          ;SB*;029.3377281775 +17.8175334011      ;   34.76 -22.95     ;6.27      ;-5.95      ;6.018    ;5.105    ;     ~   
1369;* omi Ari                          ;*  ;041.1373831062600 +15.3118598691800;  2.942 -16.236     ;5.7867    ;-2.40      ;5.750    ;5.777    ;     ~   
1370;* sig Ari                          ;*  ;042.8732768569800 +15.0820676330600; 29.636 -24.650     ;7.0519    ;17.0       ;5.411    ;5.516    ;     ~   
1371;* 5 Peg                            ;PM*;324.4392923822000 +19.3186091701500; 100.001 13.896     ;11.2171   ;-35.80     ;5.753    ;5.448    ;     ~   
1372;* 25 Peg                           ;Be*;331.9595994813300 +21.7029267451900;-45.946 -68.172     ;4.8899    ;-61.60     ;5.68     ;5.78     ;     ~   
1373;* 33 Peg                           ;** ;335.9148529000867 +20.8482887233080; 333.057 10.827     ;29.8125   ;-19.75     ;6.690    ;     ~   ;5.9      
1374;* lam Peg                          ;PM*;341.6328244225 +23.5656544833      ;   55.75 -10.15     ;8.93      ;-4.15      ;5.00     ;3.93     ;3.16     
1375;NAME Salm                          ;dS*;350.1593592882200 +23.7403550644600;  36.270 -2.505     ;20.7145   ;15.20      ;4.745    ;4.580    ;     ~   
1376;NAME Alkarab                       ;PM*;351.3449286356604 +23.4041008102264; 191.856 36.183     ;18.7061   ;-8.59      ;5.01     ;4.40     ;3.86     
1377;* 71 Peg                           ;LP?;353.3670584525 +22.4987762658      ;    9.92 -16.89     ;6.27      ;1.62       ;6.90     ;5.42     ;     ~   
1378;* psi Peg                          ;** ;359.4396950296 +25.1414022133      ;  -35.24 -31.60     ;6.85      ;-6.59      ;6.25     ;4.66     ;3.20     
1379;* zet And                          ;RS*;011.8346894567 +24.2671780142      ; -101.17 -81.77     ;17.24     ;-24.43     ;5.18     ;4.06     ;3.21     
1380;* 36 And                           ;** ;013.74210869 +23.62832774          ;  135.43 -48.61     ;26.33     ;-0.84      ;6.46     ;5.45     ;4.67     
1381;* eta And                          ;SB*;014.3016674271 +23.4176487853      ;  -43.47 -45.73     ;14.20     ;-10.30     ;5.36     ;4.42     ;3.69     
1382;* 1 Ari                            ;** ;027.53570767 +22.27533610          ;   -16.52 -8.25     ;5.57      ;6.95       ;6.60     ;5.86     ;     ~   
1383;NAME Sheratan                      ;SB*;028.66004579 +20.80803147          ;  98.74 -110.41     ;55.60     ;-3.10      ;2.78     ;2.65     ;2.51     
1384;* 15 Ari                           ;LP*;032.6566537023500 +19.5003367021000; 88.751 -27.183     ;4.8855    ;62.04      ;7.309    ;5.688    ;     ~   
1385;* eta Ari                          ;PM*;033.2003569925833 +21.2109937674006;  163.917 5.000     ;33.3383   ;5.506      ;     ~   ;     ~   ;5.0      
1386;* tet Ari                          ;*  ;034.5313775477800 +19.9011576089800;  -7.832 -3.654     ;7.222     ;2.30       ;5.580    ;5.572    ;     ~   
1387;* 40 Ari                           ;PM*;042.1337018343700 +18.2837913271600; 41.437 -32.566     ;7.302     ;46.60      ;7.051    ;5.830    ;     ~   
1388;* rho02 Ari                        ;LP*;043.9520749992 +18.3316397044      ;   -7.78 -14.98     ;9.28      ;47.88      ;7.44     ;5.93     ;3.51     
1389;* rho Ari                          ;PM*;044.1090488610469 +18.0232403301703;262.027 -231.606    ;27.2557   ;13.576     ;6.02     ;5.58     ;5.3      
1390;* 12 Peg                           ;*  ;326.5181813620000 +22.9488790982200;   8.299 -2.478     ;2.3673    ;-10.14     ;6.622    ;5.266    ;     ~   
1391;NAME Sadalbari                     ;PM*;342.5008047942 +24.6015828833      ;  144.70 -41.87     ;30.74     ;13.791     ;4.42     ;3.48     ;2.80     
1392;* 60 Peg                           ;PM*;347.9549563765600 +26.8473215102300;-186.928 -119.016   ;13.4403   ;-9.86      ;7.11     ;     ~   ;5.6      
1393;* 56 Peg                           ;SB*;346.7780795213 +25.4682591450      ;   -0.03 -33.07     ;5.51      ;-27.55     ;6.06     ;4.74     ;3.74     
1394;* 69 Peg                           ;a2*;351.9182764449000 +25.1672792974500; 26.933 -36.897     ;8.5728    ;-18.40     ;5.913    ;5.979    ;     ~   
1395;* 85 Peg                           ;SB*;000.5431196641087 +27.0818330838094;716.460 -941.497    ;81.1790   ;-36.22     ;6.42     ;5.75     ;5.16     
1396;* phi Psc                          ;SB*;018.4372752354000 +24.5836976157300; 17.001 -20.531     ;8.1806    ;6.36       ;5.69     ;4.66     ;3.91     
1397;* lam Ari                          ;PM*;029.4821519392 +23.5960637597      ;  -92.55 -13.25     ;25.32     ;-11.20     ;5.053    ;4.766    ;     ~   
1398;* 7 Ari                            ;V* ;028.9626601942300 +23.5773154246300;  11.572 -8.569     ;6.1023    ;15.95      ;6.938    ;5.749    ;     ~   
1399;NAME Hamal                         ;PM*;031.79335710 +23.46241755          ; 188.55 -148.08     ;49.56     ;-14.412    ;3.17     ;2.01     ;1.15     
1400;* kap Ari                          ;SB*;031.6413540514516 +22.6483187761008; 20.348 -35.671     ;18.0292   ;11.5       ;5.154    ;5.019    ;     ~   
1401;* mu. Ari                          ;** ;040.5913991473500 +20.0114654976800; 29.086 -46.133     ;7.5702    ;-2.60      ;5.710    ;5.740    ;     ~   
1402;* nu. Ari                          ;*  ;039.7041351977000 +21.9614020544100; -4.203 -15.103     ;12.0933   ;8.00       ;5.608    ;5.451    ;     ~   
1403;* 47 Ari                           ;PM*;044.5217554458500 +20.6687339552000;233.959 -31.607     ;30.6153   ;27.043     ;6.230    ;     ~   ;5.6      
1404;* 34 Vul                           ;PM*;320.2683078392100 +23.8559685390400;242.979 -119.440    ;11.681    ;-88.204    ;6.62     ;     ~   ;4.9      
1405;* 2 Peg                            ;*  ;322.4870643804 +23.6388380656      ;     24.74 3.63     ;8.28      ;-18.92     ;6.088    ;4.509    ;     ~   
1406;* kap Peg                          ;SB*;326.16139677 +25.64503776          ;    48.13 14.29     ;29.22     ;-0.80      ;4.553    ;4.135    ;     ~   
1407;* 16 Peg                           ;Be*;328.2657010908 +25.9251361494      ;     8.79 -1.06     ;5.16      ;-17.60     ;4.921    ;5.081    ;     ~   
1408;* iot Peg                          ;SB*;331.7527729590800 +25.3450989962400; 295.476 27.442     ;84.0054   ;-5.50      ;4.200    ;3.770    ;3.36     
1409;* 32 Peg                           ;** ;335.3305789602700 +28.3305296837200;   17.504 5.298     ;4.5201    ;11.40      ;4.81     ;4.81     ;4.72     
1410;* omi Peg                          ;*  ;340.4391840352100 +29.3076752842600; -4.553 -36.588     ;11.6546   ;9.090      ;4.78     ;4.79     ;4.75     
1411;NAME Scheat                        ;LP*;345.94357275 +28.08278712          ;  187.65 136.93     ;16.64     ;7.99       ;4.09     ;2.42     ;0.92     
1412;* 63 Peg                           ;SB*;350.2064933003000 +30.4149246295700; 73.780 -72.855     ;6.6356    ;-18.83     ;7.091    ;5.557    ;     ~   
1413;* 79 Peg                           ;PM*;357.4141450324199 +28.8423894836100;  63.470 25.359     ;12.0187   ;-4.3       ;6.140    ;5.960    ;     ~   
1414;NAME Alpheratz                     ;a2*;002.09691619 +29.09043112          ; 137.46 -163.44     ;33.62     ;-10.10     ;1.95     ;2.06     ;2.09     
1415;* 28 And                           ;dS*;007.5306879769300 +29.7515577958400; 42.976 -56.675     ;16.0963   ;-10.307    ;5.467    ;5.214    ;     ~   
1416;* eps And                          ;PM*;009.6389476291842 +29.3117532274678;-228.701 -253.206   ;19.2451   ;-83.958    ;5.25     ;4.38     ;3.70     
1417;* 65 Psc                           ;** ;012.47152922 +27.71028686          ;   88.17 -10.15     ;11.29     ;6.80       ;6.3      ;5.57     ;     ~   
1418;* h Psc                            ;*  ;014.4589673870100 +28.9922139908400;   9.009 -5.875     ;3.9694    ;-1.93      ;6.508    ;5.438    ;     ~   
1419;* l Psc                            ;PM*;020.2807209046300 +28.7382071971300; 28.484 -74.486     ;7.7431    ;-37.88     ;6.630    ;5.223    ;     ~   
1420;* ups Psc                          ;*  ;019.8666370358 +27.2640598692      ;   22.98 -11.12     ;10.59     ;5.80       ;4.789    ;4.748    ;     ~   
1421;* 10 Ari                           ;** ;030.91393946 +25.93547582          ;   128.01 11.19     ;20.53     ;13.00      ;6.159    ;5.694    ;     ~   
1422;* 10 Ari A                         ;PM*;030.9139372770300 +25.9354735306500; 126.399 13.242     ;19.4595   ;13.22      ;6.262    ;5.765    ;     ~   
1423;* 11 Ari                           ;*  ;031.7051454055600 +25.7045563004800; 18.232 -13.092     ;3.9534    ;-13.80     ;5.98     ;6.02     ;     ~   
1424;* 14 Ari                           ;PM*;032.3555207688508 +25.9398378657198; 81.194 -24.267     ;18.9736   ;-3.90      ;5.318    ;4.977    ;     ~   
1425;* 16 Ari                           ;*  ;032.8002286020600 +25.9369422649900;  -8.211 -4.866     ;6.394     ;-15.10     ;7.376    ;5.999    ;     ~   
1426;* 20 Ari                           ;PM*;033.9418739363900 +25.7829383663100;176.818 -65.175     ;24.352    ;25.586     ;     ~   ;     ~   ;5.5      
1427;* 21 Ari                           ;** ;033.92823592 +25.04304520          ;  -89.72 -86.42     ;19.58     ;-47.20     ;6.08     ;5.58     ;     ~   
1428;* eps Ari A                        ;*  ;044.8030241800500 +21.3404273826100; -15.884 -7.151     ;9.0296    ;-7.9       ;5.21     ;5.16     ;     ~   
1429;* eps Ari                          ;** ;044.80302232 +21.34043264          ;   -13.74 -5.12     ;9.81      ;0.90       ;4.67     ;4.63     ;4.58     
1430;* 35 Vul                           ;*  ;321.9169071005900 +27.6085944348800;  41.336 20.923     ;16.9162   ;-8.0       ;5.421    ;5.379    ;     ~   
1431;* mu.01 Cyg                        ;PM*;326.035787300 +28.742606119        ;   277.4 -251.1     ;42.1      ;18.0       ;5.14     ;4.70     ;4.13     
1432;* mu. Cyg                          ;** ;326.0357430466654 +28.7426298618136;256.452 -239.685    ;45.1560   ;16.95      ;4.97     ;4.50     ;5.99     
1433;* 15 Peg                           ;PM*;328.1246533410400 +28.7935418554900;-59.169 -61.603     ;37.0591   ;18.921     ;5.95     ;5.53     ;     ~   
1434;* 23 Peg                           ;*  ;331.3944769315899 +28.9639797501200;  30.008 -9.695     ;10.2922   ;-16.50     ;5.640    ;5.700    ;     ~   
1435;NAME Matar                         ;SB*;340.7505368539500 +30.2212147137200; 19.957 -18.971     ;16.6308   ;4.17       ;3.81     ;2.95     ;2.31     
1436;* 64 Peg                           ;** ;350.4788979706200 +31.8124654869900;   8.777 -7.698     ;4.7612    ;0.70       ;5.234    ;5.348    ;     ~   
1437;* 67 Peg                           ;*  ;351.2118021370100 +32.3848806576800;   16.882 2.197     ;7.0862    ;14.70      ;5.470    ;5.548    ;     ~   
1438;* 73 Peg                           ;*  ;353.6591780402100 +33.4973282875800;  -4.591 21.277     ;10.558    ;-3.52      ;6.670    ;5.621    ;     ~   
1439;* 72 Peg                           ;** ;353.48828297 +31.32527939          ;   50.81 -17.46     ;5.94      ;-24.71     ;6.386    ;5.008    ;     ~   
1440;* del And                          ;SB*;009.8319799204 +30.8610217556      ;  114.45 -84.02     ;30.91     ;-9.88      ;4.56     ;3.28     ;2.36     
1441;* sig Psc                          ;SB*;015.7045699500800 +31.8042616763100; 15.146 -30.878     ;8.4535    ;10.4       ;5.45     ;5.50     ;     ~   
1442;* g Psc                            ;** ;017.7781804930800 +31.4247293475300;  -9.874 -9.132     ;3.8814    ;-1.70      ;5.400    ;5.152    ;     ~   
1443;* tau Psc                          ;PM*;017.9150715278900 +30.0896379347200; 73.384 -26.707     ;18.9653   ;29.19      ;5.605    ;4.511    ;     ~   
1444;NAME Mothallah                     ;SB*;028.2704462333 +29.5788278039      ;  10.82 -234.24     ;51.50     ;-12.6      ;3.90     ;3.42     ;3.00     
1445;* 10 Tri                           ;*  ;034.7374731105800 +28.6426756236300;    7.073 0.836     ;8.9971    ;0.40       ;5.307    ;5.291    ;     ~   
1446;V* VZ Ari                          ;a2*;042.1912635712200 +25.1880522341000;  60.139 -2.475     ;6.2922    ;13.8       ;5.850    ;5.890    ;     ~   
1447;* 14 Peg                           ;SB*;327.4612265322000 +30.1742124319000; 18.339 -26.378     ;12.3616   ;-22.9      ;5.070    ;5.069    ;     ~   
1448;* pi.01 Peg                        ;PM*;332.3067712319400 +33.1723547888200;-53.215 -73.313     ;11.2851   ;-6.98      ;6.562    ;5.582    ;     ~   
1449;* pi. Peg                          ;*  ;332.4968488075 +33.1782215622      ;  -12.87 -18.95     ;12.40     ;5.10       ;4.75     ;4.29     ;3.90     
1450;* 38 Peg                           ;** ;337.5075602315100 +32.5726384771900; 31.488 -13.836     ;8.2435    ;-17.30     ;5.61     ;5.65     ;     ~   
1451;* pi. And                          ;SB*;009.2202052354 +33.7193439994      ;    14.75 -3.51     ;5.45      ;8.20       ;4.20     ;4.36     ;4.40     
1452;* iot Tri                          ;** ;033.09283344 +30.30306751          ;  -65.05 -60.50     ;11.22     ;-19.98     ;5.741    ;4.952    ;     ~   
1453;* 12 Tri                           ;PM*;037.0415827921100 +29.6693293066100;-15.632 -86.097     ;20.4105   ;-24.8      ;5.580    ;5.290    ;     ~   
1454;* 13 Tri                           ;PM*;037.2020603568155 +29.9317579328378; -66.071 71.499     ;31.7031   ;41.193     ;6.478    ;5.901    ;     ~   
1455;* 33 Ari                           ;PM*;040.1711501304800 +27.0609435487500; 63.163 -26.952     ;12.6464   ;18.30      ;5.374    ;5.296    ;     ~   
1456;* 35 Ari                           ;SB*;040.8629761644000 +27.7071494092900;  8.502 -11.433     ;5.2876    ;13         ;4.54     ;4.67     ;4.69     
1457;NAME Bharani                       ;** ;042.4959718358 +27.2605072272      ;  66.81 -116.52     ;19.69     ;4.00       ;3.498    ;3.594    ;     ~   
1458;* zet Cyg                          ;SB*;318.2341080612 +30.2269154631      ;    6.51 -68.21     ;22.79     ;16.72      ;4.20     ;3.21     ;2.52     
1459;* 12 And                           ;PM*;350.2219317179000 +38.1823241882200;130.117 -58.960     ;23.7806   ;-10.15     ;6.212    ;5.765    ;     ~   
1460;* tet And                          ;** ;004.2729265135192 +38.6816357293394;-57.551 -14.795     ;18.8747   ;0.9        ;4.67     ;4.61     ;4.53     
1461;* rho And                          ;PM*;005.2802864133200 +37.9686054569600; 57.737 -38.838     ;19.9513   ;10.40      ;5.60     ;5.18     ;     ~   
1462;* sig And                          ;** ;004.5819060621 +36.7852251817      ;  -65.67 -42.00     ;24.20     ;-8.20      ;4.57     ;4.52     ;4.44     
1463;* mu. And                          ;PM*;014.1883837971 +38.4993439011      ;   153.48 36.49     ;25.14     ;7.20       ;3.99     ;3.87     ;3.72     
1464;NAME MIRACH                        ;PM*;017.43301617 +35.62055765          ; 175.90 -112.20     ;16.52     ;0.06       ;3.62     ;2.05     ;0.81     
1465;* 45 And                           ;** ;017.7928214155400 +37.7241244528400; -15.844 -5.486     ;4.9479    ;-1.50      ;5.690    ;5.786    ;     ~   
1466;* gam Tri                          ;PM*;034.3286126396 +33.8471930692      ;   44.64 -52.57     ;29.04     ;9.90       ;4.03     ;4.00     ;     ~   
1467;* 7 Tri                            ;*  ;033.9845316767200 +33.3588978371900;-15.234 -32.711     ;9.0683    ;-1.3       ;5.239    ;5.249    ;     ~   
1468;* 11 Tri                           ;*  ;036.8657132587900 +31.8012793467300;-24.331 -27.845     ;11.624    ;-41.80     ;6.667    ;5.552    ;     ~   
1469;NAME Lilii Borea                   ;PM*;041.9772559112 +29.2471147775      ; 149.47 -127.05     ;19.01     ;-15.53     ;5.630    ;4.510    ;3.72     
1470;* 1 Lac                            ;V* ;333.9924030463 +37.7487329283      ;     8.85 -0.72     ;5.25      ;-8.58      ;5.61     ;4.15     ;3.15     
1471;* 8 Lac A                          ;Be*;338.9678447934600 +39.6343296593800;  -1.888 -5.070     ;1.8914    ;-11.00     ;5.52     ;5.69     ;     ~   
1472;* 8 Lac B                          ;*  ;338.9670793884900 +39.6281499273800;  -1.721 -4.969     ;2.1711    ;-11.70     ;5.52     ;5.67     ;5.88     
1473;* 10 Lac                           ;** ;339.8153276550 +39.0502697644      ;    -0.32 -5.46     ;1.89      ;-10.10     ;4.670    ;4.880    ;4.98     
1474;* 12 Lac                           ;bC*;340.3693729439400 +40.2254471490500;  -2.005 -4.512     ;2.5877    ;-14.5      ;5.080    ;5.229    ;     ~   
1475;NAME Veritate                      ;PM*;352.8225552180200 +39.2361985287900;286.898 -84.043     ;13.1681   ;-59.824    ;6.24     ;     ~   ;4.6      
1476;* 15 And                           ;dS*;353.6564034738700 +40.2364396274600;-18.402 -46.401     ;13.0457   ;13.10      ;5.652    ;5.563    ;6.91     
1477;* 23 And                           ;PM*;003.3784999447500 +41.0353710571500;-123.558 -146.479   ;26.8715   ;-27.23     ;6.03     ;     ~   ;5.5      
1478;* 32 And                           ;*  ;010.2799357521500 +39.4586637530100; -14.297 -3.274     ;9.4654    ;-4.98      ;6.22     ;5.33     ;     ~   
1479;* nu. And                          ;SB*;012.4535306883 +41.0789101056      ;   22.77 -18.35     ;5.28      ;-23.9      ;4.38     ;4.53     ;4.56     
1480;* 47 And                           ;SB*;020.9192345089200 +37.7149442692600; 82.131 -18.986     ;15.7619   ;13.30      ;5.865    ;5.587    ;     ~   
1481;* 56 And                           ;PM*;029.0390193689000 +37.2518329488100; 183.259 11.572     ;9.9608    ;61.77      ;     ~   ;     ~   ;5.0      
1482;* bet Tri                          ;SB*;032.38594634 +34.98729706          ;  149.16 -39.10     ;25.71     ;12.30      ;3.14     ;3.00     ;2.86     
1483;* del Tri                          ;SB*;034.2634597449013 +34.2242320510472;1151.935 -246.605   ;91.6504   ;-6.57      ;5.48     ;     ~   ;4.5      
1484;* 15 Tri                           ;Pu*;038.9450885931900 +34.6875499161900; 26.689 -48.894     ;4.8075    ;-7.11      ;6.985    ;5.374    ;     ~   
1485;* 21 Per                           ;a2*;044.3220071736500 +31.9342204161600;  1.790 -30.088     ;9.3448    ;8.50       ;5.081    ;5.093    ;     ~   
1486;* ups Cyg                          ;Be*;319.4795243951700 +34.8968959621000;   5.667 -5.601     ;5.012     ;-0.70      ;4.32     ;4.42     ;4.37     
