C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
634 ;* iot Ori  ;* iot Ori                          ;SB*;05 35 25.9819073 -05 54 35.643537      ;     1.42 -0.46    ; 1.45 
635 ;* iot Pav  ;* iot Pav                          ;PM*;18 10 26.1511772984 -62 00 08.059294747;-75.806 226.863    ;     ~
636 ;* iot Peg  ;* iot Peg                          ;SB*;22 07 00.6620572743 +25 20 42.376138495; 298.420 26.161    ; 4.190
637 ;* iot Per  ;* iot Per                          ;PM*;03 09 04.0193012009 +49 36 47.802053343;1262.193 -91.083   ; 4.76 
638 ;V* iot Phe ;* iot Phe                          ;a2*;23 35 04.5708228254 -42 36 54.540881385;  39.908 10.844    ; 4.86 
639 ;* iot Pic  ;* iot Pic                          ;** ;04 50 54.7 -53 27 22                   ;            ~ ~    ;     ~
640 ;* iot Psc  ;* iot Psc                          ;PM*;23 39 57.0413764 +05 37 34.647529      ; 377.15 -437.43    ; 4.640
641 ;* iot PsA  ;* iot PsA                          ;PM*;21 44 56.8094370 -33 01 32.818026      ;   31.10 -94.56    ; 4.18 
642 ;* iot Ret  ;* iot Ret                          ;PM*;04 01 18.1516191 -61 04 43.755946      ;    66.79 94.80    ;     ~
643 ;* iot Sgr  ;* iot Sgr                          ;PM*;19 55 15.6969107 -41 52 05.838796      ;    22.61 51.40    ; 6.11 
644 ;* iot Scl  ;* iot Scl                          ;RG*;00 21 31.1979881305 -28 58 53.295660780; 33.263 -72.065    ;     ~
645 ;* iot Ser  ;* iot Ser                          ;** ;15 41 33.0546906 +19 40 13.437985      ;  -60.86 -43.69    ;     ~
646 ;* iot Tau  ;* iot Tau                          ;** ;05 03 05.7455626893 +21 35 23.865671091; 68.241 -41.319    ;     ~
647 ;* iot Tel  ;* iot Tel                          ;*  ;19 35 12.9858921948 -48 05 57.123766688; -7.872 -36.532    ;     ~
648 ;* iot Tri  ;* iot Tri                          ;** ;02 12 22.28003 +30 18 11.0430          ;  -65.05 -60.50    ; 6.048
649 ;* iot TrA  ;* iot TrA                          ;gD*;16 27 57.3451690929 -64 03 28.592059202;  53.597 26.065    ;     ~
650 ;* iot Tuc  ;* iot Tuc                          ;LP*;01 07 18.6652204028 -61 46 31.043785857; 73.920 -10.971    ;     ~
651 ;* iot UMa  ;* iot UMa                          ;** ;08 59 12.45362 +48 02 30.5741          ;-441.29 -215.32    ; 3.40 
652 ;* iot Vir  ;* iot Vir                          ;PM*;14 16 00.8695049 -06 00 01.963348      ; -26.31 -419.38    ; 4.64 
653 ;* iot Vol  ;* iot Vol                          ;*  ;06 51 26.9815028827 -70 57 48.275719813;   4.141 25.491    ; 4.91 
654 ;* kap And  ;* kap And                          ;PM*;23 40 24.5076320 +44 20 02.156595      ;   80.73 -18.70    ; 3.80 
655 ;* kap Aqr  ;* kap Aqr                          ;PM*;22 37 45.3804916 -04 13 40.993883      ; -69.23 -119.67    ;     ~
656 ;* kap Aql  ;* kap Aql                          ;*  ;19 36 53.4495162 -07 01 38.917563      ;     1.63 -2.65    ; 4.050
657 ;* kap Ara  ;* kap Ara                          ;*  ;17 26 00.0429536631 -50 38 00.623008847;   13.139 7.537    ;     ~
658 ;* kap Ari  ;* kap Ari                          ;SB*;02 06 33.9249723484 +22 38 53.947593963; 20.348 -35.671    ;     ~
659 ;* kap Aur  ;* kap Aur                          ;PM*;06 15 22.6890616 +29 29 53.076043      ; -70.88 -261.42    ; 6.17 
660 ;* kap Boo  ;* kap Boo                          ;** ;14 13 28.4 +51 47 20                   ;            ~ ~    ;     ~
661 ;V* kap Boo ;* kap02 Boo                        ;dS*;14 13 29.0092522950 +51 47 23.877557568;  60.962 -9.269    ;     ~
662 ;V* kap Cnc ;* kap Cnc                          ;a2*;09 07 44.8101438776 +10 40 05.527005225;-18.831 -12.628    ; 4.70 
663 ;V* kap CMa ;* kap CMa                          ;Be*;06 49 50.4593263 -32 30 30.522482      ;     -8.84 3.73    ; 2.73 
664 ;* kap Cap  ;* kap Cap                          ;PM*;21 42 39.5080810109 -18 51 58.755183216; 146.354 -8.343    ;     ~
665 ;V* kap Cas ;* kap Cas                          ;s*b;00 32 59.9911963 +62 55 54.417374      ;     3.65 -2.07    ; 3.50 
666 ;* kap Cen  ;* kap Cen                          ;** ;14 59 09.6849382 -42 06 15.106919      ;  -17.62 -22.51    ; 2.15 
667 ;* kap Cep  ;* kap Cep                          ;*  ;20 08 53.3449244738 +77 42 41.090858909;  12.044 26.199    ;     ~
668 ;* kap Cet  ;* kap01 Cet                        ;BY*;03 19 21.6963205 +03 22 12.715139      ;   269.30 93.75    ; 5.71 
669 ;* kap Cha  ;* kap Cha                          ;PM*;12 04 46.4709018443 -76 31 08.627222594; -77.805 45.837    ;     ~
670 ;* kap Col  ;* kap Col                          ;PM*;06 16 33.1351197 -35 08 25.863010      ;    -0.28 87.94    ; 6.20 
671 ;* kap CrA  ;* kap CrA                          ;** ;18 33 23.13 -38 43 33.6                ;            ~ ~    ;     ~
672 ;* kap CrB  ;* kap CrB                          ;PM*;15 51 13.9312943632 +35 39 26.573691158;-8.669 -348.350    ; 6.69 
673 ;* kap Crt  ;* kap Crt                          ;PM*;11 27 09.5158648763 -12 21 24.293624178;-100.108 23.758    ;     ~
674 ;* kap Cru  ;* kap Cru                          ;SB*;12 53 48.9195114429 -60 22 34.468234629;  -5.046 -1.093    ; 5.62 
675 ;* kap Cyg  ;* kap Cyg                          ;PM*;19 17 06.1686516 +53 22 06.453375      ;   60.07 122.83    ; 5.47 
676 ;* kap Del  ;* kap Del                          ;PM*;20 39 07.7867477765 +10 05 10.291671448; 317.681 32.566    ;     ~
677 ;* kap Dor  ;* kap Dor                          ;PM*;04 44 21.1819224095 -59 43 57.837426692;  22.115 38.760    ;     ~
678 ;V* kap Dra ;* kap Dra                          ;Be*;12 33 28.9420577565 +69 47 17.633094524; -58.162 11.802    ; 3.18 
679 ;* kap Eri  ;* kap Eri                          ;*  ;02 26 59.1217747 -47 42 13.824757      ;    19.32 -5.54    ; 3.61 
680 ;* kap For  ;* kap For                          ;PM*;02 22 32.6034277561 -23 49 00.487776704;  150.725 5.364    ;     ~
681 ;* kap Gem  ;* kap Gem                          ;** ;07 44 26.8535692 +24 23 52.787227      ;  -23.39 -54.57    ; 5.19 
682 ;* kap Gru  ;* kap Gru                          ;PM*;23 04 39.6278588871 -53 57 53.665079320;57.047 -104.882    ;     ~
683 ;* kap Her  ;* kap Her                          ;** ;16 08 04.7 +17 03 02                   ;            ~ ~    ;     ~
684 ;* kap Hya  ;* kap Hya                          ;V* ;09 40 18.3649593 -14 19 56.267439      ;  -23.41 -21.10    ;     ~
685 ;* kap Hyi  ;* kap Hyi                          ;PM*;02 22 52.3097840444 -73 38 44.855906878; -79.771 12.000    ;     ~
686 ;* kap Leo  ;* kap Leo                          ;** ;09 24 39.2587397 +26 10 56.364971      ;  -31.64 -48.20    ; 7.00 
687 ;* kap Lep  ;* kap Lep                          ;** ;05 13 13.87761 -12 56 28.6463          ;   -12.29 -0.79    ; 3.92 
688 ;* kap Lib  ;* kap Lib                          ;PM*;15 41 56.8000133371 -19 40 43.655033282; -32.06 -103.15    ; 8.24 
689 ;* kap Lup  ;* kap Lup                          ;Be*;15 11 56.0760514972 -48 44 16.127509644;-98.763 -51.638    ; 3.55 
690 ;* kap Lyr  ;* kap Lyr                          ;V* ;18 19 51.7090844 +36 03 52.369076      ;   -16.75 41.09    ; 6.70 
691 ;* kap Men  ;* kap Men                          ;PM*;05 50 16.7864871336 -79 21 40.900669491;  -4.951 66.554    ;     ~
692 ;* kap Nor  ;* kap Nor                          ;*  ;16 13 28.7287396557 -54 37 49.686001090; -3.845 -22.366    ; 6.79 
693 ;* kap Oct  ;* kap Oct                          ;PM*;13 40 55.4603707779 -85 47 09.762038483;-86.743 -22.664    ;     ~
694 ;V* kap Oph ;* kap Oph                          ;LP?;16 57 40.0978499 +09 22 30.112596      ; -292.13 -10.38    ; 5.52 
695 ;* kap Ori  ;* kap Ori                          ;s*b;05 47 45.3888404 -09 40 10.577707      ;     1.46 -1.28    ; 0.87 
696 ;V* kap Pav ;* kap Pav                          ;WV*;18 56 57.0309200480 -67 14 00.566631622;  -8.957 15.091    ;     ~
697 ;* kap Peg  ;* kap Peg                          ;SB*;21 44 38.73522 +25 38 42.1359          ;    48.13 14.29    ;     ~
698 ;* kap Per  ;* kap Per                          ;PM*;03 09 29.7715574 +44 51 27.146337      ; 172.99 -143.40    ; 5.62 
699 ;* kap Phe  ;* kap Phe                          ;PM*;00 26 12.2013436436 -43 40 47.390371480; 106.394 32.491    ; 4.22 
700 ;* kap Pic  ;* kap Pic                          ;*  ;05 22 22.1470229730 -56 08 03.825965635;  -5.956 21.973    ;     ~
701 ;V* kap Psc ;* kap Psc                          ;a2*;23 26 55.9557928466 +01 15 20.174323477; 87.115 -95.721    ; 4.94 
702 ;* kap Pyx  ;* kap Pyx                          ;*  ;09 08 02.8801483294 -25 51 30.733119811;   34.771 0.009    ; 8.04 
703 ;* kap Ret  ;* kap Ret                          ;PM*;03 29 22.6774206459 -62 56 15.104181615;382.538 373.589    ;     ~
704 ;V* kap Sco ;* kap Sco                          ;bC*;17 42 29.27520 -39 01 47.9391          ;   -6.05 -25.54    ; 1.32 
705 ;* kap Ser  ;* kap Ser                          ;PM*;15 48 44.3767639 +18 08 29.634222      ;  -51.88 -88.10    ; 7.66 
706 ;* kap Tel  ;* kap Tel                          ;PM*;18 52 39.6443585621 -52 06 26.542660007; 38.760 -95.997    ;     ~
707 ;* kap TrA  ;* kap TrA                          ;*  ;15 55 29.5988012097 -68 36 10.803582288;  -8.646 -6.327    ;     ~
708 ;* kap Tuc  ;* kap Tuc                          ;** ;01 15 46.16226 -68 52 33.3356          ;  412.11 127.74    ;     ~
709 ;* kap UMa  ;* kap UMa                          ;** ;09 03 37.52762 +47 09 23.4890          ;  -36.19 -55.40    ;     ~
710 ;* kap Vel  ;* kap Vel                          ;SB*;09 22 06.8176100 -55 00 38.401683      ;   -11.40 11.52    ; 1.5  
711 ;* kap Vir  ;* kap Vir                          ;PM*;14 12 53.7453840 -10 16 25.333997      ;    7.25 139.88    ; 7.00 
712 ;* lam And  ;* lam And                          ;RS*;23 37 33.8427800830 +46 27 29.344721109;159.606 -421.822   ; 5.54 
713 ;* lam Aqr  ;* lam Aqr                          ;LP*;22 52 36.8772324702 -07 34 46.582981294;  11.806 34.967    ; 7.20 
714 ;* lam Aql  ;* lam Aql                          ;PM*;19 06 14.9397099975 -04 52 57.231496924;-20.094 -89.100    ; 3.07 
715 ;* lam Ara  ;* lam Ara                          ;PM*;17 40 23.8255179884 -49 24 56.104103575;103.768 -175.592   ;     ~
716 ;* lam Ari  ;* lam Ari                          ;PM*;01 57 55.7164654 +23 35 45.829535      ;  -92.55 -13.25    ;     ~
717 ;* lam Aur  ;* lam Aur                          ;PM*;05 19 08.4754499121 +40 05 56.585080940;520.569 -664.488   ; 5.46 
718 ;* lam Boo  ;* lam Boo                          ;dS*;14 16 23.0187965 +46 05 17.900526      ; -187.33 159.05    ; 4.31 
719 ;* lam Cae  ;* lam Cae                          ;*  ;04 43 44.2721124181 -41 03 53.233951054;    10.82 10.93    ;     ~
720 ;* lam Cnc  ;* lam Cnc                          ;*  ;08 20 32.1363090808 +24 01 20.324402176;-20.809 -19.252    ; 5.740
721 ;* lam CMa  ;* lam CMa                          ;*  ;06 28 10.2074721 -32 34 48.245488      ;   -14.41 25.21    ; 3.70 
722 ;* lam Cap  ;* lam Cap                          ;*  ;21 46 32.0968955529 -11 21 57.449330234;  29.199 -8.757    ;     ~
723 ;V* lam Car ;V* lam Car                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
724 ;* lam Cas  ;* lam Cas                          ;** ;00 31 46.3593467 +54 31 20.225689      ;   41.20 -16.54    ;     ~
725 ;* lam Cen  ;* lam Cen                          ;*  ;11 35 46.8790838328 -63 01 11.396483522; -34.270 -7.912    ; 2.96 
726 ;* lam Cep  ;* lam Cep                          ;s*b;22 11 30.5750839949 +59 24 52.147736074; -6.328 -10.378    ; 4.55 
727 ;* lam Cet  ;* lam Cet                          ;*  ;02 59 42.8998715 +08 54 26.489871      ;    6.01 -17.70    ; 4.13 
728 ;V* lam Col ;* lam Col                          ;El*;05 53 06.8821752235 -33 48 04.900546885;  -4.548 30.664    ; 4.16 
729 ;* lam CrA  ;* lam CrA                          ;PM*;18 43 46.9414349214 -38 19 24.394057537;  1.047 -53.774    ;     ~
730 ;* lam CrB  ;* lam CrB                          ;PM*;15 55 47.5877409266 +37 56 49.039703238;  29.099 79.528    ;     ~
731 ;* lam Crt  ;* lam Crt                          ;SB*;11 23 21.8814666155 -18 46 48.128136896;-319.253 -17.823   ;     ~
732 ;* lam Cru  ;* lam Cru                          ;Be*;12 54 39.1825757 -59 08 48.122859      ;  -32.92 -14.60    ; 3.86 
733 ;V* lam Cyg ;* lam Cyg                          ;** ;20 47 24.53766 +36 29 26.5737          ;    14.71 -8.96    ; 3.93 
734 ;* lam Dor  ;* lam Dor                          ;*  ;05 26 19.2666877189 -58 54 45.067948687; -10.259 33.582    ;     ~
735 ;* lam Dra  ;* lam Dra                          ;V* ;11 31 24.2207524 +69 19 51.869616      ;  -40.97 -19.19    ; 7.44 
736 ;* lam Eri  ;* lam Eri                          ;Be*;05 09 08.7831482 -08 45 14.690823      ;     0.25 -1.97    ; 3.17 
737 ;* lam Gem  ;* lam Gem                          ;PM*;07 18 05.5801227701 +16 32 25.396438474;  -44.43 -36.61    ;     ~
738 ;* lam Gru  ;* lam Gru                          ;PM*;22 06 06.8856828 -39 32 36.065850      ; -23.80 -124.58    ;     ~
739 ;* lam Her  ;* lam Her                          ;V* ;17 30 44.3099693623 +26 06 38.312491922;  18.690 16.942    ; 7.53 
740 ;* lam Hor  ;* lam Hor                          ;PM*;02 24 53.9103440164 -60 18 43.017036884;-71.892 -131.088   ;     ~
741 ;* lam Hya  ;* lam Hya                          ;SB*;10 10 35.2885811545 -12 21 14.858923765;-217.433 -74.373   ; 5.53 
742 ;* lam Hyi  ;* lam Hyi                          ;PM*;00 48 35.4187515705 -74 55 24.368126226;132.543 -34.114    ;     ~
743 ;* lam Leo  ;* lam Leo                          ;V* ;09 31 43.2275352 +22 58 04.690399      ;  -20.17 -39.47    ; 7.74 
744 ;V* lam LMi ;V* lam LMi                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
745 ;* lam Lep  ;* lam Lep                          ;*  ;05 19 34.5240485 -13 10 36.440791      ;    -3.30 -4.91    ; 3.03 
746 ;V* lam Lib ;* lam Lib                          ;SB*;15 53 20.0553041075 -20 10 01.442049195;-14.322 -19.616    ; 4.43 
747 ;* lam Lup  ;* lam Lup                          ;SB*;15 08 50.6128505350 -45 16 47.500979673;-15.707 -18.158    ; 3.18 
748 ;* lam Lyr  ;* lam Lyr                          ;V* ;19 00 00.8253423216 +32 08 43.841834157;    6.526 9.765    ;     ~
749 ;* lam Men  ;* lam Men                          ;*  ;05 47 48.1338612517 -72 42 08.103258581;  -7.181 24.522    ;     ~
750 ;* lam Mus  ;* lam Mus                          ;PM*;11 45 36.4191583 -66 43 43.543945      ;  -100.35 33.49    ; 3.96 
751 ;* lam Nor  ;* lam Nor                          ;** ;16 19 17.6466043 -42 40 26.301386      ;    7.59 -13.30    ;     ~
752 ;* lam Oct  ;* lam Oct                          ;** ;21 50 54.56355 -82 43 08.0450          ;   68.14 -31.86    ;     ~
753 ;* lam Oph  ;* lam Oph                          ;** ;16 30 54.82314 +01 59 02.1209          ;  -30.98 -73.42    ;     ~
754 ;* lam Ori  ;* lam Ori                          ;** ;05 35 08.27761 +09 56 02.9611          ;    -0.34 -2.94    ; 2.45 
755 ;* lam Pav  ;* lam Pav                          ;Be*;18 52 13.0342656 -62 11 15.332363      ;   -1.86 -13.02    ; 3.19 
756 ;* lam Peg  ;* lam Peg                          ;PM*;22 46 31.8778614 +23 33 56.356140      ;   55.75 -10.15    ; 5.93 
757 ;* lam Per  ;* lam Per                          ;*  ;04 06 35.0435954 +50 21 04.549959      ;  -12.75 -35.60    ; 4.27 
758 ;* lam Pic  ;* lam Pic                          ;PM*;04 42 46.4240293933 -50 28 52.807149021; -36.283 34.779    ;     ~
759 ;* lam Psc  ;* lam Psc                          ;PM*;23 42 02.8061182 +01 46 48.148410      ;-129.70 -154.80    ; 4.79 
760 ;* lam PsA  ;* lam PsA                          ;*  ;22 14 18.7502895704 -27 46 00.875582402;   23.889 2.562    ;     ~
761 ;* lam Pyx  ;* lam Pyx                          ;PM*;09 23 12.2513165544 -28 50 01.878810428;-127.776 21.673    ; 6.22 
762 ;* lam Sgr  ;* lam Sgr                          ;PM*;18 27 58.2407185 -25 25 18.114589      ; -44.76 -185.66    ; 4.75 
763 ;V* lam Sco ;* lam Sco                          ;bC*;17 33 36.52012 -37 06 13.7648          ;   -8.53 -30.80    ; 0.52 
764 ;* lam Ser  ;* lam Ser                          ;PM*;15 46 26.6144291449 +07 21 11.041647444;-224.107 -69.384   ; 5.13 
765 ;V* lam Tau ;* lam Tau                          ;EB*;04 00 40.8157175 +12 29 25.225937      ;   -8.02 -14.42    ; 2.66 
766 ;* lam Tel  ;* lam Tel                          ;*  ;18 58 27.7671030 -52 56 19.062207      ;    12.18 -8.76    ;     ~
767 ;* lam Tuc  ;* lam Tuc                          ;RG*;00 55 00.3112900792 -69 31 37.502465642;  6.842 -43.735    ;     ~
768 ;* lam UMa  ;* lam UMa                          ;PM*;10 17 05.7736525022 +42 54 51.766171028;-148.409 -41.928   ; 3.54 
769 ;V* lam UMi ;* lam UMi                          ;LP*;17 16 56.4107068491 +89 02 15.734282923; -23.989 -3.463    ; 9.74 
770 ;* lam Vel  ;* lam Vel                          ;LP*;09 07 59.75787 -43 25 57.3273          ;   -24.01 13.52    ; 5.67 
771 ;* lam Vir  ;* lam Vir                          ;SB*;14 19 06.5923499 -13 22 15.945905      ;   -15.91 28.92    ; 4.750
772 ;* mu. And  ;* mu. And                          ;PM*;00 56 45.2121113 +38 29 57.638044      ;   153.48 36.49    ; 4.14 
773 ;* mu. Aqr  ;* mu. Aqr                          ;SB*;20 52 39.2327670 -08 58 59.949931      ;   45.75 -33.59    ;     ~
774 ;* mu. Aql  ;* mu. Aql                          ;PM*;19 34 05.3529921054 +07 22 44.184329526;213.280 -156.953   ; 6.87 
775 ;* mu. Ara  ;* mu. Ara                          ;PM*;17 44 08.7036342277 -51 50 02.591049123;-15.310 -190.919   ;     ~
776 ;* mu. Ari  ;* mu. Ari                          ;** ;02 42 21.9364821570 +20 00 41.268974046; 28.440 -45.688    ; 5.640
777 ;* mu. Aur  ;* mu. Aur                          ;** ;05 13 25.7204229629 +38 29 04.147218748;  -19.18 -72.93    ;     ~
778 ;* mu. Boo  ;* mu.01 Boo                        ;** ;15 24 29.4311310088 +37 22 37.691927808;-149.415 93.960    ;     ~
779 ;* mu. Cnc  ;* mu.02 Cnc                        ;PM*;08 07 45.8558112053 +21 34 54.532453099; 23.610 -68.122    ; 6.14 
780 ;* mu. CMa  ;* mu. CMa A                        ;*  ;06 56 06.6461250170 -14 02 36.342141799;   -1.309 5.801    ;     ~
781 ;* mu. Cap  ;* mu. Cap                          ;PM*;21 53 17.7704445429 -13 33 06.366703913; 310.526 12.627    ;     ~
782 ;* mu. Cas  ;* mu. Cas                          ;SB*;01 08 16.3029454473 +54 55 12.561201263;3468.251 -1564.844 ; 5.93 
783 ;* mu. Cen  ;* mu. Cen                          ;Be*;13 49 36.9886294 -42 28 25.429594      ;  -24.25 -18.64    ; 2.37 
784 ;* mu. Cep  ;* mu. Cep                          ;s*r;21 43 30.4610574 +58 46 48.160181      ;     5.36 -3.51    ; 8.85 
785 ;* mu. Cet  ;* mu. Cet                          ;dS*;02 44 56.5409823 +10 06 50.908913      ;  282.70 -32.53    ;     ~
786 ;* mu. Cha  ;* mu. Cha                          ;*  ;10 00 43.7987347932 -82 12 52.812796153; -26.639 31.129    ;     ~
787 ;* mu. Col  ;* mu. Col                          ;V* ;05 45 59.8953630749 -32 18 23.164726112;  2.988 -22.030    ; 3.84 
788 ;* mu. CrA  ;* mu. CrA                          ;*  ;18 47 44.6175866456 -40 24 22.195471470; 23.815 -18.467    ;     ~
789 ;* mu. CrB  ;* mu. CrB                          ;V* ;15 35 14.9197072859 +39 00 36.230097266;   23.969 9.425    ; 8.76 
790 ;* mu. Cru  ;* mu. Cru                          ;** ;12 54 36.1 -57 10 23                   ;            ~ ~    ;     ~
791 ;* mu. Cyg  ;* mu. Cyg                          ;** ;21 44 08.5783311997 +28 44 33.467502529;256.452 -239.685   ;     ~
792 ;* mu. Dor  ;* mu. Dor                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
793 ;* mu. Dra  ;* mu. Dra                          ;** ;17 05 20.12403 +54 28 12.0994          ;   -58.16 67.87    ;     ~
794 ;* mu. Eri  ;* mu. Eri                          ;EB*;04 45 30.1503818 -03 15 16.776562      ;   15.94 -14.52    ; 3.26 
795 ;* mu. For  ;* mu. For                          ;*  ;02 12 54.4694842885 -30 43 25.772546455;   14.849 6.552    ;     ~
796 ;V* mu. Gem ;* mu. Gem                          ;LP*;06 22 57.62686 +22 30 48.8979          ;  56.39 -110.03    ; 6.37 
797 ;* mu. Her  ;* mu.01 Her                        ;** ;17 46 27.5472960785 +27 43 14.560978925;-312.087 -773.179  ; 4.56 
798 ;* mu. Hor  ;* mu. Hor                          ;PM*;03 03 36.8188120817 -59 44 15.984484054;-73.704 -63.770    ;     ~
799 ;* mu. Hya  ;* mu. Hya                          ;PM*;10 26 05.42630 -16 50 10.6429          ; -129.17 -79.76    ; 7.11 
800 ;* mu. Hyi  ;* mu. Hyi                          ;PM*;02 31 40.5319042773 -79 06 33.875569408;  137.24 -54.22    ;     ~
801 ;* mu. Ind  ;* mu. Ind                          ;*  ;21 05 14.2485477004 -54 43 37.347582405; 15.527 -37.222    ;     ~
802 ;* mu. Leo  ;* mu. Leo                          ;PM*;09 52 45.8165435 +26 00 25.031882      ; -217.31 -54.26    ; 6.50 
803 ;* mu. Lep  ;* mu. Lep                          ;a2*;05 12 55.9051909878 -16 12 19.653781382;   47.09 -16.39    ; 2.78 
804 ;* mu. Lib  ;* mu. Lib                          ;** ;14 49 19.05130 -14 08 56.4766          ;  -65.95 -14.54    ; 5.33 
805 ;* mu. Lup  ;* mu. Lup                          ;Be*;15 18 32.02296 -47 52 30.9957          ;  -29.59 -35.07    ; 3.82 
806 ;* mu. Lyr  ;* mu. Lyr                          ;*  ;18 24 13.7859856391 +39 30 26.047298435; -21.825 -4.460    ; 5.22 
807 ;* mu. Men  ;* mu. Men                          ;*  ;04 43 03.9630568530 -70 55 51.714712811;     9.32 34.93    ; 4.96 
808 ;V* mu. Mus ;* mu. Mus                          ;LP*;11 48 14.5328219850 -66 48 53.671163613; 31.223 -15.938    ;     ~
809 ;V* mu. Nor ;* mu. Nor                          ;s*b;16 34 05.0202815 -44 02 43.128156      ;     0.02 -1.98    ; 4.05 
810 ;* mu. Oph  ;* mu. Oph                          ;*  ;17 37 50.7130843 -08 07 07.574857      ;  -11.31 -20.47    ; 4.53 
811 ;* mu. Ori  ;* mu. Ori                          ;SB*;06 02 22.99668 +09 38 50.1820          ;   10.43 -39.09    ; 4.40 
812 ;* mu. Peg  ;* mu. Peg                          ;PM*;22 50 00.1931506 +24 36 05.698380      ;  144.70 -41.87    ; 5.10 
813 ;* mu. Per  ;* mu. Per                          ;SB*;04 14 53.8625277 +48 24 33.591168      ;    5.52 -17.37    ; 5.75 
814 ;* mu. Phe  ;* mu. Phe                          ;*  ;00 41 19.5522921 -46 05 06.018390      ;    -28.20 1.80    ; 6.28 
815 ;* mu. Pic  ;* mu. Pic                          ;** ;06 31 58.3107713974 -58 45 13.810257073;   -1.642 1.549    ;     ~
816 ;* mu. Psc  ;* mu. Psc                          ;PM*;01 30 11.1144367 +06 08 37.757690      ;  292.00 -45.95    ; 7.75 
817 ;* mu. PsA  ;* mu. PsA                          ;PM*;22 08 23.0147774398 -32 59 18.378259174; 71.315 -33.001    ; 4.60 
818 ;* mu. Sgr  ;* mu. Sgr                          ;s*b;18 13 45.8088401 -21 03 31.794073      ;     0.30 -0.48    ; 3.60 
819 ;* mu. Sco  ;* mu. Sco                          ;** ;16 51 52.24 -38 02 50.4                ;            ~ ~    ;     ~
820 ;* mu. Scl  ;* mu. Scl                          ;PM*;23 40 38.1489833609 -32 04 23.247794017;  -91.30 -53.29    ;     ~
821 ;* mu. Ser  ;* mu. Ser                          ;** ;15 49 37.20696 -03 25 48.7358          ; -100.28 -25.99    ; 3.39 
822 ;* mu. Tau  ;* mu. Tau                          ;*  ;04 15 32.0568707393 +08 53 32.491567629; 20.881 -22.789    ; 3.74 
823 ;* mu. Tel  ;* mu. Tel                          ;*  ;19 30 34.6119920104 -55 06 36.194394066; 38.457 -11.251    ;     ~
824 ;* mu. UMa  ;* mu. UMa                          ;SB*;10 22 19.7397659 +41 29 58.269105      ;   -81.47 35.34    ; 6.53 
825 ;* mu. Vel  ;* mu. Vel                          ;** ;10 46 46.17877 -49 25 12.9244          ;   63.22 -54.21    ; 4.16 
826 ;* mu. Vir  ;* mu. Vir                          ;PM*;14 43 03.6228218 -05 39 29.532712      ; 103.28 -318.63    ; 4.25 
827 ;* nu. And  ;* nu. And                          ;SB*;00 49 48.8473652 +41 04 44.076380      ;   22.77 -18.35    ; 3.80 
828 ;* nu. Aqr  ;* nu. Aqr                          ;PM*;21 09 35.6488810 -11 22 18.085110      ;   94.12 -14.62    ; 6.13 
829 ;* nu. Aql  ;* nu. Aql                          ;*  ;19 26 31.0891514908 +00 20 18.860635125;  -0.447 -2.635    ; 5.71 
830 ;V* nu. Aql ;V* nu. Aql                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
831 ;* nu. Ari  ;* nu. Ari                          ;*  ;02 38 48.9924921669 +21 57 41.047273075; -4.203 -15.074    ;     ~
832 ;* nu. Aur  ;* nu. Aur                          ;*  ;05 51 29.3717403689 +39 08 54.596979607;    6.201 6.463    ; 6.160
833 ;* nu. Boo  ;* nu. Boo                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
834 ;* nu. Cae  ;* nu. Cae                          ;PM*;04 50 16.1803581651 -41 19 15.051107770;    -3.11 66.37    ;     ~
835 ;* nu. Cnc  ;* nu. Cnc                          ;SB*;09 02 44.2662358862 +24 27 10.417540108;  -3.575 -3.219    ;     ~
836 ;* nu. Cap  ;* nu. Cap                          ;*  ;20 20 39.8156206 -12 45 32.684421      ;   14.74 -14.32    ; 4.61 
837 ;* nu. Cas  ;* nu. Cas                          ;V* ;00 48 50.0171080068 +50 58 05.398156823;  32.113 -8.370    ;     ~
838 ;V* nu. Cen ;* nu. Cen                          ;SB*;13 49 30.2764388 -41 41 15.752069      ;  -26.77 -20.18    ; 2.31 
839 ;* nu. Cep  ;* nu. Cep                          ;sg*;21 45 26.9247788 +61 07 14.899897      ;    -3.74 -2.10    ; 4.94 
840 ;* nu. Cet  ;* nu. Cet                          ;*  ;02 35 52.4733897 +05 35 35.689846      ;  -26.51 -22.32    ;     ~
841 ;* nu. Cha  ;* nu. Cha                          ;PM*;09 46 20.6300977519 -76 46 34.025884828; 83.279 -56.443    ;     ~
842 ;* nu. Col  ;* nu. Col                          ;*  ;06 42 00.0 -44 18 00                   ;            ~ ~    ;     ~
843 ;* nu. Crv  ;* nu. Crv                          ;*  ;No Coord.                              ;            ~ ~    ;     ~
