C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
202 ;NGC   206  ;NGC 206                            ;As*;010.1408 +40.7394                  ;            ~ ~   ;      ~  ;~            ;     ~   
203 ;NGC   207  ;NGC 207                            ;EmG;009.919658 -14.237078              ;            ~ ~   ;      ~  ;3975.6       ;     ~   
204 ;NGC   208  ;NGC 208                            ;GiG;010.0733166957600 +02.7563129491900;            ~ ~   ;      ~  ;5070         ;     ~   
205 ;NGC   209  ;NGC 209                            ;G  ;009.7649463974100 -18.6082598980600;            ~ ~   ;      ~  ;3931         ;     ~   
206 ;NGC   210  ;NGC 210                            ;GiP;010.1458031705700 -13.8727776625300;            ~ ~   ;      ~  ;1628.3       ;     ~   
207 ;NGC   212  ;NGC 212                            ;BiC;010.0555522420100 -56.1530731389600;            ~ ~   ;      ~  ;8227         ;     ~   
208 ;NGC   213  ;NGC 213                            ;G  ;010.2916727647500 +16.4692951409100;            ~ ~   ;      ~  ;5446         ;     ~   
209 ;NGC   214  ;NGC 214                            ;AGN;010.3667654292100 +25.4993982555000;            ~ ~   ;      ~  ;4537.7       ;     ~   
210 ;NGC   215  ;NGC 215                            ;BiC;010.2036808571700 -56.2141814318000;            ~ ~   ;      ~  ;8188         ;     ~   
211 ;NGC   216  ;NGC 216                            ;EmG;010.362021 -21.048028              ;            ~ ~   ;      ~  ;1579.7       ;13.12    
212 ;NGC   217  ;NGC 217                            ;GiC;010.3912216996800 -10.0214079541800;            ~ ~   ;      ~  ;3944         ;12.10    
213 ;NGC   218  ;NGC 218                            ;LSB;010.435929 +36.359581              ;            ~ ~   ;      ~  ;4841         ;     ~   
214 ;NGC   219  ;NGC 219                            ;GiC;010.5471365956200 +00.9045551688100;            ~ ~   ;      ~  ;5404         ;     ~   
215 ;NGC   220  ;NGC 220                            ;OpC;010.23317 -73.40281                ;            ~ ~   ;      ~  ;~            ;14.39    
216 ;NGC   221  ;M 32                               ;IG ;010.674271 +40.865169              ;     -17.0 -5.0   ;      ~  ;-199.0       ;8.08     
217 ;NGC   222  ;NGC 222                            ;OpC;010.17546 -73.38356                ;            ~ ~   ;      ~  ;~            ;12.64    
218 ;NGC   223  ;NGC 223                            ;LIN;010.5661551170600 +00.8454853533300;            ~ ~   ;      ~  ;5312         ;     ~   
219 ;NGC   224  ;NAME Andromeda                     ;G  ;010.684708 +41.268750              ;            ~ ~   ;6.0      ;-300.0       ;3.44     
220 ;NGC   225  ;NGC 225                            ;OpC;010.8050 +61.7740                  ;  -5.373 -0.093   ;1.432    ;-28.0        ;7.0      
221 ;NGC   226  ;NGC 226                            ;GiG;010.7252553757600 +32.5809280760000;            ~ ~   ;      ~  ;4828         ;     ~   
222 ;NGC   227  ;NGC 227                            ;GiG;010.653500 -01.528783              ;            ~ ~   ;      ~  ;5298         ;     ~   
223 ;NGC   228  ;NGC 228                            ;GiG;010.7270527156200 +23.5030886420200;            ~ ~   ;      ~  ;7420         ;     ~   
224 ;NGC   229  ;NGC 229                            ;GiG;010.7694467223000 +23.5091054675900;   2.396 -0.202   ;      ~  ;7247         ;     ~   
225 ;NGC   230  ;NGC 230                            ;GiG;010.613296 -23.628806              ;            ~ ~   ;      ~  ;6759         ;     ~   
226 ;NGC   231  ;NGC 231                            ;OpC;010.28017 -73.34956                ;            ~ ~   ;      ~  ;~            ;12.87    
227 ;NGC   232  ;NGC 232                            ;GiG;010.690892 -23.561303              ;            ~ ~   ;      ~  ;6624         ;     ~   
228 ;NGC   233  ;NGC 233                            ;GiG;010.9024035839900 +30.5869617115100;            ~ ~   ;      ~  ;5397         ;     ~   
229 ;NGC   234  ;NGC 234                            ;EmG;010.8849239710000 +14.3426104643900;   0.008 -0.505   ;      ~  ;4416         ;     ~   
230 ;NGC   235A ;NGC 235                            ;Sy2;010.7200431106800 -23.5410330094700;            ~ ~   ;      ~  ;6590         ;     ~   
231 ;NGC   235B ;ESO 474-17                         ;GiP;010.7183 -23.5428                  ;            ~ ~   ;      ~  ;6772         ;     ~   
232 ;NGC   236  ;NGC 236                            ;GiG;010.8646942232800 +02.9581766473900;            ~ ~   ;      ~  ;5643         ;     ~   
233 ;NGC   237  ;NGC 237                            ;AGN;010.8660950000600 -00.1249458915000;            ~ ~   ;      ~  ;4179.8       ;13.06    
234 ;NGC   238  ;NGC 238                            ;G  ;010.8572687722500 -50.1828704739700;            ~ ~   ;      ~  ;8607.5       ;     ~   
235 ;NGC   239  ;NGC 239                            ;EmG;011.156317 -03.759225              ;            ~ ~   ;      ~  ;3730         ;     ~   
236 ;NGC   240  ;NGC 240                            ;G  ;011.2580280803900 +06.1132891022600;            ~ ~   ;      ~  ;11975        ;     ~   
237 ;NGC   241  ;NAME Cl Kron 22W                   ;Cl*;010.88642 -73.44039                ;            ~ ~   ;      ~  ;~            ;     ~   
238 ;NGC   242  ;NAME ESO29-6e                      ;OpC;010.90654 -73.44386                ;            ~ ~   ;      ~  ;~            ;     ~   
239 ;NGC   243  ;NGC 243                            ;GiG;011.5036117201000 +29.9595461095700;    0.359 0.632   ;0.2407   ;4814         ;     ~   
240 ;NGC   244  ;NGC 244                            ;bCG;011.4434023733600 -15.5967757238100;  -0.408 -0.042   ;0.1595   ;941.6        ;     ~   
241 ;NGC   245  ;NGC 245                            ;H2G;011.522479 -01.723392              ;            ~ ~   ;      ~  ;4085.5       ;     ~   
242 ;NGC   246  ;NGC 246                            ;PN ;011.7639251423400 -11.8719364239100; -16.914 -9.240   ;1.7993   ;-15.70       ;11.76    
243 ;NGC   247  ;NGC 247                            ;LSB;011.785642 -20.760400              ;            ~ ~   ;      ~  ;159          ;9.10     
244 ;NGC   247B ;ESO 540-23                         ;EmG;011.8964661108900 -20.4286582842200;            ~ ~   ;      ~  ;5988         ;     ~   
245 ;NGC   248  ;NGC 248                            ;Cl*;011.35029 -73.37900                ;            ~ ~   ;      ~  ;~            ;     ~   
246 ;NGC   249  ;NGC 249                            ;HII;011.3758 -73.0797                  ;            ~ ~   ;      ~  ;~            ;     ~   
247 ;NGC   250  ;NGC 250                            ;GiG;011.8167680703664 +07.9100351603967;            ~ ~   ;      ~  ;5262         ;     ~   
248 ;NGC   251  ;NGC 251                            ;GiP;011.9750916926700 +19.5969033916500;            ~ ~   ;      ~  ;4555         ;     ~   
249 ;NGC   252  ;NGC 252                            ;GiG;012.0062791240800 +27.6239148276000;            ~ ~   ;      ~  ;4938         ;12.49    
250 ;NGC   253  ;NAME Silver Coin                   ;SyG;011.888058 -25.288800              ;            ~ ~   ;      ~  ;258.8        ;     ~   
251 ;NGC   254  ;NGC 254                            ;GiP;011.8651681646900 -31.4218328038300;   0.509 -0.365   ;      ~  ;1567         ;11.82    
252 ;NGC   255  ;NGC 255                            ;GiG;011.947121 -11.468697              ;            ~ ~   ;      ~  ;1586.2       ;     ~   
253 ;NGC   256  ;NGC 256                            ;OpC;011.47546 -73.50664                ;            ~ ~   ;      ~  ;~            ;12.50    
254 ;NGC   257  ;NGC 257                            ;GiG;012.0062882459600 +08.2970849497500;            ~ ~   ;      ~  ;5220.6       ;     ~   
255 ;NGC   258  ;NGC 258                            ;G  ;012.0532972732800 +27.6572069287800;            ~ ~   ;      ~  ;~            ;     ~   
256 ;NGC   259  ;NGC 259                            ;EmG;012.013671 -02.775281              ;            ~ ~   ;      ~  ;4063.8       ;     ~   
257 ;NGC   260  ;NGC 260                            ;GiG;012.1444552153600 +27.6923858471700;            ~ ~   ;      ~  ;5213         ;     ~   
258 ;NGC   261  ;NGC 261                            ;HII;011.6313 -73.1044                  ;            ~ ~   ;      ~  ;~            ;     ~   
259 ;NGC   262  ;NGC 262                            ;Sy2;012.1964261387300 +31.9569566412300;0.00864 -0.08682  ;      ~  ;4540         ;13.06    
260 ;NGC   263  ;NGC 263                            ;G  ;012.2019509971200 -13.1073715888600;            ~ ~   ;      ~  ;6760         ;     ~   
261 ;NGC   264  ;NGC 264                            ;G  ;012.0872929979700 -38.2343818136500;   0.147 -0.146   ;0.1913   ;4905         ;     ~   
262 ;NGC   265  ;[MA93] 163                         ;Em*;011.7975 -73.4769                  ;            ~ ~   ;      ~  ;~            ;12.17    
263 ;NGC   266  ;NGC 266                            ;LIN;012.4492290783300 +32.2777183874800;            ~ ~   ;      ~  ;4648         ;11.63    
264 ;NGC   267  ;NGC 267                            ;HII;012.0108 -73.2775                  ;            ~ ~   ;      ~  ;~            ;     ~   
265 ;NGC   268  ;NGC 268                            ;EmG;012.5397828595700 -05.1937128510300;   -0.126 0.000   ;      ~  ;5469.7       ;     ~   
266 ;NGC   269  ;NGC 269                            ;Cl*;012.09271 -73.53022                ;            ~ ~   ;      ~  ;~            ;12.59    
267 ;NGC   270  ;NGC 270                            ;GiG;012.6354333991800 -08.6516793322200;            ~ ~   ;      ~  ;3750         ;     ~   
268 ;NGC   271  ;NGC 271                            ;GiG;012.6744345223900 -01.9102890046500;            ~ ~   ;      ~  ;4070         ;     ~   
269 ;NGC   272  ;NGC 272                            ;Cl*;012.8250 +35.8333                  ;            ~ ~   ;      ~  ;~            ;     ~   
270 ;NGC   273  ;NGC 273                            ;G  ;012.7018893913500 -06.8856918739200;            ~ ~   ;      ~  ;4715         ;     ~   
271 ;NGC   274  ;NGC 274                            ;GiP;012.7577037774300 -07.0570088916700;            ~ ~   ;      ~  ;1666         ;     ~   
272 ;NGC   275  ;NGC 275                            ;GiP;012.7700 -07.0664                  ;            ~ ~   ;      ~  ;1734         ;     ~   
273 ;NGC   276  ;NGC 276                            ;EmG;013.0273991976800 -22.6801169104200;            ~ ~   ;      ~  ;13517        ;     ~   
274 ;NGC   277  ;NGC 277                            ;GiG;012.8218249255100 -08.5968373457500;            ~ ~   ;      ~  ;4296         ;     ~   
275 ;NGC   278  ;NGC 278                            ;H2G;013.0181050057200 +47.5504652850100;   -0.128 0.326   ;0.3034   ;641          ;     ~   
276 ;NGC   279  ;NGC 279                            ;Q? ;013.0373062899100 -02.2184321299500;   -0.502 0.678   ;1.9525   ;3850         ;     ~   
277 ;NGC   280  ;NGC 280                            ;GiG;013.1261106073600 +24.3505581323700;            ~ ~   ;      ~  ;10165        ;     ~   
278 ;NGC   281A ;NGC 281A                           ;MoC;013.1046 +56.5650                  ;            ~ ~   ;      ~  ;~            ;     ~   
279 ;NGC   281B ;NGC 281B                           ;MoC;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
280 ;NGC   281E ;NGC 281E                           ;HII;013.5613 +56.5564                  ;            ~ ~   ;      ~  ;~            ;     ~   
281 ;NGC   281W ;NGC 281                            ;HII;013.1046 +56.5650                  ;            ~ ~   ;      ~  ;-33.7        ;     ~   
282 ;NGC   282  ;NGC 282                            ;G  ;013.1756042931300 +30.6390230641600;            ~ ~   ;      ~  ;6560         ;     ~   
283 ;NGC   283  ;NGC 283                            ;GiG;013.3050725831500 -13.1638733466400;            ~ ~   ;      ~  ;11020        ;     ~   
284 ;NGC   284  ;NGC 284                            ;G  ;013.3750 -13.1500                  ;            ~ ~   ;      ~  ;11456        ;     ~   
285 ;NGC   285  ;NGC 285                            ;GiG;013.3744594209900 -13.1607577597700;            ~ ~   ;      ~  ;11385        ;     ~   
286 ;NGC   286  ;NGC 286                            ;GiG;013.3765053643900 -13.1127330361300;            ~ ~   ;      ~  ;10876        ;     ~   
287 ;NGC   287  ;NGC 287                            ;GiG;013.3678565347500 +32.4823848752900;   1.158 -0.385   ;      ~  ;5474         ;     ~   
288 ;NGC   288  ;NGC 288                            ;GlC;013.18850 -26.58261                ;     4.22 -5.65   ;0.1384   ;-44.83       ;8.13     
289 ;NGC   289  ;NGC 289                            ;AGN;013.176521 -31.205831              ;            ~ ~   ;      ~  ;1628.8       ;13.44    
290 ;NGC   290  ;NGC 290                            ;Cl*;012.80138 -73.16169                ;            ~ ~   ;      ~  ;~            ;11.71    
291 ;NGC   291  ;NGC 291                            ;Sy2;013.3746119536900 -08.7677532886900;            ~ ~   ;      ~  ;5636         ;     ~   
292 ;NGC   292  ;NAME SMC                           ;G  ;013.1583 -72.8003                  ;   0.772 -1.117   ;      ~  ;145.6        ;2.2      
293 ;NGC   293  ;NGC 293                            ;GiC;013.566450 -07.235531              ;            ~ ~   ;      ~  ;5581         ;     ~   
294 ;NGC   294  ;NGC 294                            ;Cl*;013.27329 -73.38039                ;            ~ ~   ;      ~  ;~            ;12.24    
295 ;NGC   295  ;NGC 295                            ;GiG;013.7811751919200 +31.5423480075600;            ~ ~   ;      ~  ;5467         ;     ~   
296 ;NGC   296  ;NGC 296                            ;LSB;013.839721 +31.677281              ;            ~ ~   ;      ~  ;5638         ;     ~   
297 ;NGC   297  ;NGC 297                            ;G  ;013.7455996453500 -07.3496097109800;            ~ ~   ;      ~  ;14837        ;     ~   
298 ;NGC   298  ;NGC 298                            ;GiG;013.759779 -07.333089              ;            ~ ~   ;      ~  ;1753.1       ;     ~   
299 ;NGC   299  ;NGC 299                            ;Cl*;013.35308 -72.19656                ;            ~ ~   ;      ~  ;~            ;11.73    
300 ;NGC   300  ;NGC 300                            ;GiG;013.7226940159600 -37.6842134451100;  -0.150 -0.872   ;0.0206   ;146.0        ;8.13     
301 ;NGC   301  ;NGC 301                            ;G  ;014.0764539068500 -10.6738676760000;   0.226 -0.130   ;0.3891   ;6699         ;     ~   
302 ;NGC   303  ;NGC 303                            ;EmG;013.7280762858800 -16.6547515623400;            ~ ~   ;      ~  ;9741         ;     ~   
303 ;NGC   304  ;NGC 304                            ;GiG;014.0250593415500 +24.1269135489100;  -0.063 -0.833   ;0.7947   ;4925         ;12.67    
304 ;NGC   305  ;NGC 305                            ;G  ;013.9940303078700 +12.1238803289200;            ~ ~   ;      ~  ;12100        ;     ~   
305 ;NGC   306  ;NGC 306                            ;Cl*;013.55963 -72.24092                ;            ~ ~   ;      ~  ;~            ;12.07    
306 ;NGC   307  ;NGC 307                            ;GiG;014.1356704174800 -01.7719906585500;   1.224 -0.052   ;      ~  ;3971         ;     ~   
307 ;NGC   308  ;UCAC2 31096253                     ;*  ;014.1430252537800 -01.7843255757900; -5.078 -15.071   ;0.4299   ;~            ;15.69    
308 ;NGC   309  ;NGC 309                            ;EmG;014.1777424708700 -09.9138756453400;            ~ ~   ;      ~  ;5595         ;     ~   
